ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-FD-A3SS-01A	0.637092527	0.63101725	0.737211057	0.662363432	0.502784181	0.697416128	0.455548504	0.759065527	0.760633877	0.686624251	0.561054394	0.672369088	0.565340769	0.627729876	0.637911907	0.463479259	0.742840683	0.658993501	0.572078104	0.550705014	0.445555945	0.282894543	0.506006828	0.794415599	0.652260219	0.805171394	0.803914092	0.947600187	0.741392461	0.639171996	0.360300763	0.47062563	0.629642072	0.83213264	0.656913636	0.728443121	0.681137469	0.661616296	0.531618506	0.553918894	0.535994326	0.46337581	0.515515288	0.3858365	0.60934239	0.373054927	0.214333753	0.372957701	0.172131598	0.073569143
TCGA-FD-A43S-01A	0.735772823	0.660695546	0.689671733	0.510975329	0.535105632	0.695668869	0.601951937	0.736128741	0.518230278	0.745950299	0.63903108	0.728364497	0.577692242	0.622817382	0.622524306	0.550407767	0.662832039	0.714850581	0.67166178	0.58753828	0.512203476	0.313975374	0.591322031	0.742840518	0.642817922	0.739590079	0.543420419	0.888273038	0.744844809	0.719105848	0.511328447	0.567280249	0.674814766	0.861844727	0.632682615	0.814189302	0.732182812	0.684220289	0.546114655	0.607500565	0.521183424	0.556908056	0.607569539	0.397134755	0.605690825	0.605562149	0.102980307	0.520868095	0.117101954	0.103326265
TCGA-UY-A78K-01A	0.606801054	0.570228901	0.712271399	0.646956213	0.426562179	0.661836317	0.561517606	0.782603719	0.738860031	0.698627893	0.59129025	0.724951238	0.56489686	0.610540673	0.643213602	0.42081459	0.717125461	0.750164151	0.680656815	0.503659255	0.43188083	0.28277675	0.543883274	0.765936414	0.667932784	0.795483638	0.781429028	0.951167173	0.777875888	0.532923649	0.43102055	0.53366367	0.689557706	0.869024395	0.629511414	0.766781054	0.655183994	0.663013843	0.505101164	0.479249299	0.535603103	0.428952927	0.56831965	0.418017233	0.648072744	0.568148701	0.21792906	0.429704302	0.070167965	0.096772465
TCGA-DK-A2HX-01A	0.658142848	0.649522475	0.716629179	0.617309401	0.513878831	0.772690592	0.523399051	0.725615142	0.625354478	0.723807699	0.676748873	0.716024807	0.624295845	0.636740112	0.679889942	0.539622372	0.783617568	0.674849243	0.615420839	0.619655887	0.552208712	0.375182004	0.53914757	0.783672605	0.659755209	0.766236379	0.642885086	0.889107866	0.643498862	0.791948303	0.447039303	0.515508249	0.616846693	0.81702351	0.657004265	0.739386872	0.733112263	0.653906688	0.620023285	0.628312109	0.54652175	0.548476936	0.542288066	0.397607491	0.619598561	0.444734676	0.144844359	0.505748662	0.069820785	0.117917714
TCGA-DK-A1A3-01A	0.633613988	0.619905146	0.755929651	0.617795428	0.479401209	0.721586858	0.528512732	0.715245582	0.666807932	0.692896337	0.605326138	0.729534664	0.589085354	0.586468263	0.702399913	0.445324184	0.789962965	0.659869457	0.62110071	0.539295591	0.505737623	0.353020876	0.550113134	0.816763609	0.67297445	0.810514071	0.68688745	0.919868166	0.742923149	0.677224411	0.449548552	0.497823442	0.620336846	0.845907846	0.645404635	0.720790573	0.655759234	0.65765222	0.576964831	0.67626857	0.542233947	0.508984674	0.556053527	0.404216914	0.643548147	0.487054402	0.170247161	0.453225678	0.062127615	0.096161382
TCGA-GC-A6I3-01A	0.604696897	0.568623502	0.700873762	0.558423395	0.464493911	0.609553368	0.523844873	0.781217435	0.651268908	0.682878284	0.599076371	0.688429404	0.4977583	0.533672321	0.570818223	0.44843411	0.652878924	0.748762973	0.664840993	0.516032623	0.465203919	0.239707587	0.524524484	0.753827733	0.64171916	0.766181469	0.69983202	0.932235161	0.824749975	0.572825639	0.41885204	0.527511284	0.656936046	0.865287482	0.626895442	0.787039422	0.672686946	0.647448777	0.438721885	0.502820637	0.492315306	0.45090672	0.545610055	0.381903366	0.61791386	0.537151141	0.190677551	0.408849287	0.071748479	0.078799822
TCGA-XF-AAMJ-01A	0.679349465	0.643911128	0.704673009	0.599233346	0.576270053	0.769534062	0.543472152	0.723176495	0.618578742	0.704972275	0.721710843	0.71876277	0.572533611	0.588977671	0.661309259	0.534045023	0.730794632	0.711565735	0.637074582	0.610235968	0.492829674	0.403848913	0.535634353	0.788157685	0.6419296	0.782392241	0.627380532	0.914711776	0.751128858	0.835195898	0.464267089	0.558448758	0.662465744	0.834361597	0.659303249	0.779348251	0.693385939	0.66837776	0.607245303	0.695945547	0.525768548	0.565239454	0.563930429	0.377133509	0.620112801	0.457825567	0.138795294	0.464609455	0.054652635	0.122792687
TCGA-GC-A6I1-01A	0.775374849	0.649704349	0.726526882	0.584504334	0.526455199	0.712216282	0.666661443	0.766014794	0.694438163	0.735569283	0.569947585	0.688779196	0.508592152	0.573019152	0.643082389	0.408591657	0.728434211	0.83199248	0.762433078	0.557982822	0.458263244	0.265925634	0.629378907	0.812503985	0.674909062	0.824448091	0.71936437	0.961848284	0.827364346	0.663689647	0.598855749	0.527716904	0.652556296	0.861607469	0.658208427	0.781490746	0.732581535	0.6859333	0.505942835	0.592450447	0.523091045	0.523843111	0.601943256	0.369132917	0.610131599	0.646084831	0.176527189	0.500916362	0.114837942	0.112373888
TCGA-ZF-A9RL-01A	0.513162227	0.572380151	0.718512171	0.611206231	0.506663912	0.734391421	0.398142765	0.732522926	0.695089954	0.642415083	0.615407154	0.715711126	0.566009726	0.594958442	0.679188086	0.368766252	0.764791802	0.566292976	0.486877779	0.453197254	0.412767815	0.270760249	0.41920745	0.764437453	0.677600897	0.804301056	0.720492258	0.94565345	0.772439191	0.374390703	0.279541015	0.517850302	0.678036772	0.854858024	0.626437893	0.730551202	0.675571209	0.630517226	0.493976328	0.398444851	0.532002137	0.362378722	0.473836712	0.414664315	0.661803995	0.305899691	0.189666594	0.313382155	0.072789901	0.051238754
TCGA-DK-A3IL-01A	0.544396203	0.576182254	0.745193513	0.631462895	0.474893984	0.711178389	0.43479135	0.76152507	0.704891607	0.668133143	0.615680675	0.709847913	0.541829055	0.588153675	0.620592666	0.493268798	0.707745692	0.562485238	0.509850764	0.533181579	0.462884881	0.271404442	0.466979432	0.752538062	0.653015149	0.785893626	0.742877857	0.92970688	0.778965649	0.591475508	0.304611838	0.499393434	0.654569223	0.842124443	0.645133867	0.736014639	0.665515916	0.633126151	0.501724113	0.5159214	0.499682915	0.452677598	0.484447549	0.407141664	0.652933049	0.364582098	0.182324919	0.357724056	0.117996378	0.039521573
TCGA-E7-A6MF-01A	0.54345592	0.569966745	0.619580398	0.581521786	0.59200138	0.741946887	0.410019801	0.709510612	0.521234744	0.672442188	0.685747221	0.694273912	0.57913784	0.584149629	0.685606216	0.378536576	0.758238442	0.642458554	0.541177039	0.540230747	0.438580144	0.346436119	0.443105654	0.719739482	0.665268645	0.692288374	0.51863042	0.882935508	0.691831452	0.42788348	0.341555769	0.459123885	0.647090015	0.84997044	0.589536757	0.725750305	0.740488529	0.594954629	0.544795754	0.472780943	0.556811764	0.41714503	0.484458369	0.394385131	0.627052697	0.352849252	0.126426302	0.385537566	0.135732108	0.19842157
TCGA-BT-A20R-01A	0.702603266	0.675389544	0.716893423	0.620740813	0.463470727	0.749068512	0.517850251	0.730210468	0.679173782	0.715300622	0.610241203	0.756308489	0.58126446	0.591881871	0.694140001	0.476256568	0.764385469	0.697546265	0.639318232	0.568168297	0.513430985	0.341906584	0.573287792	0.792479599	0.638943205	0.799983661	0.718865331	0.929318655	0.724810203	0.78559003	0.466367838	0.541455211	0.661823254	0.853534927	0.68021788	0.769392307	0.676684413	0.676719743	0.596883309	0.66952048	0.53878318	0.559269312	0.561646675	0.404270646	0.633360862	0.45744891	0.191727073	0.496575901	0.095570614	0.127088373
TCGA-H4-A2HQ-01A	0.620781826	0.622416255	0.760233365	0.651875639	0.535964355	0.733714353	0.475229028	0.760051093	0.730190825	0.672152363	0.653868246	0.699847351	0.536529719	0.566012643	0.667380701	0.389369593	0.762907205	0.766898412	0.642965297	0.512553881	0.398640985	0.330543829	0.498930233	0.790149474	0.666992293	0.812575745	0.759160339	0.949935868	0.783308366	0.512240208	0.35607466	0.473043	0.639829072	0.841947998	0.663606445	0.758125896	0.674652055	0.649485025	0.544747863	0.49503435	0.519591218	0.4249568	0.502643254	0.341824407	0.618572852	0.373196645	0.226386329	0.384243332	0.107988731	0.079466492
TCGA-GV-A3QH-01A	0.572400061	0.581004136	0.714933718	0.66381678	0.505052685	0.718466514	0.449376222	0.746828562	0.74722951	0.614836293	0.576588579	0.712649873	0.546327573	0.560664902	0.637862878	0.358250005	0.750101441	0.749419384	0.603845807	0.4561606	0.399063781	0.273082765	0.444909735	0.796891378	0.652502168	0.782423966	0.772861048	0.959807317	0.813645874	0.431191328	0.3174732	0.487174243	0.647928419	0.839102276	0.633900776	0.709173221	0.624998473	0.658258471	0.479913512	0.411715558	0.525730268	0.351776332	0.485669301	0.382004647	0.633994852	0.313042393	0.198700466	0.336798324	0.075963978	0.080620322
TCGA-4Z-AA82-01A	0.718836932	0.652992767	0.735314372	0.661653943	0.534088374	0.757508307	0.564412982	0.754126579	0.764131656	0.745799242	0.711394185	0.690444031	0.585301061	0.604778114	0.658529522	0.474318073	0.758361187	0.76689653	0.672465334	0.586850738	0.522505815	0.37785269	0.563636886	0.796255819	0.65008438	0.809779565	0.780892758	0.952452854	0.811936705	0.724758455	0.4693951	0.463532377	0.611039135	0.823836744	0.655769069	0.746998862	0.739209169	0.660263773	0.571010009	0.649932358	0.515280577	0.534582852	0.547546687	0.349219106	0.602088123	0.469825657	0.186143174	0.451413592	0.138022197	0.083154129
TCGA-E7-A4XJ-01A	0.599372767	0.61972623	0.667548286	0.575176543	0.5363832	0.715875686	0.386043831	0.746652932	0.618881028	0.678991726	0.652140537	0.712983646	0.589966983	0.613321504	0.617607277	0.453112693	0.68107144	0.573577933	0.481977534	0.524045698	0.433615318	0.285518414	0.446118017	0.762275717	0.641048231	0.76303181	0.647027126	0.927907877	0.829586941	0.550315941	0.327227674	0.507626623	0.660715093	0.862695572	0.644001589	0.727774437	0.729933128	0.647306846	0.512708972	0.508906029	0.511642983	0.465947158	0.507559425	0.390937306	0.65358005	0.328764172	0.145012653	0.367139541	0.122961171	0.025783234
TCGA-XF-A8HE-01A	0.73700294	0.655217092	0.779163365	0.657105509	0.537790493	0.711552199	0.627772792	0.748630732	0.787482874	0.733412106	0.626710807	0.695925478	0.557126846	0.598198757	0.678408752	0.401066713	0.739527178	0.859116939	0.749185572	0.555598331	0.488233924	0.358223804	0.60178619	0.803893877	0.693510619	0.853122833	0.795224857	0.975163251	0.831553064	0.636867458	0.532512823	0.504673013	0.653793208	0.850867513	0.671686603	0.748341852	0.728232163	0.65995608	0.521229484	0.620221289	0.530001547	0.523102007	0.562719122	0.35871035	0.618753947	0.534093487	0.198996401	0.454630814	0.119232372	0.082881393
