ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-3C-AAAU-01A	0.491501475	0.544854128	0.638240668	0.611636743	0.433435732	0.694928766	0.367423002	0.718302962	0.66499781	0.646494435	0.517786507	0.667534959	0.683575002	0.629214749	0.63502671	0.404999154	0.761362991	0.541969261	0.454035632	0.499525905	0.427988066	0.42156949	0.436066796	0.764315312	0.624305643	0.743113388	0.692378007	0.907954591	0.715334396	0.605195598	0.26023997	0.415832653	0.565123622	0.824607502	0.598109901	0.682710742	0.579144503	0.625037253	0.496955759	0.589477333	0.528569388	0.442309151	0.433014462	0.385573347	0.593688364	0.318324375	0.168727392	0.298711681	0.061306288	0.289981568
TCGA-3C-AALI-01A	0.57098354	0.59004258	0.715448802	0.622215798	0.44378475	0.695504344	0.502842137	0.740003016	0.699491806	0.675159741	0.570727246	0.686170824	0.532441919	0.552253484	0.636426715	0.434459376	0.714296379	0.702803628	0.628132726	0.534367891	0.447844931	0.330536851	0.506859137	0.758702332	0.658457006	0.783341011	0.715503606	0.905394861	0.698913008	0.670953397	0.375302485	0.459457912	0.611862469	0.833886254	0.622897736	0.734938299	0.633704074	0.638259935	0.508916689	0.572690126	0.502901287	0.485512391	0.515125434	0.367811285	0.608741118	0.48904841	0.205768024	0.38927625	0.094390759	0.0811314
TCGA-3C-AALJ-01A	0.588241688	0.611301407	0.651881482	0.597679963	0.480750184	0.705976569	0.488158819	0.750138591	0.65979437	0.677014331	0.552011113	0.704672644	0.666402987	0.639081829	0.638420316	0.441401904	0.726696405	0.636339905	0.567109904	0.515717802	0.458865714	0.336647279	0.519532715	0.769777673	0.651698639	0.751405876	0.677224418	0.919382831	0.746989758	0.708575088	0.382500777	0.467879271	0.604567899	0.831370579	0.630482262	0.763094412	0.647240575	0.625433654	0.521145978	0.655478164	0.46444257	0.531654078	0.527172109	0.382052119	0.588361147	0.473136292	0.146598824	0.425070403	0.024009094	0.071913161
TCGA-3C-AALK-01A	0.642134061	0.615968492	0.719291594	0.577341167	0.503421626	0.736963318	0.489511157	0.717993065	0.610258097	0.708729776	0.635131493	0.689485747	0.739926612	0.704024053	0.687713187	0.460776957	0.745893352	0.620771376	0.560782635	0.5834616	0.481523241	0.363848339	0.507649998	0.776742574	0.649653238	0.751045315	0.61507961	0.906854416	0.696427421	0.786886945	0.387497509	0.501001447	0.611043604	0.82561547	0.624168989	0.723390963	0.680871045	0.623164426	0.593740133	0.625951174	0.499816682	0.535223805	0.521537636	0.391630652	0.615334122	0.44112183	0.125124186	0.42867714	0.091463657	0.107692285
TCGA-4H-AAAK-01A	0.603849827	0.629401175	0.676289046	0.587626756	0.505624237	0.739918464	0.468396079	0.7205626	0.607674068	0.68915921	0.641625696	0.689702646	0.692282665	0.646536723	0.6677648	0.462154159	0.729142241	0.682863638	0.579637823	0.564353327	0.477658734	0.339563572	0.4969139	0.763810757	0.637626132	0.719572793	0.630573418	0.911190185	0.728377404	0.789911164	0.395967138	0.467034741	0.600314639	0.822261417	0.613339278	0.69575871	0.646399554	0.602155408	0.614541504	0.611914123	0.502438438	0.529928031	0.506913297	0.371757725	0.582395278	0.419183831	0.122807515	0.417173104	0.086337077	0.105219839
TCGA-5L-AAT0-01A	0.572238627	0.608919237	0.630508045	0.544566989	0.489976414	0.740131367	0.514035965	0.716655419	0.535709694	0.697219855	0.641550938	0.679249924	0.668601588	0.642258664	0.662890653	0.47202273	0.715009113	0.65698909	0.581845499	0.560184328	0.484051595	0.327305992	0.523113908	0.748048196	0.629608727	0.701678986	0.559016926	0.891275632	0.676833489	0.750226785	0.391732524	0.481157957	0.606041011	0.823405218	0.608655999	0.704715218	0.65036208	0.600079491	0.568544478	0.629880092	0.514459743	0.54672637	0.53275897	0.392206411	0.581738333	0.489301898	0.108417464	0.444624572	0.084679429	0.128016264
TCGA-5L-AAT1-01A	0.623891595	0.607531791	0.646843001	0.525346638	0.469425502	0.707490342	0.555961524	0.723761567	0.521661149	0.702788127	0.600134057	0.695141823	0.609705316	0.582163288	0.653822038	0.446033978	0.735154737	0.771443752	0.688938145	0.561081325	0.477355063	0.308252276	0.557104649	0.766122448	0.651484976	0.732268773	0.531316128	0.897881539	0.680387859	0.708982305	0.438988435	0.498087678	0.627899106	0.861076405	0.59596951	0.753454707	0.671804722	0.62194857	0.542090023	0.565836409	0.510284805	0.535595986	0.552046624	0.38495427	0.596885925	0.566411198	0.120836986	0.439591083	0.073742829	0.11450588
TCGA-5T-A9QA-01A	0.47922823	0.543114137	0.664783958	0.589641223	0.445208222	0.612737347	0.387348223	0.756019771	0.668982783	0.622557249	0.553033247	0.678324128	0.63682236	0.604142554	0.627324497	0.378152183	0.736661611	0.658103419	0.514610318	0.451470621	0.348927136	0.223629728	0.426008385	0.809817622	0.613509153	0.761916024	0.69085996	0.924803938	0.789024673	0.436148002	0.289703281	0.484283775	0.624326952	0.862218032	0.617227255	0.71211819	0.614415441	0.615701945	0.459790139	0.415375273	0.503109285	0.400884931	0.4540017	0.367976862	0.620465485	0.331454585	0.193372555	0.276474247	0.06515427	0.09652801
TCGA-A1-A0SB-01A	0.581057115	0.602669483	0.619139518	0.629151347	0.593700798	0.760916762	0.388947893	0.698614542	0.62223997	0.66146186	0.700379907	0.668866277	0.589638106	0.561717752	0.702554286	0.43946395	0.784209788	0.459331586	0.406482073	0.570230661	0.421844271	0.429597566	0.424481591	0.769544695	0.627585246	0.705716675	0.623474519	0.921656848	0.740842674	0.699621144	0.28967901	0.423718135	0.589618976	0.807081165	0.596969215	0.670868459	0.643482177	0.602803797	0.657730906	0.538774854	0.50190584	0.43945177	0.431787636	0.332480882	0.562108019	0.276787868	0.17194299	0.338620892	0.110276062	0.049911042
TCGA-A1-A0SD-01A	0.642892408	0.64334227	0.689292539	0.592001478	0.509757596	0.782083408	0.508046834	0.676108241	0.585604958	0.696417481	0.633643299	0.720104588	0.698200184	0.65558513	0.744681949	0.491168391	0.79741097	0.78240562	0.658358457	0.583655303	0.476721998	0.398275268	0.534543965	0.766372829	0.639804389	0.742614829	0.568063858	0.889047999	0.645804673	0.763325479	0.425954398	0.495949084	0.640835592	0.831839312	0.6283396	0.706802553	0.66229515	0.635807405	0.630624333	0.713568114	0.53838088	0.544477982	0.534988102	0.407252289	0.613297052	0.432433325	0.130607673	0.459315068	0.091205046	0.167060588
