ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-2W-A8YY-01A	0.546196009	0.588266001	0.743680161	0.6240487	0.59485453	0.700325155	0.47485817	0.753299464	0.740401616	0.678973142	0.563770176	0.69732463	0.52200006	0.541397316	0.6533653	0.403332332	0.725394507	0.513218138	0.500274377	0.513736021	0.402060868	0.310829623	0.463521224	0.795904927	0.660520176	0.826900609	0.763439574	0.956548543	0.793158287	0.56445789	0.365275146	0.475085981	0.629278859	0.857589486	0.648474179	0.73940582	0.628221714	0.644325292	0.482166896	0.541356639	0.521158026	0.423028682	0.496298639	0.350669743	0.623551623	0.43029133	0.224470978	0.3752129	0.048450608	0.110270629
TCGA-4J-AA1J-01A	0.677681674	0.623270434	0.706105253	0.661800263	0.516940395	0.755138037	0.508000351	0.734015584	0.771319609	0.712422323	0.582839174	0.672536248	0.60726673	0.635491112	0.68627145	0.445694545	0.739672771	0.77973212	0.654153728	0.570443656	0.504503104	0.303640678	0.521394293	0.741194879	0.646498614	0.786690668	0.79602703	0.940143776	0.752635244	0.661268197	0.42803731	0.490860695	0.615447466	0.806506197	0.656352367	0.722160436	0.704174842	0.657522925	0.556875465	0.582720733	0.516267125	0.498131853	0.521988507	0.357264042	0.597043427	0.39677568	0.199227014	0.424872363	0.187251876	0.092848113
TCGA-BI-A0VR-01A	0.759919407	0.666944703	0.719270944	0.644441349	0.513754435	0.724627011	0.589125136	0.731190708	0.773089016	0.733477545	0.59884787	0.669309388	0.585473937	0.636305776	0.660980501	0.41524742	0.706254075	0.840735026	0.750529178	0.541241705	0.519741121	0.342178893	0.573338415	0.791819574	0.680424187	0.828656169	0.808479819	0.952073103	0.800780718	0.632200793	0.515980713	0.511459741	0.639127946	0.828390564	0.643679638	0.781429098	0.746282286	0.690132671	0.507406489	0.541276577	0.5389769	0.495653153	0.569770474	0.350918605	0.599713411	0.576199248	0.229203979	0.439077961	0.179176915	0.122654991
TCGA-BI-A0VS-01A	0.654388925	0.657197334	0.694098363	0.665953355	0.521472946	0.706578342	0.509924819	0.748383838	0.7519858	0.689670923	0.627566383	0.640191292	0.538346705	0.583264413	0.644943627	0.411780068	0.738257164	0.653034848	0.596982699	0.548764974	0.484675215	0.335388927	0.536710418	0.78471626	0.638684348	0.79111724	0.785449189	0.953426812	0.783195385	0.693418044	0.434400107	0.450420526	0.578599672	0.805437369	0.639323041	0.677305229	0.721279895	0.641361663	0.534050963	0.599082449	0.50824121	0.498760293	0.531681771	0.341358118	0.587645424	0.491485686	0.236372625	0.418900472	0.162853692	0.107636487
TCGA-BI-A20A-01A	0.646764144	0.580246765	0.679602617	0.645241227	0.525580176	0.70510933	0.560921045	0.750187765	0.750949001	0.716121911	0.592964233	0.691644312	0.562704797	0.604929671	0.615401659	0.41879621	0.708615678	0.81848059	0.714791938	0.548122239	0.508470416	0.27581517	0.539849266	0.737477356	0.66346021	0.785254869	0.804808457	0.934560906	0.743733663	0.568334945	0.44540862	0.494127795	0.641665021	0.855704774	0.616869012	0.754951413	0.716256163	0.666432836	0.496149535	0.488297376	0.529703286	0.481086241	0.523722981	0.397277234	0.63122628	0.53995329	0.196862711	0.413679252	0.171423561	0.090277413
TCGA-C5-A0TN-01A	0.72748846	0.632609684	0.719570232	0.647393702	0.533136902	0.720962054	0.557920065	0.770291759	0.75310443	0.73278821	0.557233625	0.658542943	0.500697964	0.538832683	0.646082952	0.39590292	0.728202308	0.801443055	0.691193607	0.544064866	0.49052846	0.299076552	0.577882708	0.778207997	0.634220769	0.798746702	0.794707697	0.958793979	0.801545931	0.701072629	0.472432343	0.445357091	0.607028983	0.826558014	0.645272627	0.745004509	0.730886837	0.658385223	0.521735091	0.58635139	0.512100268	0.515047392	0.542389194	0.321740797	0.560215503	0.466719418	0.223648135	0.430886252	0.080808609	0.093263404
TCGA-C5-A1BE-01B	0.692974555	0.658372421	0.718255802	0.64935218	0.527072954	0.722628338	0.529299786	0.74662099	0.772205733	0.705486316	0.587508498	0.653075108	0.550687907	0.598934433	0.619682876	0.399976455	0.724568775	0.838480024	0.703574464	0.538111794	0.50300578	0.362520347	0.516310301	0.769047526	0.673780245	0.80575751	0.800848407	0.946792079	0.761874084	0.582850442	0.458661786	0.497267757	0.635355678	0.823235974	0.642179803	0.736640882	0.741086076	0.683841318	0.509435731	0.467640036	0.519150802	0.435483449	0.53218576	0.341664398	0.581372077	0.452174338	0.241497003	0.379412553	0.169235522	0.088548465
TCGA-C5-A1BF-01B	0.766285624	0.706563751	0.670540604	0.626650481	0.529399817	0.772439342	0.582113602	0.729017188	0.71270054	0.71508774	0.591178983	0.700648459	0.60254588	0.627425543	0.682649383	0.455660242	0.75424954	0.687152528	0.644614669	0.58011066	0.470951545	0.385568215	0.587332131	0.774462425	0.6565239	0.776672358	0.748108166	0.940549501	0.765957857	0.784667711	0.519140668	0.507871781	0.622883708	0.858875251	0.663432386	0.77373859	0.717286475	0.700086469	0.603900121	0.699364446	0.546532697	0.541807583	0.576241896	0.343825236	0.597300521	0.518696866	0.191592792	0.482126676	0.111281343	0.190252926
TCGA-C5-A1BI-01B	0.67881666	0.62914823	0.701540351	0.656501938	0.505321064	0.697383846	0.587569799	0.737687469	0.788411269	0.71094426	0.584802565	0.664832781	0.585572549	0.629563741	0.637076821	0.414650147	0.727946551	0.733038095	0.683956419	0.561167724	0.503298432	0.323259268	0.574926111	0.765984249	0.676561988	0.806795553	0.821107651	0.936589263	0.717742884	0.610807458	0.495486578	0.502328722	0.628505173	0.817076314	0.640593536	0.755110122	0.740342707	0.673571931	0.493993691	0.526769905	0.539610764	0.502930051	0.548077824	0.371972993	0.587793939	0.565394888	0.202113905	0.426910799	0.150624823	0.088149355
TCGA-C5-A1BJ-01A	0.753960885	0.640261841	0.737629428	0.651961814	0.534931942	0.722081888	0.572255528	0.745576003	0.777542596	0.732887297	0.60730138	0.666598199	0.577362536	0.630481904	0.654234044	0.428215425	0.720869077	0.836742889	0.715904452	0.550737661	0.497032333	0.31525107	0.557305108	0.772999915	0.678376789	0.819954521	0.805872748	0.958138481	0.785031327	0.670827408	0.507291754	0.47350632	0.632394638	0.82512304	0.6502177	0.749023045	0.727832584	0.688291807	0.514397731	0.542766509	0.534205815	0.516910812	0.559060152	0.361514137	0.595384186	0.507611823	0.219077589	0.453018139	0.173717264	0.080110842
TCGA-C5-A1BK-01B	0.707268995	0.591036131	0.682261695	0.597416186	0.483501978	0.672332497	0.604041358	0.73898165	0.716199259	0.722085989	0.550574549	0.649868149	0.562532878	0.615405204	0.613906515	0.416837878	0.676730203	0.867851375	0.773399947	0.52359474	0.466147015	0.27525472	0.58457713	0.77332359	0.664698929	0.778461863	0.754199348	0.937134248	0.76956944	0.536396229	0.50629412	0.495898717	0.627875504	0.828276174	0.599140675	0.742274191	0.740433607	0.671219849	0.478548093	0.477682158	0.525702553	0.491242941	0.564233055	0.342911533	0.575593433	0.62597082	0.193601561	0.424316714	0.147976799	0.069079074
TCGA-C5-A1BL-01A	0.646804535	0.595864747	0.696116561	0.647893608	0.495382233	0.678591269	0.555171459	0.735129107	0.783372915	0.681506532	0.583408854	0.648090274	0.558499907	0.603809462	0.646731954	0.354527813	0.739212646	0.817752074	0.723543524	0.517124694	0.4477727	0.30896134	0.531169886	0.766633679	0.679590799	0.817414782	0.808879181	0.955425164	0.780638216	0.464349654	0.464828019	0.487238045	0.616543385	0.823917044	0.629202902	0.733472004	0.711133201	0.655439281	0.473885631	0.444857885	0.525559056	0.417840717	0.526857289	0.34826407	0.594133401	0.525940476	0.240164658	0.384286369	0.150002061	0.063092785
TCGA-C5-A1BM-01A	0.741018451	0.629721014	0.732963984	0.623889297	0.509361257	0.723458207	0.617707299	0.722092575	0.735752231	0.719337908	0.620276164	0.675336334	0.576642433	0.609983994	0.657360444	0.396446932	0.73763429	0.838460891	0.750050933	0.519741304	0.48943692	0.314630555	0.598698489	0.773845096	0.672062644	0.816689519	0.757683688	0.936359873	0.726464661	0.565434383	0.523586296	0.486676764	0.625471506	0.811090789	0.629791355	0.751392877	0.733502939	0.677855575	0.487164573	0.533724755	0.515625693	0.4939049	0.564805966	0.355741747	0.606478577	0.576928243	0.17464927	0.461935269	0.156147853	0.111223645
TCGA-C5-A1BN-01B	0.652803628	0.619896203	0.714803586	0.674947375	0.529323788	0.719612008	0.47664539	0.757236156	0.799361135	0.696630191	0.581020421	0.654384939	0.573108512	0.612459073	0.658587242	0.39246058	0.735122671	0.737490042	0.62481323	0.520611499	0.434345754	0.334226	0.513143595	0.7841576	0.645329801	0.814917667	0.835414237	0.966230607	0.821908594	0.616429803	0.405120409	0.464425965	0.611869717	0.82671215	0.651236197	0.734982131	0.727186614	0.645611976	0.506787623	0.53208691	0.532750871	0.473046425	0.515412709	0.323233779	0.567409991	0.397329174	0.208952498	0.400237582	0.131626965	0.115843729
