	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-ZD-A8I3-01A	0.683532525	0.665757238	0.734940521	0.625162496	0.497965021	0.81093988	0.511988924	0.747452251	0.622558557	0.713444057	0.640888589	0.715093297	0.542446827	0.565275926	0.660183357	0.448325789	0.773814914	0.685270248	0.581455997	0.553203558	0.393338849	0.350351367	0.565184857	0.79830759	0.633798109	0.785899287	0.643385772	0.931298226	0.730937222	0.696701783	0.398402229	0.648307737	0.677296706	0.853938159	0.670721723	0.804589708	0.71674564	0.670763463	0.552484349	0.724845047	0.546238284	0.621126403	0.511369711	0.481335736	0.647087965	0.386939716	0.159663468	0.454322745	0.045403206	0.187395442
TCGA-W5-AA30-01A	0.703041116	0.608555846	0.745009182	0.635282088	0.506569615	0.761994284	0.561105198	0.739401379	0.657681168	0.717395351	0.651829612	0.725335437	0.554147672	0.578394957	0.671693843	0.455000177	0.760384745	0.723654466	0.637315483	0.557922486	0.425295048	0.364601054	0.590367129	0.769260962	0.648710377	0.755523102	0.678341136	0.949593444	0.737109825	0.674047497	0.438830271	0.616236485	0.694783804	0.859988093	0.634121928	0.808378279	0.691968646	0.67984696	0.555308128	0.733961535	0.551979985	0.63944493	0.535380225	0.459565236	0.646093832	0.496739789	0.126410655	0.473361773	0.049293132	0.206539909
TCGA-W5-AA38-01A	0.640766549	0.613800011	0.707510337	0.574447578	0.442347048	0.69155509	0.52851408	0.77152002	0.595751408	0.693040985	0.611012641	0.762594936	0.552318913	0.543925351	0.632365006	0.436388261	0.764540204	0.785824538	0.672103922	0.541204759	0.369373548	0.358888173	0.559632281	0.816455714	0.642984165	0.794470319	0.633593843	0.937514131	0.749390376	0.572052038	0.39313743	0.630224471	0.693513114	0.92124798	0.677220584	0.840148297	0.717027037	0.68799139	0.468962617	0.66436652	0.544572517	0.584667747	0.51227211	0.499882957	0.686129783	0.430556709	0.13960199	0.395554364	0.053000545	0.16621961
TCGA-YR-A95A-01A	0.683643924	0.646539047	0.750940585	0.574354596	0.505792402	0.739355633	0.527823871	0.731019066	0.57212052	0.698890199	0.62407109	0.74946991	0.541690839	0.552993714	0.663487698	0.446040578	0.750762755	0.65012961	0.580394163	0.520996051	0.381229828	0.365005299	0.591016558	0.766399143	0.613323263	0.752644547	0.594943555	0.915843705	0.707040654	0.665398253	0.399604708	0.750512024	0.774944383	0.926625397	0.664680795	0.786414529	0.677634793	0.673839632	0.549841293	0.756181953	0.559920789	0.713035633	0.542184016	0.585398945	0.698134731	0.418411574	0.106224972	0.456952166	0.047795903	0.21565889
TCGA-W5-AA36-01A	0.598651368	0.587716333	0.711874208	0.558991433	0.47855832	0.72983814	0.478309636	0.77048661	0.585407009	0.66494435	0.588376078	0.74737911	0.501886762	0.518920776	0.604682449	0.455264857	0.702464237	0.643397642	0.565920088	0.530638862	0.38911055	0.316927155	0.538488167	0.773852393	0.610820253	0.741714141	0.623880947	0.946893102	0.773677718	0.619905615	0.373998779	0.611305007	0.706621587	0.967520101	0.638096838	0.785425447	0.648579581	0.660048629	0.485694239	0.707694788	0.539048711	0.597877671	0.509868719	0.491867335	0.682981061	0.420800208	0.11771594	0.411011377	0.021096071	0.126504529
TCGA-W5-AA2U-01A	0.730890145	0.647228194	0.707137217	0.621864616	0.453478672	0.73198384	0.559200181	0.72084352	0.611036214	0.719973274	0.671512118	0.757000788	0.611995268	0.605733322	0.680406463	0.463108707	0.777665556	0.767231507	0.676529606	0.554485675	0.3923798	0.358887533	0.583041332	0.791324885	0.628511371	0.770640764	0.636990788	0.944373462	0.734604621	0.657172522	0.465595071	0.618890259	0.688691421	0.898242228	0.659937606	0.814557694	0.69226884	0.706599195	0.571157528	0.744022367	0.577635368	0.607693125	0.542610542	0.484073086	0.686561859	0.459646578	0.112030727	0.474757867	0.054830859	0.140996606
TCGA-ZH-A8Y2-01A	0.666458224	0.613030907	0.672606137	0.636893176	0.525981521	0.797947128	0.544056571	0.755691127	0.609932511	0.708902777	0.673349332	0.729154716	0.573152054	0.580924937	0.660765457	0.408713086	0.77163102	0.637528437	0.573016769	0.546304278	0.411878063	0.382854108	0.550673429	0.740427859	0.653882314	0.739674104	0.625523598	0.932874152	0.711452149	0.66111689	0.401608944	0.617546773	0.647157314	0.855933821	0.654248061	0.793151994	0.671220058	0.66816762	0.574071957	0.705469336	0.551989488	0.597162347	0.51730572	0.489765329	0.643863374	0.410017389	0.13421212	0.450731315	0.049764823	0.226129876
TCGA-3X-AAVB-01A	0.785024462	0.71509476	0.744826206	0.59531914	0.505554565	0.820081479	0.582968265	0.713528778	0.572948498	0.774227351	0.7321063	0.715359392	0.621751914	0.662520111	0.700983685	0.464317068	0.812258004	0.725207155	0.641008813	0.614345019	0.46399812	0.472072449	0.608755467	0.801502434	0.63894742	0.794590775	0.56798944	0.915314046	0.657797745	0.839352938	0.523733205	0.597830365	0.686448319	0.846457885	0.699416966	0.786007547	0.719422499	0.679882527	0.621453768	0.757596189	0.573972975	0.639342999	0.596028764	0.420564652	0.649887888	0.49301973	0.11828701	0.602748338	0.061095066	0.540729509
TCGA-W5-AA2Q-01A	0.631215221	0.620072162	0.683779758	0.614189481	0.52830208	0.797390212	0.490391975	0.714326687	0.576805556	0.669463291	0.698492564	0.714960663	0.570396312	0.564020783	0.662578755	0.470440899	0.772335933	0.708910507	0.579933118	0.547844086	0.402542333	0.350758106	0.52334746	0.785921795	0.623141275	0.735536671	0.580287046	0.927398038	0.735577927	0.642037364	0.356215365	0.57424433	0.65772331	0.860947282	0.633812979	0.761757906	0.660693457	0.662589891	0.560091143	0.699992766	0.551679883	0.587963757	0.485610482	0.431412424	0.6189569	0.356603344	0.109151056	0.417867799	0.055521433	0.18384571
TCGA-W5-AA2Z-01A	0.720770251	0.667738086	0.701880591	0.606253603	0.540840817	0.838527763	0.562631077	0.711450421	0.557011168	0.731930838	0.687148344	0.729017824	0.570700876	0.557854079	0.661196612	0.461493855	0.78720066	0.768035714	0.672851335	0.587376334	0.434803984	0.410472784	0.581543946	0.760249126	0.633244822	0.747992843	0.575211995	0.924813494	0.697575001	0.775877153	0.465972032	0.573816209	0.66308524	0.870237159	0.64715873	0.770397251	0.664458092	0.657692383	0.603050709	0.800867668	0.548274947	0.628269449	0.540821693	0.464783556	0.643635182	0.469160825	0.118172258	0.513017024	0.045763757	0.15492972
