ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-RQ-A6JB-01A	0.665716095	0.581827799	0.654353442	0.642159178	0.453243308	0.656461867	0.642759653	0.771944004	0.765170999	0.729373024	0.52636676	0.658712321	0.405195507	0.441657908	0.604436157	0.377323487	0.689783613	0.734801373	0.747439802	0.493810876	0.39424037	0.287009556	0.607500937	0.758266332	0.672534649	0.793128414	0.807747591	0.963569388	0.775334314	0.665925553	0.549787753	0.459547307	0.610788586	0.837444734	0.572218717	0.76750665	0.638333962	0.625010906	0.501761708	0.543431783	0.504434359	0.500279938	0.598377804	0.376774742	0.595258586	0.690071158	0.192992412	0.459350448	0.004600452	0.135133749
TCGA-FF-8046-01A	0.58954064	0.552948489	0.601127847	0.575287453	0.452414611	0.552847762	0.578888777	0.792184916	0.744050164	0.663833226	0.526510089	0.697021907	0.387040155	0.460934323	0.536515165	0.39268564	0.62304442	0.695410301	0.676983534	0.458311399	0.359923886	0.274306022	0.560319043	0.764508947	0.632797077	0.793174401	0.803871834	0.982837185	0.890705496	0.5365298	0.472672038	0.473411491	0.637482595	0.895425188	0.563870935	0.797690351	0.616005817	0.642699591	0.42597233	0.48794634	0.477220091	0.448602275	0.565509232	0.350300737	0.569087464	0.663328322	0.203371685	0.436473684	0.042549847	0.105263547
TCGA-FF-A7CW-01A	0.588424452	0.499774223	0.58147721	0.593811056	0.468027254	0.555641438	0.595624503	0.794811633	0.764189256	0.674783467	0.472558126	0.648532585	0.361131584	0.422405479	0.525439367	0.316355597	0.642340119	0.716480359	0.713539804	0.417218522	0.332330269	0.265336766	0.560076939	0.762386688	0.655223771	0.781217395	0.818891963	0.976647527	0.849483179	0.371536084	0.462691883	0.427071219	0.626455905	0.870925048	0.528836502	0.791835417	0.60373272	0.622770642	0.388951712	0.33741248	0.48545107	0.369818125	0.574363242	0.342007573	0.569018848	0.707590085	0.211082704	0.398480993	0.029514922	0.076733923
TCGA-RQ-A68N-01A	0.67469856	0.561331173	0.632523078	0.592814391	0.433273122	0.596916036	0.655055451	0.79934484	0.766508162	0.71934045	0.539723004	0.656053385	0.382784116	0.425270822	0.558868403	0.366990893	0.645410034	0.778863953	0.770743291	0.463227832	0.339940337	0.270073841	0.596049744	0.786781643	0.663832456	0.810516088	0.823808329	0.977197303	0.868583002	0.564715695	0.557423665	0.470770798	0.622247645	0.864948702	0.559501508	0.803208129	0.644696574	0.635174298	0.426651804	0.472383684	0.483144993	0.442756974	0.583531901	0.358073609	0.57225722	0.707766645	0.199755595	0.462985097	0.01340802	0.127747365
TCGA-FM-8000-01A	0.578973496	0.523217365	0.581732714	0.576474052	0.41785739	0.523864446	0.55720636	0.779200346	0.72257606	0.640218769	0.512856151	0.652396798	0.371946208	0.406631602	0.543216267	0.397058059	0.620463131	0.635911447	0.628923316	0.462210936	0.361275423	0.27659073	0.558006903	0.747206384	0.644966361	0.743444745	0.777550996	0.950667351	0.793282799	0.535546658	0.443092246	0.440085115	0.611420838	0.861946429	0.532058844	0.743344988	0.606999598	0.60679299	0.434656446	0.430858446	0.46821002	0.418564603	0.540471489	0.360631678	0.587032998	0.628131487	0.193809647	0.402714116	0.050559788	0.097935918
TCGA-GR-7351-01A	0.658311029	0.609023261	0.647368175	0.574405281	0.418347565	0.575159991	0.601882857	0.79268063	0.734815759	0.698256811	0.54488951	0.690298716	0.436677831	0.479100155	0.596860412	0.408365902	0.65259653	0.683579969	0.687603718	0.466170399	0.370813523	0.295125953	0.597047461	0.763178133	0.649636229	0.80817105	0.802406698	0.965632928	0.841278975	0.565518621	0.528735957	0.494480946	0.63626612	0.882844127	0.601296049	0.803054621	0.65672896	0.644263031	0.440510894	0.480328128	0.506217168	0.474719485	0.584049815	0.3683608	0.603115641	0.663331379	0.202686719	0.456595538	0.023395927	0.146721232
TCGA-FA-A4XK-01A	0.667575426	0.568023062	0.648581766	0.613301613	0.446102908	0.625922348	0.638055432	0.76603	0.755395639	0.733997906	0.598016441	0.659991863	0.408874518	0.437128034	0.599843032	0.378387021	0.677362638	0.680529568	0.706277323	0.488213085	0.385523755	0.333497723	0.585307556	0.771821771	0.664955875	0.822099948	0.80040224	0.959090416	0.780476232	0.649095	0.537286588	0.45851386	0.618415824	0.853596048	0.578846325	0.78445699	0.661463673	0.634192519	0.495089226	0.520561193	0.512270928	0.471395803	0.588147243	0.352239582	0.594221394	0.663145015	0.207736172	0.450324679	0.015660549	0.098101064
TCGA-GS-A9TT-01A	0.611253806	0.553465658	0.585454489	0.676430509	0.47891645	0.619887475	0.587934354	0.785796341	0.850497266	0.681410642	0.489331611	0.647469924	0.38683855	0.418129517	0.608243374	0.32025776	0.677389993	0.634040264	0.655292915	0.432238163	0.322836561	0.296123237	0.540878382	0.78901001	0.692688806	0.823417273	0.901355962	1	0.882542428	0.500980723	0.465580011	0.419361464	0.615584889	0.856778815	0.557083902	0.763304789	0.603110123	0.622873782	0.458552691	0.476259099	0.496973364	0.372164483	0.549203269	0.326815995	0.564496387	0.62638019	0.233339207	0.412264856	0.020290478	0.116294829
TCGA-FF-8062-01A	0.636071558	0.56215122	0.630325444	0.573797154	0.426223258	0.584634457	0.598478938	0.791221891	0.73811391	0.690451717	0.556966935	0.672532056	0.411930756	0.471759698	0.56879881	0.389676515	0.642475652	0.715443615	0.707107346	0.472699032	0.371446905	0.280536219	0.593746651	0.747732336	0.659169503	0.794930849	0.804874593	0.962207111	0.825527375	0.536219566	0.521775417	0.466552555	0.61991396	0.864070363	0.576772728	0.797569296	0.638550005	0.645314869	0.425456645	0.446445513	0.50150564	0.459161239	0.591925165	0.367129353	0.581679081	0.700317849	0.202989641	0.445999503	0.047465778	0.146175279
TCGA-G8-6326-01A	0.677078603	0.580215692	0.63204982	0.530740834	0.450561379	0.563302679	0.678598596	0.747119038	0.617260815	0.722749317	0.580650908	0.676618882	0.399431975	0.451517681	0.553298044	0.40070197	0.646830565	0.823991848	0.811925553	0.479951433	0.418095493	0.262417468	0.642729814	0.734137249	0.655188067	0.752092059	0.652711356	0.894946087	0.723156576	0.533478317	0.604859426	0.504622857	0.636081018	0.851688262	0.546555053	0.819890911	0.651739444	0.635019582	0.444150109	0.41370774	0.513830687	0.457425734	0.614906233	0.38157891	0.583093611	0.745545572	0.163515144	0.451678928	0.040969418	0.103614786
