ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-2H-A9GF-01A	0.618032904	0.589776974	0.680543154	0.697035601	0.592700506	0.783751286	0.500736255	0.711606807	0.754890598	0.700771089	0.724327836	0.691449466	0.59987913	0.627919833	0.65658268	0.445644605	0.78599116	0.641252495	0.570790163	0.554164572	0.443068193	0.402574003	0.5443743	0.767286244	0.675830593	0.785216034	0.743673738	0.925284716	0.730648559	0.663650681	0.408380784	0.512772903	0.621953168	0.821028194	0.660725706	0.759596254	0.669880194	0.63190948	0.558319233	0.649657677	0.541420692	0.545656801	0.522148138	0.362926709	0.576789203	0.405441711	0.20399144	0.447663565	0.032280151	0.23011577
TCGA-2H-A9GG-01A	0.658140748	0.614321302	0.704592874	0.624451777	0.540586238	0.764809571	0.542182566	0.683332769	0.634292425	0.688026816	0.671509129	0.664321228	0.575838476	0.617704215	0.67562874	0.451085447	0.769879678	0.687290959	0.605596788	0.537386883	0.348326286	0.444485921	0.578379757	0.721681914	0.629795243	0.737271332	0.639909639	0.89663232	0.621723162	0.656999988	0.397665295	0.545827073	0.631280682	0.832220879	0.615681629	0.73206876	0.641342015	0.686789302	0.589811867	0.648916339	0.532268922	0.582892821	0.552454008	0.402738958	0.598685052	0.439539883	0.167731068	0.498571768	0.110420642	0.599828291
TCGA-2H-A9GH-01A	0.637591775	0.598748048	0.774632574	0.705323987	0.447629811	0.780105305	0.523296883	0.68976444	0.769282157	0.697188768	0.645186441	0.704441678	0.602777584	0.634529753	0.738610354	0.375351767	0.807762524	0.738263277	0.620058161	0.525015807	0.441832104	0.36706053	0.557231373	0.778611817	0.644844846	0.814030215	0.761486945	0.935841932	0.717617994	0.627811816	0.43223033	0.535682338	0.694686437	0.851272636	0.683261918	0.753249175	0.647473891	0.648003145	0.603855646	0.584193534	0.548815161	0.520004308	0.52316962	0.411885839	0.636784393	0.442478803	0.191448348	0.458154715	0.073438642	0.146938691
TCGA-2H-A9GI-01A	0.652633495	0.572720833	0.672584546	0.622039615	0.580921928	0.759464193	0.550852625	0.72093024	0.708001391	0.685495169	0.62169475	0.693496844	0.558842664	0.595085289	0.670779865	0.352522368	0.765873813	0.794535864	0.680156525	0.498186513	0.372158211	0.327234784	0.549875313	0.794647788	0.6395426	0.788238383	0.710617206	0.964402051	0.788081725	0.551892725	0.429532246	0.5312812	0.672239219	0.872789898	0.642155999	0.753671684	0.645209623	0.643574378	0.531488656	0.598084331	0.527952532	0.510280598	0.531487883	0.37005654	0.619938218	0.457545077	0.17363615	0.423969811	0.029616418	0.18081594
TCGA-2H-A9GJ-01A	0.699295972	0.614626676	0.756552517	0.671412119	0.505888901	0.826155335	0.512564369	0.669695665	0.698611727	0.681649866	0.670498507	0.715553151	0.608362977	0.629460532	0.712361123	0.377421419	0.808181397	0.628624188	0.566925594	0.502211115	0.401328929	0.357151801	0.531291362	0.807936439	0.637991802	0.78432672	0.676212761	0.922937362	0.769789586	0.535050112	0.380305729	0.581912486	0.663241066	0.817703923	0.659800645	0.768379509	0.67880735	0.678166577	0.586344357	0.504726782	0.556430204	0.501503174	0.518720152	0.436071843	0.630283279	0.37620025	0.208153854	0.429450589	0.073669572	0.268228596
TCGA-2H-A9GK-01A	0.838049048	0.664974928	0.711532601	0.669217888	0.556048827	0.838150096	0.684812384	0.690480165	0.67325221	0.75870133	0.70973583	0.681853129	0.602607456	0.625040849	0.710550149	0.433610611	0.76741666	0.741187337	0.715520988	0.572141104	0.441059925	0.422363031	0.642040395	0.795077263	0.659094806	0.776225718	0.650803594	0.928077446	0.749670794	0.710907181	0.598516907	0.518787877	0.611640914	0.80737913	0.655981197	0.790321543	0.702169592	0.679351628	0.624248306	0.730157347	0.545423316	0.60238044	0.641622209	0.353164681	0.589841446	0.584672493	0.148956277	0.576485844	0.056836135	0.199068374
TCGA-2H-A9GL-01A	0.662810533	0.634018717	0.674060709	0.721620857	0.540357402	0.773031482	0.538421848	0.695200024	0.807640721	0.703428964	0.642824437	0.669856387	0.541770504	0.592774225	0.693165335	0.410526017	0.790272405	0.703537976	0.635205046	0.542740764	0.339514993	0.422185815	0.573084867	0.7735738	0.673679581	0.79869854	0.820100979	0.969758573	0.720689042	0.676327419	0.450931102	0.486301238	0.620887359	0.826361509	0.637698445	0.716175615	0.637996828	0.653877038	0.626162699	0.647240644	0.529679203	0.53824245	0.554786395	0.364946473	0.556406289	0.48091858	0.242629367	0.495140165	0.050610958	0.536489302
TCGA-2H-A9GM-01A	0.718717887	0.596149956	0.689790783	0.669580182	0.505980746	0.804615609	0.594285302	0.70231827	0.711041024	0.718302111	0.68345256	0.683601209	0.603643846	0.634157039	0.678532003	0.40158317	0.786337823	0.677326789	0.618906377	0.541208939	0.442753339	0.385734945	0.562748251	0.756696428	0.638578956	0.775235107	0.709010623	0.944954895	0.771047784	0.656769872	0.425213679	0.573422101	0.655100502	0.845635202	0.636139871	0.740501007	0.696211626	0.672611172	0.591004649	0.659957832	0.521073678	0.546423746	0.558612231	0.396012731	0.599825612	0.440369577	0.15379803	0.456846094	0.13998304	0.211237997
TCGA-2H-A9GN-01A	0.781955252	0.652994438	0.733924925	0.700728504	0.537766894	0.767963173	0.589940914	0.699385089	0.794021835	0.726233712	0.701418256	0.694586001	0.608871298	0.639327139	0.703000197	0.401051733	0.763653464	0.59482672	0.564285785	0.528937519	0.398391834	0.454411112	0.568855216	0.810951998	0.656747311	0.828616038	0.79018158	0.981616765	0.842064533	0.710099118	0.484499665	0.511212208	0.632997759	0.82815545	0.665865011	0.74028508	0.665905373	0.698614403	0.588749662	0.698879277	0.511217246	0.547730598	0.579676745	0.361489043	0.599602752	0.453094315	0.227822261	0.503326043	0.037634524	0.27146657
TCGA-2H-A9GO-01A	0.647550367	0.550383012	0.680267968	0.649746653	0.471877111	0.721740283	0.491454332	0.739565271	0.770344829	0.643178268	0.61683462	0.68742755	0.4894641	0.558509515	0.683461627	0.34804552	0.782002186	0.584854305	0.501680792	0.474876778	0.335261704	0.283851398	0.501698799	0.797867091	0.633668018	0.771615879	0.795799135	0.973931478	0.793555593	0.528536331	0.358422103	0.485669279	0.642048137	0.904126131	0.634888851	0.761760058	0.622219763	0.666315678	0.506539224	0.504611194	0.522353675	0.446717869	0.481281383	0.332221238	0.565115425	0.345864694	0.212717692	0.404408955	0.060862763	0.192135249
