ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-02-0047-01A	0.606287997	0.69629262	0.737268977	0.629821415	0.567415935	0.740025057	0.508199176	0.693774987	0.609718971	0.702055979	0.739348786	0.72302218	0.498161692	0.515218198	0.666956618	0.534430154	0.782976977	0.581575848	0.554308518	0.584391654	0.399874135	0.642190427	0.562501238	0.76958989	0.658932219	0.806648168	0.628888475	0.904759173	0.614134889	0.702962443	0.445206084	0.514552116	0.658856056	0.853381245	0.633897719	0.756251556	0.642972429	0.679969073	0.611209934	0.672755155	0.586938781	0.513947134	0.517725534	0.393400131	0.596939671	0.424912834	0.221625111	0.519358556	0.088485809	0.297794669
TCGA-02-0055-01A	0.846923932	0.756192139	0.737335065	0.574219732	0.522593787	0.785000723	0.650312747	0.736586435	0.613544612	0.773491121	0.665865505	0.735381821	0.539063515	0.55193614	0.719299078	0.529094451	0.781338856	0.675596472	0.673683357	0.594007716	0.440278554	0.531099467	0.626974138	0.830110319	0.63716426	0.833923277	0.651250763	0.952772789	0.736612563	0.883109809	0.616406564	0.554660849	0.651194143	0.880159747	0.686825188	0.833924638	0.706424404	0.745152503	0.63033145	0.744644509	0.566222001	0.597780657	0.633469118	0.412887473	0.622780383	0.566348896	0.185084063	0.588393862	0.046214559	0.299247165
TCGA-02-2483-01A	0.583083781	0.646287151	0.677107124	0.636142163	0.596315578	0.697524502	0.466059205	0.786891464	0.768093446	0.662556322	0.65824877	0.702881392	0.432290772	0.469657933	0.596595313	0.455802358	0.719562977	0.545766061	0.503892549	0.524289608	0.335365203	0.602402816	0.527374484	0.795641933	0.637699164	0.809307449	0.802102006	0.991282282	0.761182379	0.610189269	0.39046186	0.474684754	0.618945801	0.883963556	0.611426301	0.751806223	0.622938164	0.679446917	0.547700022	0.601016312	0.54634927	0.46774004	0.482768705	0.331135398	0.586737792	0.429689878	0.256223591	0.477937211	0.055721979	0.361289968
TCGA-02-2485-01A	0.654199467	0.653540637	0.718799629	0.627615436	0.590394148	0.718230492	0.50102941	0.756352793	0.700349586	0.686696763	0.702785083	0.705312953	0.463804625	0.469007795	0.628032662	0.474194353	0.730484817	0.757181053	0.630493184	0.529734303	0.334816997	0.622967489	0.523943115	0.779190005	0.653171027	0.794164573	0.736755311	0.961643033	0.703841449	0.612112036	0.395399319	0.481589299	0.632175664	0.857533116	0.580961104	0.722280885	0.632164923	0.713323424	0.56561555	0.585234742	0.553470581	0.452718018	0.501193119	0.397074995	0.60026048	0.395691065	0.239218736	0.465061887	0.113434416	0.363659771
TCGA-02-2486-01A	0.699702905	0.709823318	0.71710481	0.519380044	0.485618932	0.713237993	0.610831461	0.754515441	0.502771739	0.712372377	0.643739098	0.737012666	0.453272454	0.491093656	0.630573911	0.501519782	0.768982375	0.894684916	0.769845517	0.518239233	0.370122675	0.503454426	0.599839308	0.791819933	0.65024085	0.803971451	0.551594275	0.918996089	0.669142254	0.685589262	0.542255966	0.533200502	0.666138048	0.889860408	0.64026406	0.819648129	0.688420295	0.691444145	0.542482163	0.607985963	0.578147452	0.530880912	0.577617002	0.449484607	0.610438624	0.534760263	0.194180529	0.507150484	0.058844267	0.20543052
TCGA-06-0125-01A	0.597369034	0.673478569	0.733008617	0.649842008	0.574778223	0.73915757	0.443706936	0.746827353	0.674318024	0.659701064	0.733770155	0.698920951	0.449229154	0.471501034	0.637580783	0.489672802	0.750869793	0.545952501	0.498659502	0.57193112	0.387954433	0.580071899	0.506073239	0.76633715	0.635977943	0.780415881	0.715336867	0.95127921	0.715382026	0.690700918	0.378553247	0.474390592	0.624324794	0.849594935	0.617271559	0.713337004	0.622822272	0.671235287	0.586615866	0.681400037	0.544084961	0.491020001	0.501509518	0.394291559	0.590205475	0.362365834	0.21555812	0.437509304	0.08146424	0.255770628
TCGA-06-0129-01A	0.53091249	0.55315896	0.669403167	0.704830957	0.616089489	0.689999724	0.484717319	0.75571393	0.768707319	0.625172028	0.662759453	0.65885785	0.408666367	0.44164065	0.592455858	0.4317356	0.729516132	0.77154265	0.633424103	0.539299531	0.351688109	0.581969486	0.51154497	0.751372129	0.63768461	0.750429186	0.795858155	0.954345485	0.710191884	0.462083624	0.373143058	0.440588195	0.587176286	0.820779002	0.54500406	0.718029903	0.60993128	0.654177336	0.515623431	0.430253015	0.546418555	0.387171034	0.45796659	0.343553654	0.5685428	0.439418027	0.248391299	0.429535175	0.091499387	0.335907399
TCGA-06-0130-01A	0.731780817	0.674057917	0.664758404	0.614080459	0.527863725	0.775569445	0.663680553	0.76651386	0.683199756	0.747745043	0.673602335	0.724995576	0.448849549	0.484459129	0.63358461	0.495176679	0.773039009	0.844860721	0.773878582	0.577343317	0.436109384	0.523376738	0.616630778	0.802364227	0.665421124	0.803730996	0.726110516	0.961798174	0.719284938	0.807189098	0.588371953	0.517062484	0.64433274	0.858443174	0.647179056	0.810178091	0.68781556	0.679287998	0.612753425	0.664089766	0.549199911	0.561855006	0.602286041	0.392512683	0.605503731	0.629522142	0.194684668	0.538745103	0.029228526	0.225317772
TCGA-06-0132-01A	0.640639082	0.686293986	0.711597139	0.523723445	0.47277301	0.712599684	0.579493662	0.695218715	0.454921524	0.68179788	0.622203914	0.739718689	0.472497021	0.501805287	0.644310927	0.524434414	0.773789538	0.660812216	0.616956038	0.554580713	0.367191835	0.573671975	0.608550036	0.750692367	0.644623087	0.789841449	0.489407211	0.880860548	0.586496498	0.670810817	0.518483615	0.544016454	0.680332452	0.901516666	0.609603331	0.812797133	0.657172367	0.708367805	0.568931921	0.63442106	0.607767032	0.523185845	0.541340104	0.448888601	0.614778343	0.508543981	0.207921677	0.541689435	0.11053023	0.357080685
TCGA-06-0138-01A	0.657533649	0.711042297	0.706659276	0.533916986	0.505957729	0.700411217	0.557373013	0.761490873	0.603511905	0.687398103	0.654206169	0.728415642	0.430739211	0.478903434	0.592290274	0.503973738	0.752604618	0.641688811	0.587583817	0.538180126	0.364322436	0.548539763	0.556717624	0.759861171	0.632349983	0.800910577	0.676343514	0.937276555	0.670469662	0.666707242	0.475766657	0.510438656	0.651731597	0.899656355	0.634127685	0.770179563	0.664272153	0.70510733	0.523566547	0.657249562	0.563020884	0.515096608	0.526139641	0.416384682	0.600542876	0.466457727	0.235561529	0.524224294	0.084418749	0.292857516
