ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-4P-AA8J-01A	0.706634095	0.66713208	0.667265431	0.586566528	0.595120872	0.734557418	0.589167629	0.742558693	0.650005317	0.74425624	0.675638359	0.684164165	0.571987891	0.624308931	0.620219503	0.674300866	0.698699581	0.773265897	0.684417786	0.629374412	0.504336864	0.397131645	0.580737314	0.765020388	0.626439163	0.766280618	0.662437729	0.922729993	0.754742493	0.81877614	0.49773046	0.491749899	0.606289148	0.839878018	0.660435328	0.765668269	0.730506232	0.681466944	0.561705244	0.664992763	0.511342438	0.585434108	0.573001353	0.355559117	0.571549406	0.539967804	0.167539052	0.496033228	0.227894451	0.153087721
TCGA-BA-4074-01A	0.730839556	0.640575512	0.693973953	0.574070363	0.480203486	0.701398316	0.586863555	0.772355294	0.738395232	0.733254725	0.597538532	0.698217088	0.519286636	0.605967396	0.648606538	0.458613589	0.771488851	0.720521527	0.660612136	0.54565551	0.435873348	0.311933491	0.568318982	0.7960252	0.66095447	0.840040468	0.790307142	0.979395466	0.779017046	0.773832095	0.551921917	0.518555009	0.655893337	0.893028286	0.678442894	0.736314248	0.707549777	0.683669714	0.518764899	0.661203381	0.524439989	0.534283763	0.561677937	0.372632116	0.607277869	0.49717585	0.239528741	0.5016276	0.117836656	0.132027677
TCGA-BA-4075-01A	0.790682149	0.688284372	0.726918746	0.574479575	0.488456172	0.724296668	0.591430383	0.7652842	0.698505521	0.757231764	0.547555237	0.70359203	0.53251871	0.586088868	0.660748466	0.508802595	0.768658501	0.668181588	0.639465005	0.569278678	0.399349154	0.314159969	0.588841948	0.81589784	0.663303231	0.856367185	0.737011892	0.962818352	0.776328948	0.740439749	0.567349889	0.537713118	0.656370815	0.886306834	0.692337929	0.767021261	0.742636483	0.702736479	0.537280618	0.684253146	0.55530077	0.551111855	0.556932287	0.376711246	0.606120192	0.500433266	0.221042554	0.508281283	0.144502998	0.108106261
TCGA-BA-4076-01A	0.723217884	0.691515062	0.708017362	0.628611113	0.547493062	0.771109036	0.545446834	0.742305976	0.70982102	0.718711691	0.633543583	0.66190618	0.58512479	0.636333532	0.674039847	0.424276239	0.773951941	0.596069461	0.555716175	0.581537388	0.517570319	0.342211266	0.532797866	0.791532659	0.671285318	0.822170413	0.717915468	0.948193567	0.761297566	0.669351504	0.481716417	0.496529699	0.61435767	0.834566896	0.699169481	0.76061162	0.749201245	0.673722957	0.539575301	0.601270579	0.559137546	0.497286168	0.538621376	0.346474405	0.581558307	0.426647371	0.215120969	0.435435894	0.187009147	0.124506213
TCGA-BA-4077-01B	0.737481081	0.683330783	0.722520117	0.658634764	0.553789668	0.757198721	0.643166922	0.739540689	0.761054187	0.751872646	0.621405996	0.692365783	0.621378119	0.673120076	0.691706015	0.48900781	0.743021072	0.855201984	0.768422865	0.603400143	0.56568718	0.370900415	0.633485977	0.778942241	0.676453006	0.836975346	0.790211156	0.946063033	0.748372506	0.713370004	0.568994947	0.534792435	0.648574712	0.819875869	0.684162982	0.764370189	0.759556254	0.718564388	0.554125868	0.60835174	0.559412003	0.557818153	0.589786046	0.372920588	0.628218741	0.582771439	0.222279102	0.483530831	0.208124855	0.13546794
TCGA-BA-4078-01A	0.660589545	0.644308054	0.710706457	0.671072715	0.600598574	0.770698069	0.537762285	0.744875029	0.768091614	0.721380269	0.669024176	0.658838098	0.541953656	0.594332599	0.627512803	0.42080431	0.723851475	0.66724287	0.601405721	0.603868564	0.549514452	0.491138901	0.50421318	0.768356221	0.660349665	0.784137825	0.786046042	0.949875757	0.745428982	0.777071741	0.463736383	0.476798031	0.630247263	0.809732773	0.643682954	0.691340055	0.717513403	0.664540108	0.580918681	0.639152884	0.515598889	0.506544916	0.53008133	0.358056408	0.593598845	0.471797674	0.191468964	0.446976088	0.143203396	0.128268567
TCGA-BA-5151-01A	0.760900544	0.645925994	0.707871218	0.671140251	0.566701774	0.796544231	0.63388234	0.696162153	0.705809773	0.75029822	0.639547543	0.673296597	0.602975096	0.629627504	0.688299412	0.419764242	0.79794978	0.830627886	0.740015102	0.59740382	0.506443298	0.387646998	0.608300963	0.800953222	0.685337527	0.815469164	0.689079375	0.939439502	0.761181527	0.698145335	0.595982469	0.510371068	0.615749042	0.82015507	0.645718167	0.736844526	0.744481597	0.681797396	0.60160751	0.637356543	0.573328492	0.533536515	0.581845994	0.367129605	0.592000164	0.53345518	0.182836639	0.519300119	0.179958793	0.138297355
TCGA-BA-5152-01A	0.749238318	0.646029387	0.703264835	0.605010581	0.523773722	0.720741809	0.639031508	0.744641443	0.702134444	0.771172046	0.611624838	0.707984912	0.60845288	0.650118186	0.653447494	0.413755176	0.761031333	0.848588396	0.747479894	0.575624223	0.523644825	0.336752453	0.616761258	0.787939944	0.677437169	0.829830419	0.722935871	0.947904359	0.795811963	0.662875581	0.583325208	0.536525144	0.654337951	0.875109552	0.664753252	0.778281331	0.761873212	0.683388943	0.538062471	0.641330416	0.566130381	0.545168091	0.589814551	0.381522864	0.618767358	0.590213504	0.185819214	0.479810629	0.172951362	0.134451958
TCGA-BA-5153-01A	0.748267105	0.635537991	0.711475814	0.709444154	0.590602022	0.775884284	0.605554717	0.71548145	0.787677101	0.753180226	0.676245169	0.678211985	0.607121717	0.630298621	0.693284464	0.419317934	0.737911059	0.743747188	0.69413282	0.577708229	0.579379662	0.412357397	0.564854084	0.748668153	0.696811706	0.795404396	0.813246291	0.924693328	0.710761983	0.647523926	0.512829564	0.486648473	0.621965576	0.803713979	0.632974919	0.747807143	0.738966601	0.681109628	0.56445739	0.568713075	0.561671572	0.49482821	0.573273011	0.381985126	0.607649973	0.58541179	0.240628681	0.447956629	0.188071158	0.115099216
TCGA-BA-5555-01A	0.642735969	0.614174614	0.741785656	0.678398784	0.612278608	0.685415009	0.55123368	0.728015259	0.755271091	0.71654636	0.620808945	0.695490381	0.618518477	0.657700569	0.683038999	0.432858522	0.754243019	0.764453415	0.687900349	0.595030503	0.537184599	0.413534933	0.581209099	0.780988075	0.673974233	0.835448134	0.770623205	0.952317623	0.829283776	0.63880505	0.466434474	0.512356534	0.657952514	0.823957181	0.666631325	0.777924402	0.719207176	0.671052436	0.540649572	0.588927598	0.568412153	0.509782984	0.549080776	0.36672671	0.636800798	0.502581799	0.233045283	0.437903823	0.191968647	0.141444114
