id	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-KL-8332-01A	0.615729835	0.654400919	0.766002359	0.568274181	0.51469638	0.772938632	0.461217221	0.690024697	0.494569853	0.683449566	0.552000182	0.79775198	0.578009769	0.567051445	0.747423589	0.4752505	0.816113373	0.642985648	0.564542849	0.508978086	0.480196775	0.432719096	0.541604631	0.740888713	0.662474705	0.774822853	0.472540337	0.846225639	0.614558298	0.50822183	0.381856938	0.535449345	0.762198549	0.965081464	0.591897426	0.774331553	0.675230356	0.652282278	0.57527469	0.612848816	0.597327269	0.45532905	0.542576477	0.462100378	0.638320884	0.393339323	0.159149003	0.436329707	0.073271832	0.268824698
TCGA-KN-8423-01A	0.531082892	0.589283372	0.703310894	0.557107335	0.464213412	0.704976219	0.437922734	0.689260264	0.46950011	0.657720024	0.507549539	0.789379475	0.551507035	0.53934786	0.704380312	0.443579522	0.853239903	0.581409844	0.519881505	0.515153178	0.51202444	0.449529293	0.492652009	0.688936395	0.643821498	0.721948262	0.468554236	0.853849659	0.621701277	0.4623279	0.370466924	0.517341018	0.749557943	0.966068725	0.576096629	0.74253322	0.599688523	0.616334667	0.561760276	0.481312122	0.576584177	0.393386142	0.500025779	0.470007799	0.624569657	0.365559645	0.152029228	0.387581561	0.080202192	0.298463081
TCGA-KL-8327-01A	0.560172517	0.594310353	0.628435355	0.509681249	0.524361166	0.698482346	0.42149667	0.722114341	0.44903784	0.643205528	0.540355461	0.741127925	0.470382263	0.476635756	0.619098025	0.447868894	0.728615742	0.596882988	0.504279684	0.472449737	0.478925954	0.446387909	0.489852891	0.690617064	0.620834354	0.678865466	0.454064824	0.843202231	0.674488295	0.423444755	0.306168644	0.485684001	0.703978131	0.938700689	0.551623275	0.736908409	0.634934392	0.632051544	0.523532143	0.449286172	0.563973711	0.404124024	0.495890596	0.405331443	0.596623142	0.342330915	0.161359305	0.362117768	0.094614069	0.219838458
TCGA-KO-8409-01A	0.488453024	0.579001219	0.703186924	0.500041834	0.469276832	0.677739461	0.406858622	0.735757948	0.450235618	0.643329306	0.473138214	0.76785072	0.501436616	0.499755536	0.610981189	0.430229086	0.75971015	0.580722363	0.509487613	0.482098905	0.494127117	0.351275308	0.490645081	0.711640574	0.621128881	0.7212244	0.463566551	0.84561877	0.659025722	0.415077783	0.315673942	0.510888269	0.728503256	0.971563702	0.5636907	0.756385257	0.62249567	0.610955367	0.5002178	0.428935321	0.551464641	0.396394763	0.479817286	0.450018102	0.630031048	0.362536793	0.153985075	0.342101321	0.09783684	0.200017845
TCGA-KN-8430-01A	0.627842988	0.660874524	0.730427133	0.552288483	0.458083172	0.776444456	0.492764325	0.706629119	0.505773293	0.693506636	0.515091528	0.798738222	0.540818308	0.538187075	0.70529296	0.473612469	0.839743134	0.619679747	0.563243678	0.535590831	0.513056419	0.411674223	0.541431759	0.751956152	0.667076706	0.769926884	0.508924155	0.861754423	0.630445724	0.599251064	0.441041236	0.522855895	0.738494024	0.977938781	0.601126753	0.751251597	0.658586112	0.659487023	0.583321037	0.642295287	0.586156176	0.482182055	0.527096555	0.45726419	0.647466215	0.438121094	0.174019222	0.440108335	0.100057993	0.18502665
TCGA-KL-8329-01A	0.552953287	0.619319211	0.716949227	0.545953324	0.470635575	0.739607929	0.495206328	0.714191887	0.51449192	0.672989045	0.590716388	0.778215292	0.542801776	0.537966435	0.71507453	0.448309044	0.839930424	0.626673278	0.562919561	0.512762602	0.486183167	0.380086304	0.54084285	0.737867371	0.650888883	0.765058832	0.505000457	0.86998931	0.639843011	0.515338817	0.400747081	0.517814701	0.728402097	0.956705446	0.597216734	0.757076765	0.6421167	0.652880007	0.568497972	0.568164644	0.588672635	0.464062489	0.523314442	0.460699912	0.643958969	0.437459083	0.192065669	0.447563911	0.089389419	0.191377424
TCGA-KL-8338-01A	0.587985829	0.640417392	0.731065783	0.526528801	0.513567451	0.711433283	0.44523743	0.724535389	0.504144282	0.66781007	0.572489173	0.783090255	0.536799066	0.550288529	0.69495533	0.444792512	0.78644841	0.587705291	0.518501225	0.498573291	0.492857077	0.493458339	0.503416575	0.733008695	0.637343839	0.757347	0.503121591	0.862433527	0.684530926	0.478515229	0.354352144	0.539124378	0.7607536	0.971839282	0.596879159	0.76930756	0.640073275	0.6754166	0.533634202	0.518544239	0.584058041	0.436734282	0.515247259	0.464424868	0.646278892	0.352867987	0.1852471	0.399840893	0.092471363	0.292376681
TCGA-KN-8429-01A	0.551549935	0.618641696	0.726002047	0.534046019	0.477987369	0.722270229	0.439775145	0.711191971	0.498017363	0.645821094	0.554476919	0.776236122	0.534618913	0.508098237	0.710321632	0.438745799	0.838060677	0.593400255	0.517930737	0.473894645	0.4505443	0.360976074	0.493110402	0.762509529	0.641028489	0.772667622	0.50257799	0.881478242	0.650613089	0.462223456	0.365882338	0.488988491	0.716023334	0.955789085	0.574437214	0.726107433	0.622551206	0.632723119	0.574467608	0.506074409	0.592252673	0.411307411	0.508663076	0.426586903	0.61399708	0.375139395	0.184229092	0.409611582	0.07351806	0.190470236
TCGA-KN-8432-01A	0.535355961	0.582974914	0.69354062	0.5505546	0.506088689	0.7111407	0.444853035	0.706052594	0.478348333	0.656039723	0.619165887	0.769505465	0.480861851	0.484278365	0.702171035	0.409885748	0.847064676	0.62297508	0.543237257	0.483704491	0.459497316	0.397600708	0.490704801	0.693164302	0.638006621	0.742503855	0.471678413	0.865847557	0.625148165	0.471377611	0.369074024	0.500187718	0.740751511	0.96523376	0.557954501	0.740058503	0.613051806	0.612313379	0.584285471	0.525895217	0.585001806	0.416434131	0.521818033	0.454324822	0.623004073	0.378021669	0.168772716	0.408221142	0.084205567	0.271253994
TCGA-KN-8437-01A	0.481560427	0.574090182	0.6760152	0.573010785	0.405001953	0.655535228	0.427677746	0.685397974	0.49250699	0.647231723	0.512693768	0.811689658	0.550997392	0.532309185	0.662820505	0.446764501	0.832170913	0.568660645	0.504943968	0.49233279	0.504755844	0.397738692	0.489585671	0.766533442	0.658452566	0.794568293	0.492167533	0.861326634	0.599035587	0.455523691	0.318613886	0.527492503	0.747916647	0.99352238	0.593792731	0.76140485	0.653366547	0.626685308	0.531290697	0.531599789	0.608202295	0.426401147	0.505175635	0.462508398	0.663599837	0.339151158	0.18322531	0.420439717	0.05734548	0.197606413
TCGA-KL-8342-01A	0.593604478	0.641356233	0.693039218	0.53477715	0.519461683	0.754353169	0.482266993	0.71329239	0.479828936	0.686702897	0.556277048	0.790536	0.54637512	0.520702678	0.701381753	0.455807555	0.811946589	0.657643487	0.583558912	0.513220573	0.513400603	0.479214993	0.541508498	0.717915694	0.662904157	0.748309057	0.485219851	0.860392278	0.641274744	0.522150708	0.402529632	0.510350682	0.737268839	0.967109212	0.597767741	0.75143019	0.666358537	0.650447548	0.592524576	0.542596872	0.591943729	0.467899708	0.539536621	0.461237766	0.627389353	0.430260186	0.179076383	0.447027524	0.088779223	0.236774986
