ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-3Z-A93Z-01A	0.683242868	0.73918451	0.707208808	0.562799081	0.588709124	0.769567345	0.555090158	0.728858468	0.498936269	0.721132695	0.691259086	0.784163353	0.566825122	0.560535677	0.66617667	0.528908873	0.756727072	0.72826828	0.674133214	0.587712759	0.454114147	0.442458142	0.595212227	0.767801335	0.669850656	0.76699011	0.524927946	0.884938888	0.66006003	0.6944782	0.466179935	0.609423776	0.731012321	0.900457204	0.690187606	0.798343288	0.708775276	0.689367055	0.596569533	0.736905932	0.59594625	0.584453426	0.5977379	0.492654444	0.663962172	0.509158401	0.143664938	0.512089514	0.100239746	0.324094199
TCGA-6D-AA2E-01A	0.670116688	0.674009735	0.662665546	0.54459608	0.472185395	0.721471485	0.523998307	0.699662245	0.462900839	0.701289996	0.60895814	0.79912822	0.556207742	0.565281921	0.659148928	0.503771413	0.76463799	0.655531286	0.607403846	0.544612312	0.457962271	0.463318694	0.564526458	0.757399535	0.63830057	0.747279049	0.473276477	0.862025665	0.626900218	0.61402646	0.422049271	0.638531435	0.770383789	0.966965707	0.65090898	0.812185677	0.69217299	0.6736141	0.574972622	0.613456029	0.603153717	0.609628687	0.547554394	0.54134768	0.695593828	0.448822808	0.149563928	0.474110613	0.08268058	0.242798096
TCGA-A3-3306-01A	0.685313427	0.73266664	0.722044835	0.559190643	0.485258963	0.715268376	0.609140557	0.719987825	0.531151773	0.700081192	0.60608412	0.798473134	0.557793435	0.530493503	0.712791991	0.456518724	0.807331274	0.700053111	0.665293056	0.535548895	0.357138048	0.414698292	0.578989913	0.785421879	0.674859449	0.796401228	0.570788791	0.90546796	0.671914404	0.63968051	0.496254287	0.578181039	0.731943366	0.909848874	0.702846065	0.776206862	0.675840776	0.671360695	0.585857671	0.639864853	0.598265323	0.538918991	0.576432363	0.500057403	0.683414339	0.514447708	0.173773879	0.469356869	0.066155021	0.29131539
TCGA-A3-3307-01A	0.715533177	0.737711996	0.695338159	0.571778761	0.55978178	0.800157919	0.63139738	0.700033891	0.524690662	0.721828118	0.688574487	0.79389767	0.562226897	0.545267909	0.717882473	0.473933534	0.801736692	0.762022407	0.716670794	0.56397477	0.415195253	0.490749401	0.630392411	0.762444544	0.679732417	0.778430624	0.538615424	0.892748532	0.639253034	0.637829714	0.528523994	0.610275024	0.754113343	0.892487422	0.677847423	0.79027456	0.693480126	0.68642096	0.615521128	0.698816762	0.617478224	0.564004959	0.607301707	0.484929648	0.667418124	0.561414858	0.144957456	0.513789242	0.087036594	0.356591565
TCGA-A3-3308-01A	0.720723117	0.761189635	0.674526167	0.624740605	0.608152301	0.801411252	0.61792783	0.701365072	0.565563149	0.706040481	0.714211889	0.769702047	0.554844274	0.524065532	0.702083743	0.51328306	0.809779574	0.708084297	0.680849926	0.603165288	0.442730875	0.530206866	0.608288588	0.780575749	0.675021714	0.786843819	0.565235099	0.898444903	0.661071415	0.772290524	0.521141385	0.572952157	0.710553171	0.872859821	0.694051825	0.767955548	0.66939523	0.680673065	0.65435912	0.77335523	0.589153581	0.601448223	0.591202544	0.441041758	0.650171932	0.527341594	0.154740116	0.525794513	0.074374544	0.246455798
TCGA-A3-3311-01A	0.708080415	0.738316627	0.701867696	0.595678908	0.526678795	0.781428809	0.65825604	0.69657984	0.557768615	0.727997473	0.688425067	0.798790483	0.571790648	0.541394896	0.727994833	0.478059374	0.825779144	0.75082587	0.719130636	0.579143054	0.457778404	0.481029246	0.619408885	0.762918627	0.68965188	0.785442237	0.558920823	0.896067699	0.649487754	0.706142071	0.552228251	0.598368134	0.743373047	0.889502709	0.690777611	0.793862709	0.694132753	0.682729867	0.647559367	0.743536198	0.60244624	0.578774447	0.613587726	0.497074277	0.673584196	0.57742513	0.136774211	0.527459484	0.075185368	0.325330339
TCGA-A3-3313-01A	0.591388372	0.628245073	0.666666371	0.625608006	0.506388596	0.736681741	0.50740526	0.70828591	0.561318644	0.661701288	0.620803531	0.78200858	0.533363574	0.525246455	0.686622387	0.45873901	0.82501395	0.593511938	0.559369644	0.524716191	0.425326692	0.471219926	0.534945605	0.809418245	0.652864801	0.799023414	0.577170559	0.902791998	0.697523178	0.601488658	0.403698727	0.604837188	0.757336031	0.945829173	0.616552096	0.769205019	0.665720228	0.6691183	0.597733182	0.651983009	0.616580357	0.518436449	0.528063028	0.522066009	0.674422342	0.407198109	0.180368491	0.425448326	0.042661927	0.237805437
TCGA-A3-3316-01A	0.762044478	0.799058012	0.715650166	0.594155521	0.547586514	0.799520244	0.64314609	0.692570761	0.536774574	0.738882151	0.683170837	0.790804646	0.58918374	0.536724435	0.746154488	0.520335865	0.820032442	0.698673579	0.67614955	0.58989959	0.429539536	0.514845418	0.635961552	0.772267797	0.658331104	0.79311173	0.538223276	0.893735434	0.633036569	0.810530423	0.566304508	0.613283117	0.711207368	0.871466371	0.70976589	0.791528705	0.706698871	0.690489549	0.667967197	0.834461316	0.595582864	0.642568056	0.621786835	0.490344962	0.659807063	0.544806103	0.146308194	0.551675338	0.063707572	0.240946389
TCGA-A3-3317-01A	0.701463972	0.728709928	0.660417383	0.611212467	0.560634096	0.818507708	0.607586389	0.682180874	0.54399243	0.737454178	0.714091555	0.77445808	0.575538451	0.540092405	0.72220301	0.530293078	0.818994755	0.735796904	0.68861221	0.615574079	0.419631577	0.526233183	0.599450233	0.79108731	0.681206835	0.789317793	0.547085285	0.894989043	0.665420635	0.742730834	0.51552532	0.571043452	0.696885742	0.890658745	0.669700372	0.760974866	0.692049012	0.673892096	0.655466452	0.749776395	0.5846004	0.575579479	0.582283103	0.468873361	0.637471299	0.551760252	0.126132789	0.524083882	0.100192509	0.260249524
TCGA-A3-3319-01A	0.721999131	0.763169123	0.732315627	0.602592468	0.463636445	0.724917855	0.655537327	0.714684353	0.607528195	0.719147039	0.618247231	0.78822279	0.6111615	0.600179336	0.696037217	0.476706493	0.840618324	0.739212163	0.708788497	0.565727109	0.405678474	0.467459016	0.612934531	0.805730634	0.695697471	0.826483922	0.62175736	0.883325961	0.662130876	0.664497765	0.545967636	0.637822583	0.707093689	0.862536562	0.732760947	0.800181891	0.704645659	0.682294134	0.590075037	0.594412679	0.613423251	0.628201402	0.59250544	0.527786031	0.691721022	0.557236242	0.183109767	0.493220833	0.093415819	0.281821638
TCGA-A3-3320-01A	0.724897759	0.745060866	0.662330834	0.600774319	0.546573659	0.80558836	0.589515849	0.670013663	0.499802054	0.714338159	0.677713115	0.789542043	0.57944759	0.54196774	0.713174738	0.480446384	0.813063105	0.701798222	0.671143835	0.564332784	0.398663831	0.485199477	0.588395177	0.745573937	0.670822071	0.749976109	0.505108058	0.86170774	0.584781296	0.634317951	0.511132636	0.579025425	0.750762688	0.882203558	0.673259636	0.758426992	0.686327077	0.675373298	0.650148974	0.693602311	0.616691937	0.549071589	0.595574289	0.492026135	0.649792726	0.504670697	0.11968603	0.495524696	0.089341996	0.352211915
TCGA-A3-3322-01A	0.690492628	0.749079855	0.685377589	0.606930795	0.55896472	0.815274186	0.566256239	0.689920277	0.534356561	0.710294047	0.693265652	0.779171928	0.570273542	0.53783683	0.698626992	0.514110485	0.803649586	0.710685375	0.663507495	0.57897864	0.388685355	0.565964476	0.566749023	0.736163747	0.665779701	0.762560645	0.540903254	0.877530493	0.630237668	0.693078129	0.484542027	0.60435538	0.735246432	0.879770295	0.691498146	0.773205972	0.688340945	0.662805194	0.644997954	0.717724101	0.605832259	0.564632408	0.576822002	0.490942267	0.655936914	0.481434003	0.143476548	0.492121175	0.095686656	0.266050715
TCGA-A3-3323-01A	0.648069025	0.759860613	0.666885382	0.620242205	0.573782456	0.784749985	0.616444751	0.688614649	0.50194432	0.715649283	0.680054875	0.764537273	0.561366876	0.524908166	0.701999978	0.526441943	0.803896311	0.749641068	0.713747575	0.617113478	0.426626949	0.502112905	0.625248215	0.712479935	0.676852359	0.753683311	0.505931027	0.855489074	0.563833162	0.715591876	0.529382563	0.577866578	0.686337087	0.84573799	0.671042257	0.747280977	0.701008418	0.634126609	0.668318958	0.746029936	0.601808255	0.592279543	0.609406462	0.463027969	0.628071991	0.565114018	0.130675612	0.516933545	0.080696741	0.204920521
