ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-2K-A9WE-01A	0.766124086	0.701829859	0.729380132	0.527099916	0.476267787	0.71886224	0.631146656	0.726959584	0.467695827	0.7191782	0.610771683	0.776123942	0.555248281	0.579244169	0.644467177	0.457540432	0.762403993	0.695977309	0.680281134	0.555569758	0.42543913	0.408182868	0.628966533	0.751731049	0.637631754	0.7732398	0.499702749	0.872281016	0.667338698	0.643215776	0.544179915	0.618509268	0.714807628	0.910628441	0.67037526	0.84257823	0.736247799	0.685413906	0.540438969	0.632748302	0.589606589	0.613502795	0.598000062	0.484159378	0.647612138	0.575420371	0.127217258	0.540920299	0.037226562	0.263977773
TCGA-2Z-A9J1-01A	0.636551543	0.629050165	0.680815817	0.532033901	0.50044401	0.671497736	0.510851867	0.738071445	0.458413303	0.675996564	0.582217713	0.744519154	0.558259174	0.584725127	0.61157778	0.458907779	0.744357152	0.645316488	0.598879567	0.535673807	0.429932133	0.358563611	0.535491015	0.708453989	0.63182357	0.725162317	0.503824302	0.863762813	0.642688461	0.558590824	0.419531707	0.588748767	0.726734568	0.946775313	0.648599088	0.810669372	0.70614654	0.647829342	0.50222284	0.567675503	0.569540316	0.525459804	0.5421885	0.485109809	0.632937787	0.449543598	0.110951973	0.456797633	0.043895451	0.203847906
TCGA-2Z-A9J2-01A	0.565759223	0.58971218	0.662676131	0.501546028	0.414599904	0.590998864	0.531265609	0.752994402	0.483051673	0.637350267	0.501647869	0.779786909	0.51192202	0.527967569	0.598603212	0.443024025	0.727820531	0.678541224	0.602133519	0.492552475	0.380174635	0.339235977	0.510038743	0.749159364	0.628385375	0.748566336	0.532758119	0.898553315	0.754632771	0.504370792	0.397370497	0.622131369	0.765138238	0.9592102	0.646426383	0.840728705	0.681497436	0.664149628	0.443433495	0.501305649	0.58319631	0.528131087	0.517491296	0.522775567	0.662587027	0.462230638	0.116604692	0.403156603	0.033890481	0.220162656
TCGA-2Z-A9J3-01A	0.575514752	0.610235459	0.675130397	0.587965234	0.476885289	0.681643439	0.459551508	0.758463123	0.585878795	0.61836395	0.611581855	0.727262885	0.538434882	0.572095296	0.616550112	0.429403331	0.744178871	0.58612494	0.534694272	0.550890062	0.390228533	0.375673696	0.46794915	0.749504288	0.626620656	0.761427701	0.633442791	0.905311486	0.713177641	0.547108148	0.337862379	0.538470403	0.675969315	0.902363671	0.681046073	0.748308113	0.670558664	0.641518313	0.508301019	0.533457331	0.561323456	0.478520632	0.503575748	0.443225592	0.605736265	0.331023455	0.174766669	0.380625842	0.024225818	0.199748259
TCGA-2Z-A9J5-01A	0.666111224	0.660874553	0.687413157	0.49287413	0.441722466	0.649404683	0.558908373	0.741020952	0.436200644	0.670899249	0.554737456	0.765661817	0.5348172	0.569761242	0.609380347	0.471237777	0.722631793	0.662216123	0.62101295	0.538406585	0.418798006	0.359367906	0.566110758	0.720817429	0.628000288	0.753856558	0.482024502	0.868934129	0.698315957	0.580905971	0.467114814	0.604704044	0.734832762	0.937602682	0.661777827	0.827951917	0.720444984	0.65910247	0.494170224	0.553689588	0.569514457	0.565023698	0.561278303	0.503077167	0.654739782	0.516700271	0.132048724	0.47565788	0.035537298	0.31314898
TCGA-2Z-A9J6-01A	0.624387253	0.614607957	0.656741136	0.526944609	0.483709961	0.657840669	0.509741973	0.736991504	0.459141237	0.64560045	0.560294592	0.747949939	0.537087344	0.543192665	0.613517234	0.44722106	0.734053198	0.638985313	0.586538269	0.518878422	0.421802742	0.409081446	0.520512284	0.721162596	0.633778713	0.73203807	0.494478272	0.870849457	0.674402678	0.524456392	0.397977674	0.602312973	0.742655561	0.947830542	0.639938158	0.811661167	0.683247036	0.661672043	0.49541348	0.524792194	0.580505911	0.516406767	0.52254726	0.487515859	0.644944797	0.429087973	0.113532552	0.423071317	0.016600855	0.221865315
TCGA-2Z-A9J7-01A	0.551085278	0.599280084	0.674092826	0.508570038	0.470711472	0.661703378	0.413360182	0.756763623	0.473942937	0.608501183	0.552606987	0.735436195	0.537478965	0.531817192	0.583927371	0.453506152	0.724268074	0.546080878	0.485638153	0.521097669	0.383663149	0.357704823	0.456271348	0.744385973	0.599959748	0.731158208	0.522680177	0.905781234	0.761135541	0.529221412	0.305549064	0.555804288	0.676510281	0.933498695	0.646448139	0.747567007	0.650769175	0.651928904	0.485589165	0.518064454	0.554352814	0.494488396	0.48606719	0.452716215	0.639203333	0.31236308	0.155679112	0.376650637	0.039595302	0.291595193
TCGA-2Z-A9J8-01A	0.567958473	0.574974405	0.663326854	0.536235985	0.437390706	0.67308635	0.510798389	0.737351966	0.507882494	0.63641572	0.588607882	0.763755105	0.545487358	0.553294196	0.637604392	0.400209203	0.78959513	0.664429476	0.593539294	0.505461839	0.376799243	0.365104186	0.528995304	0.730440863	0.621973439	0.774061861	0.540468234	0.906100527	0.692949974	0.507018581	0.383282823	0.633448541	0.751693178	0.93050152	0.649036606	0.841502715	0.676201111	0.640686527	0.526415149	0.493273091	0.577641755	0.533279104	0.504736783	0.544348105	0.687443618	0.412470994	0.130259637	0.413702956	0.035111549	0.217783143
TCGA-2Z-A9J9-01A	0.623398235	0.725517854	0.644787623	0.566847315	0.584441708	0.792716968	0.495380342	0.7167304	0.489092487	0.686496994	0.675960589	0.722022225	0.579330947	0.564289178	0.607786089	0.484188558	0.794242914	0.685095521	0.583871424	0.579821535	0.508579155	0.515411774	0.536354358	0.727051967	0.64253017	0.720388606	0.503210618	0.882144474	0.643883856	0.61386255	0.40165409	0.463051709	0.658559053	0.875310175	0.659598604	0.709068078	0.693458986	0.631595048	0.620629287	0.664465673	0.573465852	0.502834549	0.544284806	0.395481633	0.583785816	0.405399354	0.12302311	0.463056961	0.10534803	0.206088328
TCGA-2Z-A9JD-01A	0.642326414	0.639684663	0.673529455	0.55190762	0.443741117	0.685441654	0.456752953	0.721140132	0.467356325	0.647701771	0.542960742	0.78383192	0.573320873	0.538833161	0.666223969	0.434135062	0.778626151	0.560774419	0.511539196	0.488620847	0.384043454	0.41855423	0.479283735	0.747591064	0.62752094	0.749170363	0.503794383	0.884309265	0.691992258	0.509553424	0.344864536	0.612869948	0.763598504	0.979823277	0.647850222	0.784636304	0.689269307	0.665777987	0.527802601	0.547278015	0.610667621	0.477917124	0.515928271	0.517706392	0.665698135	0.328285511	0.115444054	0.384804414	0.034683429	0.222465355
