ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-CS-4938-01B	0.498106991	0.560450924	0.658922275	0.597911956	0.558085976	0.714356347	0.381126862	0.710716296	0.495219389	0.597516064	0.74050285	0.719570828	0.46050822	0.429540597	0.622304541	0.452844928	0.784096583	0.517278527	0.438580135	0.508634959	0.352172729	0.570090335	0.462284115	0.748159019	0.626102167	0.747438375	0.516366082	0.917364874	0.652852881	0.459083656	0.300637747	0.466119185	0.658877007	0.889440376	0.545777234	0.707628109	0.580842232	0.637989285	0.537633276	0.419433913	0.591770811	0.359517417	0.439979338	0.449881572	0.594006469	0.318188284	0.171553399	0.391281464	0.045330344	0.224361777
TCGA-CS-4941-01A	0.561630768	0.603414265	0.686931454	0.598225037	0.560292775	0.721595045	0.474452956	0.7133707	0.543670286	0.662689583	0.707574887	0.727033268	0.457217102	0.441563004	0.617035256	0.47926466	0.77356757	0.806489897	0.66052441	0.519258141	0.375704368	0.552100704	0.537772857	0.768800672	0.647461117	0.767428668	0.568019743	0.913885405	0.652147242	0.564608216	0.393940283	0.474507273	0.648911009	0.877001196	0.571216722	0.737771653	0.629073475	0.676022261	0.547030175	0.571872541	0.583081626	0.463760031	0.505672848	0.429697385	0.601973077	0.434286306	0.196071746	0.452464968	0.07162442	0.217772739
TCGA-CS-4942-01A	0.460492994	0.546937792	0.662279984	0.606990994	0.593934885	0.705735402	0.418785567	0.712645719	0.541513894	0.58418553	0.726889978	0.706157637	0.455434774	0.432088329	0.641236983	0.425376398	0.770037682	0.71771213	0.583829594	0.523649599	0.380664042	0.62603553	0.500028838	0.749736734	0.638055772	0.760011898	0.556797628	0.92139984	0.659145629	0.423653505	0.360633981	0.469530919	0.638945785	0.874785147	0.55379546	0.690637106	0.58141207	0.652297581	0.522377148	0.390057392	0.573755774	0.366494579	0.472497255	0.425517062	0.603049529	0.39495587	0.189374421	0.442121477	0.077364622	0.269937572
TCGA-CS-4943-01A	0.441488125	0.522789926	0.645930454	0.702817925	0.633318578	0.693743288	0.350965004	0.770627428	0.783746215	0.585486457	0.679263747	0.682771645	0.426301558	0.417850657	0.596314148	0.401454828	0.73997087	0.451217527	0.392603665	0.495034548	0.342931626	0.647909952	0.423762736	0.771324015	0.63008328	0.763451742	0.811617131	0.988693939	0.744003807	0.423121851	0.281106192	0.419935752	0.590916455	0.855361442	0.550942641	0.692246342	0.560548124	0.646882994	0.501844971	0.416789218	0.545158195	0.305212874	0.409094875	0.362882489	0.569685859	0.328762496	0.246692069	0.374425169	0.027683798	0.331951726
TCGA-CS-4944-01A	0.494085977	0.599653011	0.67132188	0.53767871	0.530103641	0.692233365	0.37574231	0.716291068	0.447599216	0.626375571	0.720530772	0.747020036	0.480021804	0.464114239	0.624657867	0.496755529	0.774470661	0.557664821	0.478060152	0.502570287	0.349761029	0.619511482	0.497201133	0.746072927	0.626275426	0.76423691	0.480786978	0.908745102	0.649342102	0.500906741	0.318878592	0.502896259	0.68278665	0.924016497	0.573782041	0.763613139	0.616256083	0.666324356	0.539250382	0.40956638	0.59556558	0.404563439	0.4691619	0.455092112	0.605909557	0.340548428	0.158869221	0.42591498	0.061687092	0.300168141
TCGA-CS-5390-01A	0.388508526	0.521975025	0.653815114	0.658679674	0.622764464	0.681546505	0.297555566	0.719591103	0.62075422	0.575138227	0.651501678	0.680038031	0.439945407	0.404630147	0.646769498	0.416489032	0.765065477	0.468491045	0.372611331	0.503660214	0.328798562	0.702631219	0.410617952	0.751512982	0.615566464	0.736819659	0.630000749	0.939175559	0.692528809	0.408999376	0.228476867	0.440514002	0.613726202	0.857044755	0.522454365	0.659080873	0.576780076	0.646171411	0.547819562	0.368772536	0.560317466	0.316004006	0.398057574	0.365619306	0.576356851	0.254102228	0.211306818	0.37002174	0.080436783	0.390934136
TCGA-CS-5393-01A	0.439789932	0.555808049	0.656349701	0.618421054	0.619706972	0.734053632	0.377070306	0.704323301	0.499255635	0.590411244	0.707709226	0.703968979	0.458008293	0.42540098	0.642132838	0.433970044	0.763523563	0.471967467	0.402700253	0.52547599	0.354030193	0.636169634	0.474405425	0.736173498	0.624049353	0.724621347	0.499895874	0.911344423	0.650351092	0.424439877	0.304248572	0.453033109	0.631377459	0.865532303	0.532819546	0.708201238	0.590414102	0.657486457	0.537749134	0.364003254	0.58895408	0.358103885	0.457200587	0.392868396	0.581763378	0.324276799	0.173755236	0.419911223	0.070009124	0.317586498
TCGA-CS-5394-01A	0.374667326	0.532179655	0.628589637	0.625359761	0.604496127	0.688747837	0.275119712	0.698881638	0.581242465	0.546006589	0.645804723	0.693009468	0.45150797	0.385694845	0.607257635	0.415496006	0.796465842	0.483841432	0.392463324	0.494840497	0.313116012	0.70617709	0.397915478	0.750879449	0.629092798	0.739852585	0.595902203	0.922356315	0.655934522	0.403821973	0.221382306	0.443990162	0.615413628	0.891828349	0.53018279	0.641386033	0.571184735	0.627864422	0.546477404	0.393235763	0.572531655	0.273921025	0.402917351	0.401297102	0.573240991	0.239235148	0.208326912	0.3489484	0.047688214	0.368994571
TCGA-CS-5395-01A	0.401677612	0.558693856	0.678504718	0.652016484	0.60162399	0.691904024	0.336739133	0.710649477	0.641711927	0.600487832	0.772037828	0.739559253	0.460700991	0.449491888	0.633995578	0.446909835	0.788653589	0.507497731	0.425316554	0.517356343	0.345610535	0.594885065	0.458280486	0.736833825	0.64167666	0.777053852	0.645367496	0.93442744	0.648956775	0.520283578	0.27205216	0.464068048	0.669972607	0.868683734	0.567170218	0.662404981	0.558328349	0.647983892	0.57370907	0.488261337	0.596767572	0.39086974	0.44478635	0.474734662	0.608649932	0.269522587	0.212770393	0.406481238	0.080533594	0.286141073
TCGA-CS-5396-01A	0.468089576	0.560884678	0.699932276	0.612611749	0.584054988	0.68682515	0.35159177	0.686771988	0.540743459	0.62904382	0.615124647	0.722219329	0.485148907	0.442260296	0.640777045	0.489043487	0.796675174	0.541078769	0.457663571	0.523702012	0.332784035	0.66661585	0.485438234	0.741979395	0.628204977	0.744222425	0.540389912	0.876804254	0.618983626	0.530331983	0.30532291	0.465437088	0.645712376	0.863255026	0.565180435	0.672789035	0.629319314	0.641582192	0.567148927	0.488831705	0.569023911	0.405403707	0.45083021	0.414437994	0.598748982	0.304191921	0.198494837	0.423394286	0.05418297	0.33437943
