ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-2V-A95S-01A	0.675394524	0.604690164	0.786773087	0.555110521	0.435107533	0.643457916	0.637086443	0.760347654	0.634849195	0.706743548	0.532986884	0.740475467	0.478155558	0.529588824	0.653559314	0.376325859	0.738597267	0.875914359	0.77074712	0.466238339	0.350251615	0.303746834	0.657609571	0.793443897	0.659131752	0.809428624	0.661116464	0.933576105	0.764256671	0.523787422	0.483457675	0.751020455	0.756313952	0.90836051	0.64744276	0.838408019	0.675413516	0.692225748	0.441518578	0.545991605	0.542378391	0.704951703	0.590209535	0.578568612	0.687409957	0.617988395	0.140164982	0.495998314	0.063845041	0.241859136
TCGA-2Y-A9GS-01A	0.548719801	0.601628252	0.788470339	0.599527482	0.428512736	0.658459478	0.526089213	0.739748682	0.651197099	0.667009315	0.556760893	0.797064275	0.502438216	0.511698111	0.665253068	0.384392098	0.744221707	0.71550434	0.616483522	0.475990598	0.389820758	0.303810401	0.620075438	0.77893844	0.621743339	0.808391079	0.697267839	0.933753301	0.746008947	0.527757252	0.376831252	0.837478632	0.837464694	0.914777732	0.672395856	0.830895958	0.619518141	0.665957961	0.49220146	0.56328728	0.579619227	0.754313262	0.513786362	0.73998675	0.772344487	0.435065861	0.151734067	0.427615445	0.052240205	0.278096951
TCGA-2Y-A9GT-01A	0.615411896	0.611609441	0.809060831	0.533577531	0.421933463	0.66407328	0.596177234	0.697424187	0.518102049	0.707671864	0.614194747	0.809672697	0.509525955	0.509571679	0.678975272	0.421328697	0.749963628	0.791338736	0.710170471	0.487427769	0.3810382	0.309498988	0.637204769	0.766277082	0.633143863	0.772366813	0.543062222	0.852416235	0.630069515	0.530160878	0.431121197	0.861589128	0.843365666	0.906295183	0.637094023	0.788949234	0.641033768	0.658303847	0.540294413	0.586778953	0.578105754	0.7765576	0.536733322	0.762414835	0.772622385	0.541745742	0.08386058	0.463787138	0.090543281	0.229793333
TCGA-2Y-A9GU-01A	0.468062505	0.587004643	0.75498826	0.573323056	0.444128374	0.611037848	0.470404568	0.699432129	0.564009188	0.622440524	0.579513482	0.811317394	0.489731247	0.516165751	0.656025863	0.416827561	0.773086675	0.616499904	0.534797109	0.465739401	0.373878871	0.377664897	0.544961366	0.763175194	0.602646155	0.758517937	0.605442505	0.87407141	0.656669185	0.43472921	0.283923948	0.811436782	0.830436699	0.972503924	0.670124124	0.798522695	0.594724459	0.657370753	0.469732566	0.461915565	0.566627388	0.714972486	0.439506902	0.742935092	0.769529852	0.352397153	0.125600329	0.38945563	0.095933433	0.295584366
TCGA-2Y-A9GV-01A	0.641348832	0.629835331	0.832797363	0.525972798	0.410762064	0.701366651	0.593565146	0.684334254	0.470113106	0.682119442	0.557810237	0.810560072	0.512618118	0.502145818	0.698871314	0.395182473	0.754438695	0.736526727	0.662696365	0.480426917	0.373885973	0.338859766	0.634613166	0.765846402	0.618751376	0.774594376	0.491051854	0.857194691	0.647780707	0.524601708	0.430625098	0.86409998	0.841287358	0.904926225	0.636965522	0.793927248	0.639913188	0.649969279	0.535865354	0.589078209	0.579066414	0.76202753	0.512854416	0.767419104	0.757168021	0.473257573	0.079727167	0.487596923	0.072919284	0.269606694
TCGA-2Y-A9GW-01A	0.66500617	0.637277352	0.817162055	0.517491244	0.457825845	0.683611017	0.601908397	0.717375055	0.52442085	0.701613902	0.593834687	0.790994896	0.532964845	0.538366664	0.686007054	0.439855156	0.756989661	0.709699035	0.653798001	0.518194316	0.410958028	0.358040612	0.657563782	0.770694419	0.622376519	0.803516015	0.568126538	0.893203825	0.735619041	0.620557336	0.468749463	0.855601131	0.820563699	0.926079322	0.66123875	0.855740908	0.674102554	0.694364059	0.518382014	0.694680083	0.571390224	0.79156806	0.546210812	0.710372136	0.749682198	0.528771492	0.076203085	0.504530441	0.053610315	0.286807171
TCGA-2Y-A9GX-01A	0.724316664	0.684618353	0.818223398	0.562078472	0.454276202	0.756588529	0.62379975	0.685409657	0.524212644	0.751996358	0.61448684	0.805579654	0.556504718	0.551377931	0.734661184	0.453026882	0.768397541	0.726041197	0.679165319	0.531547018	0.454189436	0.375762587	0.673551273	0.76808462	0.634402021	0.805762447	0.545016184	0.886225218	0.687134834	0.719633126	0.500839115	0.874936812	0.839558736	0.916924489	0.66505963	0.844591932	0.678452461	0.686338665	0.589440679	0.744299743	0.576441345	0.822197177	0.588559388	0.733795431	0.747357257	0.556851717	0.080507858	0.543920712	0.090865775	0.2390702
TCGA-2Y-A9GY-01A	0.608013715	0.636575148	0.757657542	0.573340278	0.445920492	0.607804756	0.571914027	0.775241522	0.657212345	0.669815559	0.526816779	0.767088336	0.453020195	0.508041807	0.617225391	0.354948345	0.732940898	0.677636872	0.650053786	0.466518746	0.377680239	0.30725661	0.642029645	0.811482456	0.645823295	0.823143767	0.709835836	0.952696913	0.807413315	0.464116185	0.443517042	0.740408837	0.74922447	0.915156595	0.69418983	0.842127888	0.641811215	0.685243974	0.429847461	0.519435904	0.542456372	0.705316299	0.548678638	0.59797451	0.715294951	0.574797369	0.191184051	0.430718752	0.051346418	0.212365958
TCGA-2Y-A9GZ-01A	0.509459054	0.601701148	0.834618888	0.542475409	0.42941552	0.615852511	0.484618208	0.728089342	0.529990196	0.634866613	0.565212991	0.814965106	0.497688072	0.518824709	0.653070725	0.361738465	0.726807968	0.606277421	0.534056313	0.442958576	0.28910876	0.296906133	0.569485158	0.757849232	0.602738664	0.761197221	0.577073765	0.877102404	0.691785538	0.453369598	0.307585244	0.852220564	0.859784224	0.926480285	0.630804753	0.764176396	0.642708597	0.648269299	0.49662141	0.513537026	0.568798715	0.733102678	0.451392968	0.796249705	0.779046121	0.330626516	0.121853608	0.405569274	0.07530961	0.293800467
TCGA-2Y-A9H0-01A	0.508163157	0.588503202	0.805623307	0.585587849	0.351046985	0.564453314	0.518521045	0.745981387	0.689871088	0.665045039	0.465819973	0.765648882	0.462697774	0.542971093	0.648285222	0.334938585	0.749396114	0.730937018	0.633344034	0.451121808	0.319549585	0.29197088	0.610032542	0.782480303	0.65853565	0.837093428	0.757804617	0.921025464	0.726717931	0.440335186	0.347939867	0.780393181	0.790793375	0.916660509	0.683384752	0.799937631	0.639101446	0.685427684	0.434940817	0.451214828	0.561139171	0.723254208	0.468245714	0.708054436	0.7619753	0.467616832	0.197353498	0.399138211	0.078383574	0.262168066
TCGA-2Y-A9H1-01A	0.550246088	0.583683063	0.801627046	0.45999339	0.428581183	0.574640532	0.53272074	0.745265995	0.454214723	0.647112321	0.525765429	0.772924659	0.501344329	0.530173366	0.640546011	0.409068997	0.663901748	0.699454741	0.605967677	0.456161726	0.351331728	0.261725156	0.592614552	0.766114038	0.601892339	0.767539557	0.512504332	0.872092522	0.767948087	0.434496701	0.364418357	0.832288527	0.824755531	0.928779785	0.639882858	0.837733103	0.663968237	0.667555699	0.422860568	0.518436038	0.557652062	0.744436727	0.528979435	0.727322515	0.749524388	0.483413626	0.066249676	0.438420981	0.081564976	0.224264827
TCGA-2Y-A9H2-01A	0.660767517	0.595717988	0.7144644	0.581762436	0.477152158	0.703543553	0.595539479	0.745297104	0.613163321	0.684308111	0.654369197	0.743037801	0.539366077	0.553869839	0.637349951	0.414843911	0.724035589	0.751697154	0.659983208	0.517020176	0.386096327	0.391571693	0.583691856	0.752960044	0.617276638	0.74887269	0.639126609	0.923739178	0.726274306	0.5589083	0.42690648	0.736677661	0.728147241	0.889165917	0.639586258	0.791232437	0.670295712	0.694301256	0.50267084	0.680374014	0.556315521	0.713260585	0.505414776	0.617788418	0.712028156	0.467532284	0.103727865	0.440755853	0.071270493	0.189425273
