ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-05-4244-01A	0.730462922	0.659785297	0.753915465	0.605244603	0.467029301	0.751216876	0.605027344	0.741986524	0.635465447	0.733104164	0.644524938	0.735349194	0.599554444	0.604748898	0.690266448	0.453617119	0.796670223	0.728506655	0.675054836	0.573129492	0.374042646	0.396000405	0.600812576	0.786236507	0.646968243	0.812611916	0.677929346	0.924528983	0.706270343	0.633869493	0.53798938	0.546831121	0.658843919	0.848884206	0.688926966	0.803544522	0.690776796	0.677456836	0.583011272	0.636881686	0.588683012	0.567771653	0.590597438	0.434777378	0.651457643	0.53954281	0.171890415	0.524774238	0.075407867	0.165939319
TCGA-05-4249-01A	0.668739053	0.61932666	0.69124203	0.580775714	0.500189909	0.759812595	0.612323233	0.70429749	0.564677311	0.725973807	0.684023299	0.697034004	0.592347036	0.592186027	0.721304841	0.43452558	0.794528383	0.734479853	0.684658705	0.579227525	0.392449349	0.416371834	0.597610811	0.77585115	0.665053584	0.752703413	0.56976865	0.894685051	0.684749686	0.631065937	0.519272856	0.535848393	0.644286088	0.822798304	0.655083037	0.783044669	0.687226425	0.653177247	0.598169735	0.632370339	0.578356846	0.554543985	0.598745707	0.395328538	0.627270702	0.566902428	0.140331688	0.516775015	0.093743864	0.18471492
TCGA-05-4250-01A	0.785147698	0.698286008	0.714037814	0.64872972	0.474849563	0.797463585	0.623605171	0.736833035	0.70142403	0.764436491	0.654932761	0.7156747	0.582658973	0.611177477	0.712671528	0.438561501	0.786331728	0.765772049	0.720649504	0.598564141	0.477616819	0.414315113	0.628974513	0.804021557	0.656540213	0.826119299	0.735150349	0.945541236	0.765123073	0.743636541	0.576895898	0.537095176	0.6507424	0.841719748	0.705166697	0.783568102	0.704760303	0.69135743	0.591789468	0.725437558	0.560351262	0.585238464	0.629951054	0.375363489	0.619795315	0.60581232	0.197497058	0.57222058	0.062464814	0.198298866
TCGA-05-4382-01A	0.734493273	0.721060353	0.73661428	0.600526675	0.515039881	0.769784227	0.669304853	0.71059827	0.608239155	0.750680731	0.69676587	0.704526545	0.588390116	0.59480789	0.686998584	0.496870794	0.781011843	0.729190393	0.708231799	0.597386059	0.462744932	0.383259664	0.628977081	0.785852487	0.664121413	0.813173168	0.619609395	0.899331917	0.665137758	0.802863595	0.586207968	0.552910653	0.659568067	0.829449621	0.696625496	0.79064711	0.695625956	0.66677752	0.584769768	0.717148352	0.571406669	0.607160751	0.607091441	0.370511803	0.601806277	0.614190931	0.179941302	0.552059667	0.058079411	0.146846757
TCGA-05-4384-01A	0.681226366	0.6430306	0.699210551	0.571382683	0.551782361	0.776715862	0.564279921	0.709186402	0.500891581	0.715894198	0.662246982	0.747492535	0.616579177	0.612257917	0.709699737	0.481838552	0.796539825	0.666773772	0.618114675	0.566217699	0.398349427	0.382897592	0.593253602	0.749032028	0.650180338	0.751108201	0.517234897	0.881832828	0.661575032	0.611344935	0.500035082	0.582939589	0.71215345	0.846956329	0.629158393	0.816199047	0.708512851	0.656919242	0.607153961	0.601143169	0.599079179	0.585621553	0.580561677	0.43333541	0.633575072	0.492374972	0.124369022	0.500279884	0.105515363	0.208247022
TCGA-05-4389-01A	0.62970678	0.605405917	0.711431252	0.577243801	0.571755478	0.695726635	0.629691222	0.744190437	0.64383261	0.710260274	0.619189464	0.739245018	0.597006149	0.614403702	0.683663237	0.433219621	0.776575047	0.74347792	0.709172447	0.538824394	0.383587209	0.330959909	0.616241818	0.786096555	0.677147797	0.814106616	0.686306674	0.931783309	0.736929004	0.595299736	0.516768605	0.603653844	0.706211304	0.873312704	0.66089797	0.835096997	0.691279027	0.661121885	0.504463758	0.580032555	0.586603736	0.565715917	0.606025384	0.447935889	0.657337284	0.615559745	0.209511619	0.506068912	0.090790664	0.227325992
TCGA-05-4390-01A	0.649038011	0.674217942	0.752609782	0.595892115	0.523186398	0.73369754	0.578520209	0.742154998	0.710427086	0.687211397	0.619952072	0.715780092	0.608057449	0.622466708	0.717853976	0.448188986	0.768835776	0.618027187	0.582763204	0.544157666	0.39568259	0.328772819	0.564074215	0.789765689	0.65159095	0.820506503	0.740354664	0.945878148	0.762742509	0.713211426	0.485549119	0.537879202	0.665999824	0.862863219	0.697453523	0.769998775	0.661668275	0.683777312	0.551706633	0.669237195	0.556500253	0.586859716	0.553878766	0.391611969	0.632756137	0.486163443	0.215790555	0.499206277	0.072019809	0.29556902
TCGA-05-4395-01A	0.771707042	0.686025068	0.703638138	0.592627896	0.488818165	0.749898853	0.586730365	0.755113696	0.670511833	0.734150541	0.587494368	0.731681487	0.6284031	0.649163022	0.7048903	0.39753168	0.794617025	0.756717045	0.708176897	0.552686491	0.412420263	0.344163374	0.604813778	0.798486743	0.675188374	0.827847291	0.703175211	0.948535367	0.779650777	0.6431866	0.554533907	0.570472696	0.649629343	0.860830656	0.718510564	0.814869838	0.690705461	0.681227927	0.561446209	0.598630595	0.56517829	0.537638848	0.588475612	0.383310668	0.626752711	0.554244819	0.166972356	0.504472673	0.079325835	0.116963997
TCGA-05-4396-01A	0.638984884	0.621676457	0.735038204	0.59565365	0.508285886	0.767765215	0.551044447	0.688535891	0.585300834	0.68565535	0.630824618	0.714436249	0.614175926	0.609294039	0.720478634	0.414467069	0.821051913	0.697991525	0.6263063	0.526014937	0.364582037	0.425456051	0.57627066	0.76491102	0.677303761	0.759629274	0.581923457	0.88509837	0.640452473	0.586807314	0.435965088	0.572045714	0.710956929	0.859140594	0.650195636	0.731910554	0.656604223	0.666551323	0.59782561	0.639972858	0.59256245	0.58156358	0.553674807	0.450057298	0.65648616	0.45903107	0.1560854	0.474619828	0.077096174	0.263106648
TCGA-05-4397-01A	0.595577921	0.641846248	0.735383451	0.642692982	0.436495072	0.644706037	0.59599714	0.766810916	0.773781618	0.672712216	0.572551957	0.741740615	0.530947863	0.574608299	0.663709645	0.429838873	0.764034213	0.819820279	0.717477557	0.513024253	0.436989129	0.341546174	0.577572747	0.788719624	0.653418361	0.829433066	0.824520944	0.952744156	0.708109493	0.581944217	0.464302176	0.562279314	0.696499221	0.902806327	0.681193485	0.807223605	0.645996692	0.694081013	0.478573073	0.529067371	0.577095468	0.525905764	0.528387373	0.430692145	0.643568858	0.49652147	0.248996775	0.405150994	0.077693948	0.130880011
TCGA-05-4398-01A	0.771605711	0.703160379	0.728555177	0.618209318	0.473254089	0.748336035	0.693792264	0.737312799	0.663457648	0.736864258	0.627278579	0.716015432	0.584824619	0.600085913	0.684157577	0.451099499	0.768449029	0.802654709	0.757931724	0.573367524	0.467958132	0.406531036	0.619496553	0.807456404	0.677879201	0.816910154	0.698853797	0.936554482	0.767171319	0.71739477	0.607377496	0.523553516	0.642038367	0.82100441	0.689245243	0.8009188	0.678356273	0.678886641	0.549448045	0.670668188	0.566952163	0.567446824	0.623581538	0.367358136	0.612334309	0.625355048	0.188313315	0.544227676	0.087882665	0.150680971
