ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-18-3406-01A	0.782315179	0.707027534	0.747070192	0.51226457	0.407299673	0.709482177	0.640562874	0.724395997	0.627954593	0.744663649	0.552117928	0.699759269	0.54368744	0.594136404	0.684848784	0.393035915	0.796919361	0.731053779	0.710864377	0.516978875	0.451653231	0.30040684	0.616464536	0.793114586	0.655701465	0.82396754	0.667479693	0.937316324	0.677637507	0.706963837	0.571159379	0.518870646	0.668622625	0.866478271	0.68355614	0.742947039	0.711214823	0.681484651	0.528449342	0.632137716	0.543272958	0.538626778	0.580451716	0.374105855	0.614170218	0.585349887	0.193263505	0.538048605	0.15060946	0.12314409
TCGA-18-3407-01A	0.749402684	0.696474788	0.740320904	0.602823808	0.498970507	0.751283061	0.582339301	0.704148509	0.665932381	0.71920304	0.620181347	0.696144372	0.58993535	0.626488475	0.682031652	0.430535202	0.774096429	0.738412525	0.685079133	0.585619805	0.491539514	0.417520978	0.585525217	0.801709514	0.65998078	0.838615772	0.677138054	0.934544166	0.730003813	0.749557049	0.532047606	0.554266279	0.665754453	0.837845812	0.678405232	0.793334241	0.732113997	0.679270893	0.579467673	0.65496633	0.559672807	0.558240783	0.561059954	0.39138292	0.630088713	0.505316355	0.169686766	0.486857975	0.140329157	0.099859788
TCGA-18-3408-01A	0.623989961	0.657875286	0.679117105	0.562432239	0.508230626	0.69656972	0.549740662	0.704208984	0.662254912	0.706551988	0.58306253	0.683929955	0.553028389	0.585485384	0.701444957	0.372478494	0.835338646	0.60663221	0.614554198	0.534779649	0.444007857	0.443324868	0.567845796	0.771735279	0.65312004	0.825210682	0.698177382	0.939426315	0.637943409	0.659602169	0.49364927	0.522392249	0.686019881	0.839639787	0.654449688	0.77311724	0.679155008	0.636575002	0.57215415	0.594460625	0.580323478	0.514425776	0.558605734	0.379940745	0.616167068	0.517655174	0.205913838	0.490206295	0.097720013	0.115077206
TCGA-18-3409-01A	0.658370107	0.714288629	0.682329824	0.580490529	0.551796162	0.789924508	0.564568484	0.692889698	0.614687492	0.715527755	0.682061377	0.696881348	0.562550815	0.586585226	0.670008101	0.464606661	0.785445629	0.613069105	0.596831938	0.608973926	0.453499331	0.460463776	0.582789081	0.784235147	0.645567818	0.800166029	0.623844603	0.923161162	0.679537804	0.833838677	0.492703905	0.509902609	0.633513139	0.819002774	0.660564522	0.750043506	0.692029393	0.653364722	0.621565708	0.728951189	0.5491307	0.577431683	0.561527762	0.393023793	0.620712064	0.513899394	0.151407713	0.52493356	0.122609365	0.215449147
TCGA-18-3410-01A	0.718082276	0.644479389	0.726003577	0.621932722	0.438400926	0.702227341	0.617298441	0.756025304	0.744106388	0.727953681	0.592912792	0.681720125	0.510659257	0.582174378	0.65388091	0.348857894	0.751414385	0.714230414	0.705358101	0.543889182	0.488545679	0.310646116	0.574402899	0.777200056	0.687830832	0.823770039	0.793637444	0.95842871	0.758682612	0.639159863	0.529088752	0.497002799	0.637992579	0.836247767	0.62981212	0.740494208	0.686984932	0.658813552	0.488149918	0.582742636	0.532527299	0.438443737	0.556455268	0.391230088	0.599571151	0.599264547	0.201852764	0.439167004	0.109335802	0.154550334
TCGA-18-3411-01A	0.687546861	0.653814769	0.739445384	0.569334401	0.508641024	0.700886815	0.565903219	0.752856261	0.723318909	0.726186819	0.615455717	0.692506157	0.533557342	0.607015139	0.678197204	0.397976267	0.759134821	0.623911908	0.618220465	0.53272642	0.45174428	0.349444117	0.579880709	0.78719272	0.659015885	0.871550397	0.757346457	0.969855573	0.778901457	0.692725619	0.508433188	0.549055328	0.675594244	0.869288168	0.703784671	0.804983738	0.702146708	0.68159757	0.524702577	0.609085314	0.5475782	0.509190673	0.566585845	0.389882714	0.62504515	0.511252135	0.227422857	0.48311411	0.125611616	0.130840865
TCGA-18-3412-01A	0.669177898	0.639022459	0.71400493	0.575079871	0.497368599	0.673851669	0.531828879	0.753271835	0.721641082	0.699633675	0.625726918	0.700542823	0.572332779	0.640447082	0.647641826	0.401752714	0.746598661	0.652104067	0.616482673	0.523700279	0.476418599	0.316148732	0.544466844	0.781730462	0.658688463	0.8585099	0.774170917	0.960957011	0.772649075	0.624692161	0.475593205	0.548296068	0.694893936	0.874722764	0.677563711	0.782790716	0.721073561	0.677809609	0.506647303	0.559398027	0.550980575	0.495753746	0.53295787	0.379587306	0.647731577	0.46984054	0.215798211	0.43269168	0.162675541	0.087990192
TCGA-18-3414-01A	0.719106534	0.658133459	0.734230994	0.588314715	0.528980276	0.737075379	0.540809069	0.739844662	0.702417082	0.736236095	0.623023599	0.694725527	0.560447781	0.608342661	0.683284124	0.411083111	0.762224728	0.706205083	0.648987512	0.541294162	0.490799003	0.340555368	0.57188308	0.78115906	0.660150572	0.811346288	0.718682313	0.941825977	0.762270536	0.694638291	0.498291778	0.526288342	0.668384148	0.862100963	0.663257153	0.750360958	0.707806755	0.662785001	0.547163225	0.641651103	0.540352178	0.523651486	0.537996926	0.365536895	0.618123646	0.476657287	0.18914574	0.468418416	0.137846542	0.139551802
TCGA-18-3415-01A	0.734597552	0.680324528	0.752161274	0.584907945	0.514041812	0.711569382	0.592307868	0.734064933	0.686905136	0.749869547	0.594712527	0.703917617	0.550119304	0.607961244	0.684307395	0.419094595	0.781409425	0.694102344	0.688647399	0.550946962	0.48229669	0.347485756	0.587539985	0.796950737	0.664790991	0.861097205	0.721093308	0.951469572	0.737556145	0.716332385	0.535686436	0.552012392	0.676955254	0.865074596	0.707793656	0.822577426	0.71792536	0.699289257	0.526411374	0.62155727	0.553181224	0.53073265	0.570228491	0.384856187	0.62629351	0.546494479	0.202945639	0.47876062	0.100230716	0.132299422
TCGA-18-3416-01A	0.683572847	0.626252684	0.736501019	0.646824791	0.54238247	0.644029993	0.584643061	0.744182537	0.760845284	0.714825586	0.588103495	0.670151527	0.515817043	0.566963106	0.652197913	0.353136578	0.75288206	0.775820281	0.746749614	0.529542507	0.498781285	0.314518621	0.576101319	0.808785062	0.680616942	0.867060246	0.800407296	0.977131086	0.784682638	0.543625307	0.531354852	0.532659639	0.66577569	0.849107301	0.651865183	0.807048709	0.699357621	0.663421964	0.495924689	0.548363	0.538515375	0.42279107	0.559940267	0.367949451	0.591800583	0.622698849	0.213899526	0.440945101	0.099969683	0.08845734
TCGA-18-3417-01A	0.736162923	0.697507202	0.725810136	0.565407221	0.542420406	0.735205472	0.586247293	0.726259126	0.670237331	0.736275283	0.641461957	0.71700314	0.560308367	0.605928467	0.686689941	0.45088394	0.771717019	0.607128211	0.626869074	0.599502581	0.496285848	0.428929871	0.581151745	0.808285141	0.648431463	0.841329847	0.711469584	0.94934823	0.756338201	0.823206404	0.521055067	0.531391025	0.661520351	0.870271005	0.702216932	0.771064746	0.714590999	0.686987097	0.575559922	0.731129056	0.554460756	0.574192148	0.589055701	0.397494424	0.628699935	0.522430777	0.19224091	0.535474029	0.079239483	0.130843792
TCGA-18-3419-01A	0.644811777	0.631058919	0.71627636	0.619295729	0.509855722	0.658647658	0.569762059	0.735857877	0.748396961	0.686201755	0.567744773	0.701972394	0.537106295	0.574638517	0.665464701	0.369999781	0.762658929	0.714840082	0.674713962	0.51963131	0.388649029	0.334476479	0.56277235	0.799543173	0.674645859	0.83409169	0.766559131	0.956928434	0.742173498	0.538494977	0.499305418	0.509008774	0.667509089	0.871997055	0.677986693	0.746836121	0.688439165	0.677967117	0.4887537	0.522526894	0.546168411	0.430320938	0.538495961	0.364040232	0.601810346	0.541617079	0.235753291	0.424776514	0.118228514	0.052536517
TCGA-18-3421-01A	0.66058606	0.66675248	0.73762279	0.53937554	0.474777881	0.649179348	0.565964977	0.769217441	0.706050952	0.713050186	0.537837891	0.714541306	0.524119032	0.607161008	0.670983809	0.383915021	0.757097577	0.675521557	0.662883911	0.503383478	0.414627588	0.31241627	0.560185492	0.814497798	0.668087409	0.860380348	0.766121912	0.973506113	0.810957384	0.643182129	0.499735098	0.539311798	0.69293794	0.916377281	0.69880363	0.769801951	0.696516614	0.680642504	0.501283118	0.615144086	0.542214982	0.488129816	0.545321458	0.367045117	0.644993534	0.547570299	0.222917621	0.471968577	0.087008106	0.060471355
TCGA-18-4083-01A	0.613545001	0.650762757	0.6886785	0.650403277	0.564372394	0.704896068	0.500985096	0.765600139	0.77607315	0.705863262	0.613541225	0.660886384	0.499599078	0.549930335	0.633159636	0.399572994	0.755270302	0.634797712	0.621328144	0.552502132	0.497561485	0.430699404	0.521148578	0.796863999	0.653340213	0.824118842	0.815978359	0.988543334	0.843122091	0.700267544	0.408824536	0.470096777	0.624059211	0.839914711	0.640227345	0.724112427	0.684579509	0.631988957	0.53894178	0.599491127	0.509893688	0.474099558	0.526123595	0.33689559	0.582072389	0.486724332	0.219315141	0.403370614	0.109311158	0.130265665
TCGA-18-4086-01A	0.696935236	0.670796096	0.749211793	0.617434746	0.518079521	0.72800383	0.571454529	0.739406459	0.72771122	0.754408247	0.604494906	0.691471577	0.565104799	0.627973135	0.675844963	0.442926602	0.762530251	0.663863112	0.647355207	0.576535552	0.504635309	0.394548962	0.574823483	0.797556147	0.665103671	0.857715061	0.762811112	0.972082409	0.772599141	0.724872364	0.507780374	0.554023531	0.665557144	0.862270986	0.678984931	0.8118347	0.714964154	0.680144284	0.550203563	0.601191154	0.559705715	0.52427837	0.572403711	0.381232466	0.620529116	0.523030726	0.208839601	0.475088328	0.143143835	0.124412355
