ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-UD-AAC7-01A	0.71755312	0.693964197	0.721162278	0.65759075	0.505737465	0.788760678	0.625091909	0.765531673	0.699988801	0.74953786	0.6298526	0.701089013	0.570634857	0.56967754	0.70030744	0.434455654	0.786591947	0.771345536	0.699871789	0.59763716	0.447233954	0.418015955	0.588577351	0.860791196	0.678181618	0.848124689	0.718947429	0.966089236	0.780086899	0.824864052	0.507000631	0.507631997	0.611487929	0.841885794	0.676918766	0.782779276	0.698979231	0.664761241	0.640161032	0.719489642	0.559432978	0.539755743	0.554267172	0.381138556	0.602611089	0.543102688	0.168773805	0.461641177	0.051689793	0.110966295
TCGA-LK-A4NZ-01A	0.683945694	0.631878927	0.655939448	0.552691763	0.572261535	0.759285323	0.644683961	0.740615544	0.519600363	0.724481701	0.684252639	0.699515053	0.580540313	0.592302589	0.65973906	0.498820957	0.740998813	0.876076846	0.748595124	0.611778107	0.438836857	0.42369289	0.588494845	0.767351283	0.633814984	0.720792945	0.542991803	0.91665454	0.702964597	0.737829035	0.496484725	0.514003422	0.631125424	0.84976398	0.60273978	0.774611672	0.708931229	0.679982792	0.621552111	0.690528475	0.55126068	0.576818522	0.546328683	0.373798965	0.589748424	0.547818367	0.083344108	0.50794965	0.073189531	0.178096161
TCGA-TS-A8AV-01A	0.878434604	0.714181226	0.724092623	0.623993555	0.553075518	0.787263349	0.753771799	0.731491176	0.64431747	0.814898295	0.66980174	0.706483406	0.548031838	0.550317909	0.718932586	0.490976105	0.754877861	0.860777448	0.848798787	0.62678234	0.493100326	0.459352628	0.696727544	0.827946853	0.68441336	0.825898483	0.660237512	0.938013281	0.68667638	0.881837305	0.679604994	0.535735306	0.641675942	0.847453647	0.640456417	0.823239493	0.737570181	0.706866954	0.638031289	0.757592434	0.557048965	0.611058289	0.695848931	0.379458966	0.593356179	0.760773216	0.131654851	0.621584867	0.050584915	0.165734963
TCGA-3U-A98D-01A	0.786367931	0.702514269	0.732661816	0.626978144	0.539537678	0.801732543	0.610533942	0.74053662	0.617237663	0.76568062	0.665587423	0.701267434	0.596412271	0.610117084	0.716981576	0.507528939	0.79908442	0.700604192	0.666863757	0.621475219	0.503518748	0.446509107	0.598331187	0.827720508	0.649241179	0.817564048	0.649736367	0.939303047	0.734915047	0.905429518	0.523894871	0.537130998	0.630830309	0.831243952	0.667036263	0.758746788	0.709718513	0.684352802	0.664795226	0.736787146	0.562284626	0.595144027	0.579622403	0.381932086	0.590569809	0.50182253	0.155689951	0.520005556	0.071125141	0.15807241
TCGA-TS-A7OZ-01A	0.755533234	0.707139202	0.727896561	0.658612375	0.623016387	0.797888027	0.604854144	0.754698896	0.707812268	0.76233627	0.682333273	0.700013718	0.600343187	0.624540046	0.692719708	0.551003087	0.712708127	0.752415207	0.687353815	0.641823281	0.483336111	0.46563627	0.575957861	0.781298403	0.654262976	0.79081852	0.728951344	0.941891144	0.73134865	0.838815248	0.48425873	0.518345828	0.627564768	0.824269676	0.652008123	0.751450654	0.700489462	0.718615045	0.647165921	0.695052754	0.525060438	0.581800007	0.577899699	0.360563932	0.591138691	0.533136163	0.210869475	0.52685194	0.139395599	0.181040798
TCGA-3U-A98J-01A	0.724839454	0.679005978	0.663205646	0.549408501	0.459420205	0.746400155	0.637945748	0.745842982	0.536590737	0.732126497	0.584593225	0.724332565	0.557438913	0.567407154	0.660105172	0.456226516	0.769719599	0.72179357	0.678674428	0.589442082	0.454280902	0.33705951	0.590568048	0.801778128	0.655254437	0.775811852	0.55659234	0.91190888	0.720968165	0.746889537	0.516500555	0.545346447	0.644262067	0.877981115	0.637273431	0.783395211	0.705458085	0.673339389	0.577839443	0.651747208	0.553606565	0.565038787	0.560736125	0.415753983	0.595932336	0.58712815	0.135797211	0.47765096	0.046872014	0.126255576
TCGA-SH-A7BC-01A	0.702847757	0.675805713	0.695798568	0.630314026	0.525544071	0.798495241	0.638523192	0.743109694	0.638355232	0.765029087	0.64479632	0.718504419	0.571085354	0.584849468	0.692076937	0.482691535	0.775246813	0.799656166	0.734123598	0.625775998	0.478444572	0.375207625	0.599327053	0.790821946	0.686613219	0.798710151	0.655959956	0.938170378	0.713637594	0.817485537	0.550543842	0.523560932	0.6358649	0.862179383	0.640492785	0.802256165	0.709665424	0.659243048	0.621610361	0.657285389	0.57557626	0.55962824	0.56895396	0.408919026	0.610130612	0.598060857	0.155575748	0.507658852	0.067484722	0.1633154
TCGA-ZN-A9VU-01A	0.733040316	0.650788377	0.632256425	0.620419938	0.489527191	0.745543425	0.627364031	0.745449435	0.605074774	0.742272953	0.586193349	0.718171842	0.535953934	0.544328627	0.657560495	0.414254073	0.797173691	0.876865745	0.774023231	0.531209695	0.435411057	0.37836356	0.602844201	0.808390387	0.651630392	0.751124829	0.632485048	0.91962644	0.671081194	0.660112755	0.535767686	0.515091954	0.648491823	0.885786667	0.615125552	0.757400676	0.669780455	0.659868029	0.594429551	0.629128601	0.571099259	0.503973864	0.521246366	0.404837868	0.622183373	0.553832905	0.140740915	0.456011397	0.057078999	0.098288809
TCGA-YS-A95C-01A	0.619012939	0.608138205	0.586537079	0.594545064	0.472635962	0.700291094	0.564899514	0.754890526	0.579735046	0.710356205	0.598522059	0.719055521	0.554153569	0.560623574	0.65418037	0.455119387	0.783529588	0.742587335	0.651852956	0.569973982	0.43618051	0.372141823	0.555413699	0.766715156	0.633573275	0.747380904	0.615525557	0.936369155	0.704262073	0.66766726	0.450333248	0.533588809	0.665160983	0.902625818	0.596398483	0.782874012	0.660463692	0.644378502	0.59737479	0.626169962	0.56686275	0.506649446	0.502180501	0.429031325	0.602072365	0.5137743	0.1584292	0.475003791	0.051139394	0.109885952
TCGA-ZN-A9VV-01A	0.577176437	0.603094469	0.636243345	0.541071896	0.584936376	0.755760968	0.51033807	0.77100448	0.554793567	0.680721554	0.638154639	0.676170107	0.497441371	0.511053218	0.606499647	0.485162187	0.716191609	0.785189753	0.651153627	0.534158929	0.40486068	0.367597377	0.50344255	0.77783605	0.619761744	0.730286601	0.591145126	0.948598388	0.762360545	0.65371007	0.392950504	0.472521773	0.626296711	0.875331903	0.579826587	0.70464361	0.656186863	0.637396785	0.566123247	0.577609747	0.518964687	0.493585344	0.476217299	0.387086416	0.599103153	0.447224997	0.147848429	0.421436748	0.093184384	0.125743548
