ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-23-1120-01A	0.604715608	0.555651077	0.68569244	0.586352381	0.460363001	0.718501199	0.557615227	0.733564137	0.678631747	0.674483646	0.613385869	0.660843472	0.505659385	0.509523606	0.599379147	0.370913079	0.718350985	0.879168802	0.737299419	0.523084395	0.354942735	0.302179622	0.511500756	0.755202085	0.606919783	0.765355648	0.712716987	0.944969764	0.727461041	0.596252287	0.422911952	0.406005984	0.575018423	0.852132795	0.604842451	0.700951588	0.616634033	0.631957545	0.503780037	0.451437488	0.505130446	0.471232856	0.493299859	0.312134984	0.565442401	0.489427949	0.172982535	0.387662233	0.060493146	0.04904798
TCGA-29-1695-01A	0.640332073	0.583958397	0.684068903	0.635425708	0.524962135	0.730920713	0.559724487	0.717927985	0.713269535	0.700445474	0.619591056	0.667577755	0.507541147	0.515234722	0.636454725	0.390769604	0.74671098	0.699300827	0.63774536	0.546653372	0.374100468	0.396313869	0.52482919	0.776292433	0.656726028	0.781723091	0.743300783	0.949557273	0.75985266	0.741669213	0.457003729	0.443498177	0.601182682	0.827314524	0.611560469	0.736962302	0.619383309	0.629647456	0.548230406	0.571874979	0.498252847	0.509124231	0.513299878	0.309414675	0.565154937	0.486018553	0.172417709	0.452167843	0.025394596	0.06804852
TCGA-61-2003-01A	0.646752982	0.611700354	0.666575755	0.610884111	0.527744758	0.774984365	0.585011177	0.696286507	0.641390107	0.699901205	0.711829404	0.66265146	0.549372873	0.561418577	0.613190642	0.452812925	0.733830855	0.711314433	0.628527006	0.598693847	0.425006738	0.434191318	0.537834958	0.750633529	0.63190673	0.736473853	0.652163467	0.913719897	0.688638597	0.755088596	0.449348738	0.454479057	0.574164125	0.817912741	0.627450703	0.742149274	0.627031832	0.647990282	0.576146412	0.577997028	0.519550055	0.556703898	0.528775281	0.335308694	0.562998396	0.487849243	0.13808077	0.474051764	0.073259795	0.076110616
TCGA-13-1404-01A	0.576568216	0.570909195	0.661980907	0.60224325	0.511096145	0.710370278	0.471666434	0.752848717	0.754186523	0.65141352	0.595447401	0.681417637	0.510940528	0.537061191	0.610697243	0.389187025	0.678670455	0.693277212	0.590104279	0.497136478	0.339259033	0.2758806	0.476491932	0.783536717	0.614800979	0.770192314	0.807813085	0.979014012	0.768916541	0.671841436	0.355601781	0.43189194	0.603494798	0.881211671	0.619551329	0.705121191	0.607470788	0.633315523	0.525798661	0.582378898	0.49285407	0.47280501	0.4796211	0.285644861	0.57405344	0.401143669	0.165638487	0.4000189	0.037530737	0.092364019
TCGA-23-1027-01A	0.683603082	0.597863774	0.668794357	0.570378802	0.497098362	0.680838104	0.535610799	0.753050355	0.670650456	0.686076823	0.609357012	0.684232893	0.559065206	0.585768922	0.585267377	0.41251176	0.668426325	0.756290626	0.643391454	0.53357084	0.348098741	0.331505243	0.505555597	0.764486267	0.604713199	0.764250956	0.707549118	0.949662282	0.820313159	0.696276624	0.437198802	0.448929344	0.597291419	0.866292781	0.646862295	0.761919297	0.629762499	0.679588878	0.483336179	0.539191093	0.488517359	0.535339715	0.513885048	0.318557843	0.577994611	0.444124322	0.131478654	0.422204472	0.093183814	0.062428885
TCGA-23-1022-01A	0.440076491	0.523421491	0.667508535	0.576202038	0.514543895	0.622793395	0.348189735	0.753893089	0.662472625	0.574560671	0.601256321	0.654867327	0.517146668	0.525544459	0.557019273	0.41497005	0.670680369	0.47455373	0.403554336	0.519711129	0.318968341	0.359601255	0.405252974	0.730074644	0.582159922	0.721207001	0.698890462	0.934591692	0.783884575	0.515555325	0.209699512	0.39950003	0.565340868	0.878175706	0.597873529	0.694232266	0.58367615	0.5968934	0.451187386	0.389659055	0.491044068	0.435873362	0.401339575	0.329366995	0.558462511	0.27543266	0.178695887	0.310660787	0.100314605	0.09167312
TCGA-61-2088-01A	0.444076418	0.521841786	0.532178331	0.582086729	0.601467881	0.700354913	0.360409004	0.708109932	0.605531289	0.578862029	0.554713401	0.616458142	0.492928412	0.465090885	0.523951624	0.425170644	0.63172138	0.549827275	0.419421766	0.484992508	0.364860758	0.353321899	0.370604231	0.697582189	0.577214921	0.628985175	0.603529989	0.871074636	0.714900259	0.457869057	0.197596428	0.399236019	0.510735677	0.736342345	0.537289944	0.649299778	0.579624305	0.596655164	0.434217977	0.485219077	0.481180134	0.401883671	0.395497694	0.29978241	0.531027406	0.242333142	0.130570206	0.244798405	0.097266994	0.053528749
TCGA-13-1507-01A	0.662267888	0.625639504	0.737188348	0.493124536	0.41509633	0.678560473	0.564647198	0.7461034	0.638476683	0.703464971	0.505101762	0.6835496	0.494628834	0.534327114	0.606050554	0.393027034	0.724008296	0.851836272	0.737753061	0.501308608	0.336067722	0.210310651	0.558848066	0.759653117	0.6400116	0.789319961	0.701374478	0.948450151	0.723638575	0.690477797	0.451241722	0.455931908	0.619858627	0.903460047	0.649221985	0.748054767	0.645805522	0.670413379	0.488829644	0.514839845	0.513202408	0.516700381	0.523563848	0.348582858	0.584442063	0.531969617	0.205280274	0.443333855	0.052744687	0.114368076
TCGA-61-1725-01A	0.581098423	0.588402246	0.661860591	0.523416248	0.473757437	0.673094635	0.49339858	0.761167049	0.67301239	0.652505842	0.566239136	0.711171668	0.541485542	0.569150087	0.621402315	0.402395818	0.687876696	0.726159968	0.63679129	0.489999717	0.356174435	0.306811893	0.50829313	0.774840238	0.589668644	0.788186205	0.737271782	0.975925517	0.803931051	0.654921717	0.396425851	0.462538508	0.628976857	0.914183281	0.640256883	0.738221194	0.614309761	0.658211093	0.464457797	0.568495394	0.505448794	0.499076789	0.485719119	0.345116519	0.598794582	0.437207615	0.154404958	0.400871163	0.031113931	0.086995798
TCGA-31-1944-01A	0.606924865	0.628351052	0.662606461	0.598564988	0.524020302	0.741742809	0.525074815	0.740341473	0.691619637	0.661420478	0.672850562	0.691713312	0.575704659	0.563517376	0.647509102	0.408311215	0.737077538	0.656464359	0.584905315	0.527522953	0.389716417	0.382822148	0.507301501	0.760516943	0.615669528	0.776299803	0.717847757	0.953617634	0.773859615	0.657892458	0.391446896	0.451488337	0.595411444	0.855767567	0.66579803	0.757041161	0.62991718	0.644266167	0.512542788	0.555796177	0.499514491	0.518748088	0.514040859	0.305217253	0.569194638	0.414064662	0.157490864	0.410117398	0.044685381	0.111479651
