ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-2J-AAB1-01A	0.767922973	0.695056037	0.763601184	0.601790199	0.561122205	0.812995797	0.643146987	0.726727588	0.557153537	0.777784492	0.73168381	0.732623452	0.666923223	0.69793555	0.721069097	0.488225915	0.776349757	0.828376484	0.711077316	0.616397538	0.534739076	0.420159161	0.644070319	0.755441959	0.644397214	0.764497115	0.558009418	0.902705634	0.679642065	0.780789509	0.532620716	0.625961429	0.716547454	0.869468203	0.685316181	0.776443636	0.757319999	0.676690454	0.629325101	0.732317259	0.571178403	0.656723714	0.612167152	0.45759189	0.672195115	0.528280243	0.115839996	0.597404865	0.142432115	0.497026533
TCGA-2J-AAB4-01A	0.829625971	0.757932857	0.822177477	0.612272906	0.491812093	0.811308948	0.663348374	0.712403828	0.587311687	0.793015572	0.738577247	0.738870797	0.660925233	0.699872924	0.745134673	0.487824662	0.802139933	0.859493766	0.753626691	0.63398001	0.493397538	0.497713181	0.657169071	0.789740802	0.658164553	0.821329337	0.586358661	0.906850307	0.640788092	0.806514444	0.580073245	0.643735382	0.721750484	0.858459986	0.731867318	0.807186874	0.7521298	0.725459687	0.632616916	0.814400247	0.579607581	0.672957985	0.635876433	0.458370948	0.694028854	0.553504973	0.170225102	0.633156507	0.117272344	0.638174433
TCGA-2J-AAB6-01A	0.78228354	0.730035625	0.803029637	0.653423996	0.54260163	0.830501127	0.57425055	0.760325253	0.65150912	0.766083061	0.701018418	0.716110703	0.61212781	0.645493832	0.702256582	0.501432267	0.81287916	0.814081899	0.71198043	0.648949478	0.493689875	0.49939632	0.602488839	0.827267541	0.662123647	0.831529964	0.660025678	0.940642274	0.699234599	0.874748689	0.530173827	0.547001286	0.641903819	0.855478208	0.726923466	0.80339929	0.737507514	0.670565504	0.638876263	0.805253445	0.5467119	0.634515008	0.600803061	0.399506453	0.646787637	0.488527718	0.168952404	0.603514835	0.08280602	0.604465006
TCGA-2J-AAB8-01A	0.787678581	0.695373069	0.752766758	0.624782941	0.545494874	0.840634409	0.596302527	0.735046128	0.613977836	0.770479944	0.753921562	0.720298581	0.660941334	0.673977192	0.741313972	0.505371507	0.807168365	0.802461814	0.696711781	0.652389103	0.490067883	0.412820723	0.613763795	0.817353357	0.653956804	0.806233884	0.607079325	0.948825158	0.733618437	0.86856159	0.505209164	0.56873558	0.673806893	0.872330513	0.677134061	0.77248922	0.744963232	0.682964829	0.651668547	0.744309107	0.54435513	0.628088817	0.608736613	0.383114172	0.620685065	0.501969948	0.114407559	0.581154371	0.086623538	0.213589228
TCGA-2J-AAB9-01A	0.760384371	0.703871122	0.766508528	0.609773853	0.566557883	0.842211695	0.61935265	0.725761395	0.569786956	0.775215925	0.740646646	0.736055021	0.651181057	0.678606245	0.738991299	0.501234837	0.788622411	0.715178295	0.650027731	0.658669631	0.517110393	0.437571627	0.632161232	0.780074964	0.655926949	0.790896867	0.566368476	0.926178556	0.695026936	0.865815988	0.541245091	0.620060426	0.694227991	0.873096051	0.68557719	0.803169353	0.724065698	0.695644401	0.650061125	0.833066283	0.572126461	0.673057631	0.623187384	0.437420736	0.671872392	0.531606374	0.133214825	0.613906341	0.111337621	0.532750706
TCGA-2J-AABA-01A	0.757483321	0.702811797	0.721474016	0.606976939	0.586952151	0.848538392	0.567890629	0.721759926	0.55010484	0.773532493	0.766285105	0.737099316	0.668756982	0.679833921	0.735894671	0.510873139	0.789397038	0.688271734	0.631431146	0.643638246	0.519849401	0.401049967	0.605887406	0.784269115	0.648209915	0.765003665	0.536090058	0.919861397	0.688115835	0.846408081	0.48862594	0.599276674	0.67731425	0.858983377	0.679618237	0.779450501	0.756599101	0.699555356	0.65528257	0.738504936	0.552273371	0.65039505	0.588121613	0.451668214	0.663980531	0.496986936	0.088158913	0.572989111	0.089531973	0.232151406
TCGA-2J-AABE-01A	0.796183994	0.699897199	0.786319602	0.598274386	0.589046436	0.831850175	0.61599352	0.715429397	0.522278442	0.767354191	0.759751834	0.734393854	0.635027069	0.653617718	0.706088415	0.497213239	0.785588411	0.738651205	0.661135138	0.642358058	0.492286051	0.477214508	0.623717713	0.757887979	0.649496209	0.778903167	0.508196482	0.895115111	0.675893202	0.849680799	0.536185895	0.597662317	0.68902769	0.852546106	0.682690423	0.778261547	0.753350842	0.683990506	0.639128512	0.797589648	0.559678872	0.662787327	0.608492281	0.425038246	0.648389989	0.494437948	0.110236702	0.608994873	0.103371799	0.432970858
TCGA-2J-AABF-01A	0.782034921	0.666323044	0.788431852	0.640902688	0.509721004	0.822698351	0.68549492	0.726602798	0.629868948	0.774491859	0.732685887	0.725130748	0.62407634	0.664530256	0.740383087	0.479099084	0.802499869	0.885098969	0.779281345	0.633317402	0.488800052	0.481665906	0.666618276	0.785873546	0.660839189	0.800087322	0.620444071	0.930297827	0.710321789	0.816047553	0.581023911	0.62326636	0.695261513	0.856601937	0.669840381	0.809400596	0.729452058	0.705228254	0.638413893	0.807982099	0.564354384	0.651873861	0.625266895	0.427691505	0.674032271	0.593837777	0.156653053	0.624524292	0.104232531	0.625408685
TCGA-2J-AABH-01A	0.761326856	0.68474902	0.799508623	0.607355129	0.513606773	0.808704709	0.606659347	0.716669766	0.549298567	0.760062798	0.705280874	0.729725609	0.65469288	0.665376245	0.73207828	0.4795786	0.807466571	0.727814216	0.645724739	0.635846346	0.4674515	0.473406478	0.618083769	0.784256601	0.643444524	0.787395936	0.543201338	0.906338071	0.697473587	0.795391486	0.506108526	0.613747414	0.693841349	0.864686041	0.691516393	0.806499078	0.727930336	0.693852215	0.631078774	0.77712397	0.570672479	0.647013213	0.593249248	0.445437632	0.69131255	0.47103577	0.139646173	0.600718468	0.114033078	0.619787974
TCGA-2J-AABI-01A	0.77682391	0.73023114	0.689062913	0.650250044	0.637272637	0.794597569	0.62134122	0.755198454	0.656404643	0.78753718	0.767905291	0.692135208	0.593548159	0.600467825	0.667792013	0.485863045	0.747578081	0.702343409	0.654473439	0.642551796	0.513655494	0.429044476	0.588038391	0.782528119	0.654859632	0.785526165	0.671037872	0.946102963	0.737559934	0.800231199	0.544388584	0.514322926	0.624550782	0.846390279	0.703378429	0.785678483	0.746736234	0.665521676	0.62253534	0.741053864	0.543491096	0.564761729	0.610192562	0.372050169	0.574195777	0.566333815	0.135787287	0.541682038	0.107968097	0.205686862
