ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-P7-A5NX-01A	0.497718461	0.552516437	0.630331419	0.564406252	0.524248307	0.678323169	0.37267777	0.698754408	0.472792329	0.659781179	0.560120113	0.715694822	0.454622538	0.462530357	0.698426372	0.471711485	0.803395684	0.601456939	0.497883604	0.520807877	0.407070236	0.624144214	0.462071242	0.791837298	0.639098052	0.748835286	0.500519193	0.908879795	0.58757687	0.528230592	0.248915343	0.458812159	0.65584372	0.905455927	0.566387771	0.716134084	0.593413668	0.651050402	0.57575541	0.551504013	0.560980488	0.387007494	0.449871112	0.415794691	0.657873374	0.30836697	0.200350766	0.395037741	0.065457204	0.34403144
TCGA-P7-A5NY-01A	0.401740752	0.516226687	0.612363603	0.596753893	0.469851387	0.647777652	0.319502168	0.723756916	0.529391801	0.617948352	0.542634862	0.706073085	0.447298106	0.447424171	0.664461901	0.443833366	0.825363917	0.607925032	0.486684089	0.481040788	0.345696529	0.618648867	0.429853445	0.776362735	0.62339471	0.744163886	0.548836236	0.916993492	0.611114695	0.519629329	0.219793834	0.43187613	0.648583892	0.942333756	0.557219768	0.715189643	0.55726785	0.663308546	0.573231639	0.489551428	0.551802837	0.360325865	0.429714242	0.392638681	0.626021034	0.265750971	0.244602235	0.3660523	0.086145722	0.432675872
TCGA-P8-A5KC-01A	0.600981798	0.641831696	0.647002069	0.60537394	0.597517501	0.773722207	0.418084219	0.710161367	0.510425335	0.694874654	0.667163529	0.73165909	0.538336349	0.519688637	0.699865556	0.533169049	0.790481351	0.584312575	0.508621502	0.547954702	0.455419471	0.604820298	0.516640953	0.790185652	0.662860202	0.754747853	0.504346057	0.916259949	0.651868236	0.654065888	0.334274591	0.467665162	0.658410106	0.903017084	0.582840309	0.733586471	0.632423739	0.699339843	0.653015649	0.704870623	0.596422824	0.443850795	0.515604212	0.369405591	0.619126991	0.349949018	0.199185044	0.461642532	0.076527896	0.416393324
TCGA-P8-A5KD-01A	0.512157906	0.526699845	0.64561959	0.585380115	0.473839699	0.655241833	0.405153863	0.721960508	0.500363091	0.658739107	0.607727044	0.696123795	0.452710081	0.472846486	0.656879751	0.461219442	0.798090493	0.721648387	0.592367902	0.52453619	0.331656533	0.61041231	0.489059424	0.791342274	0.64244641	0.759018958	0.516713843	0.903694264	0.621869144	0.587806151	0.301838256	0.460625773	0.617272273	0.90984201	0.55407294	0.743146157	0.592767483	0.68438225	0.566017928	0.639491187	0.554079933	0.410859449	0.462624907	0.382924738	0.618742383	0.376771487	0.220615264	0.417262232	0.07068005	0.458410037
TCGA-P8-A6RX-01A	0.632129224	0.724307109	0.60990745	0.559463038	0.561408303	0.722365005	0.433077071	0.709847037	0.4920738	0.685465603	0.60064067	0.707954618	0.524005497	0.509907121	0.656016147	0.520964981	0.778508173	0.553261451	0.523473018	0.576921331	0.413333616	0.675613231	0.528592886	0.819672442	0.648454194	0.774195896	0.511420086	0.920162653	0.667892043	0.718762323	0.362724647	0.469910437	0.606265201	0.881068051	0.663131568	0.744301689	0.651986732	0.68311181	0.605317514	0.788541131	0.550955174	0.463008204	0.520595436	0.325851441	0.596016861	0.390910809	0.195753205	0.484516476	0.047156068	0.482697132
TCGA-P8-A6RY-01A	0.476042095	0.561551619	0.584987224	0.560260733	0.521912517	0.690473593	0.362143228	0.732308848	0.506474803	0.626218411	0.541080286	0.703295631	0.443066696	0.460290036	0.642317157	0.469148928	0.78382729	0.589586294	0.474767243	0.507651887	0.381410628	0.5998686	0.454237574	0.782663339	0.62207733	0.731400969	0.543264768	0.93573063	0.620849649	0.549534025	0.241565554	0.450867997	0.629681943	0.929895585	0.556397051	0.74410674	0.5958455	0.660065234	0.570710475	0.654475604	0.561024365	0.391294954	0.446859102	0.38253617	0.602139089	0.295332663	0.204753916	0.365341922	0.05877184	0.369351987
TCGA-PR-A5PF-01A	0.44183218	0.567098539	0.645883382	0.542757456	0.553995497	0.663730163	0.381881888	0.725449419	0.48111797	0.597687929	0.600728356	0.713117796	0.484709049	0.492249093	0.678963625	0.432891435	0.794651665	0.570997169	0.459956509	0.50686129	0.431184847	0.620535338	0.425181131	0.779605335	0.633676183	0.744052332	0.502711711	0.920457647	0.635145246	0.481909699	0.249608648	0.470402192	0.661723965	0.938015892	0.55940233	0.693042816	0.586101275	0.698694619	0.578947485	0.536345473	0.592586642	0.34054413	0.455165594	0.395619016	0.634913756	0.285756794	0.236652354	0.376638101	0.101011001	0.466571893
TCGA-PR-A5PG-01A	0.444298958	0.529070607	0.663680779	0.608839553	0.440598133	0.663262703	0.368597535	0.735914005	0.544561776	0.618692881	0.584230441	0.708961323	0.45113038	0.459649512	0.669612156	0.422221438	0.814906009	0.640075994	0.505630128	0.500245864	0.327087405	0.606349403	0.459663146	0.794853092	0.656047435	0.767257356	0.566404795	0.916040834	0.606494899	0.490375652	0.254397856	0.458710121	0.636519754	0.933077608	0.573879795	0.72757259	0.5771482	0.678424991	0.551143631	0.525882185	0.54832107	0.366926731	0.439320517	0.372611065	0.632913044	0.304436853	0.239772851	0.376462934	0.070064274	0.41368021
TCGA-PR-A5PH-01A	0.528577051	0.586930641	0.647834413	0.565429906	0.62205056	0.709579461	0.389294251	0.724140299	0.486010238	0.65975165	0.628268566	0.730581177	0.490552298	0.472216198	0.695053639	0.475719992	0.796684099	0.569739355	0.464013271	0.526272502	0.426871436	0.621406894	0.457127636	0.815050746	0.639982477	0.733633854	0.511855671	0.918069685	0.652761062	0.554267326	0.292656589	0.462940802	0.646721775	0.916197894	0.553232995	0.698820528	0.620872545	0.700618453	0.603532206	0.579756445	0.573887035	0.370324796	0.473873202	0.390391106	0.619492279	0.297376142	0.188159873	0.401872453	0.070716194	0.401878157
TCGA-QR-A6GO-01A	0.675944433	0.603913291	0.66994705	0.54900901	0.507259827	0.665487158	0.444405961	0.727234571	0.496796177	0.671183931	0.547745609	0.7097525	0.488499384	0.481192677	0.666133031	0.468087623	0.783090157	0.623005557	0.566929547	0.507037988	0.401550338	0.566261719	0.515291062	0.840579639	0.644143606	0.769514125	0.504327449	0.916917743	0.686475751	0.591491662	0.370135029	0.471688265	0.627887816	0.935586338	0.570095249	0.726079662	0.632759433	0.726723188	0.546268932	0.609043787	0.545281055	0.425734389	0.508685697	0.356816693	0.621963579	0.415082315	0.220226571	0.447150065	0.085778661	0.420645022
