ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-2A-A8VL-01A	0.594000206	0.622878651	0.786248136	0.517594482	0.538174092	0.71987011	0.419890028	0.710197261	0.471752626	0.682138751	0.634904125	0.740456381	0.594652269	0.572368865	0.913524021	0.486142376	0.804499865	0.597342119	0.511234529	0.526245139	0.407617063	0.359463944	0.435764958	0.796233791	0.639648204	0.767039928	0.456083493	0.8962901	0.659009898	0.543388185	0.301028696	0.535673701	0.718822096	0.891488905	0.612550586	0.765815364	0.64722543	0.658253065	0.540960837	0.468930566	0.552124217	0.4205702	0.477365162	0.477587161	0.672655767	0.322017151	0.139666954	0.355756839	0.105797969	0.196714035
TCGA-2A-A8VO-01A	0.565949169	0.590125767	0.730434831	0.526497087	0.482927759	0.677802945	0.448894448	0.721773945	0.494805648	0.687680897	0.607367137	0.731056628	0.596043768	0.575426984	0.870367642	0.636738099	0.777392724	0.614335562	0.528567904	0.530383089	0.340279613	0.291640382	0.461555222	0.790222335	0.648500178	0.744028351	0.493338153	0.910054542	0.722980966	0.573673982	0.327517306	0.523103514	0.713562214	0.886510329	0.601907908	0.757661469	0.642960957	0.651916053	0.538462424	0.505687103	0.565038362	0.47056926	0.475271504	0.444291749	0.649063814	0.346633695	0.10196705	0.390070479	0.069950158	0.111544506
TCGA-2A-A8VT-01A	0.531347516	0.553294882	0.71223448	0.575387955	0.556830866	0.734551866	0.435808081	0.714660736	0.533807179	0.635692392	0.667256757	0.699961286	0.565118821	0.516275885	0.876677687	0.416738844	0.804174757	0.744735876	0.586581876	0.513998713	0.326029193	0.397300249	0.430151016	0.78627606	0.659086789	0.741054771	0.526943418	0.919304482	0.712791304	0.500743773	0.315712966	0.473527198	0.663540981	0.86640316	0.585367568	0.711923273	0.61542123	0.619376874	0.55361693	0.499852443	0.54091527	0.393459142	0.463418376	0.424334097	0.636025408	0.348403324	0.154977022	0.352069386	0.084647506	0.180032575
TCGA-2A-A8VV-01A	0.477926254	0.579873133	0.71942895	0.54721387	0.548107829	0.686324889	0.378147255	0.716252556	0.50944223	0.650587289	0.637733557	0.739143771	0.586188575	0.563923791	0.868480915	0.498502337	0.790456136	0.51598348	0.440573579	0.520952572	0.337626806	0.339842105	0.409293612	0.775496747	0.654847946	0.745552789	0.503849179	0.924239951	0.709628789	0.569446529	0.275195224	0.509596744	0.70493577	0.897390524	0.607234437	0.749937881	0.610056496	0.624523844	0.555289689	0.507620253	0.536409144	0.419427655	0.466910294	0.455225422	0.658619514	0.300521915	0.135027836	0.333090212	0.063357218	0.213205967
TCGA-2A-A8VX-01A	0.496239583	0.540996749	0.718978324	0.53900076	0.560958748	0.664392913	0.337701418	0.735085174	0.574306889	0.632713967	0.567007417	0.716670479	0.569749038	0.558464937	0.843985206	0.474168152	0.774794848	0.520017834	0.445633529	0.463819824	0.276012386	0.318244654	0.383721365	0.79467416	0.654106634	0.7644281	0.578375503	0.930814187	0.744620054	0.519317608	0.239719182	0.513796353	0.690838335	0.889613216	0.589657741	0.734178352	0.620216145	0.637957471	0.510726589	0.409392407	0.545389107	0.367532589	0.444153833	0.426260919	0.640676405	0.269027833	0.153186782	0.270926921	0.050300448	0.090120405
TCGA-2A-A8W1-01A	0.523008276	0.548331773	0.709967035	0.53529348	0.467909825	0.64677804	0.364437486	0.731481302	0.548794577	0.593597561	0.569965072	0.723262856	0.550719669	0.526781053	0.889206268	0.357927626	0.808092178	0.48528431	0.428550787	0.431071387	0.298999061	0.31039206	0.391808354	0.827807272	0.664384709	0.763493336	0.554534404	0.938337834	0.761249555	0.406503587	0.275188297	0.493745143	0.719815751	0.938617297	0.586400017	0.739985022	0.605287005	0.633129551	0.47065865	0.43869945	0.544543202	0.355831087	0.43036034	0.440832546	0.658340243	0.289572169	0.149400939	0.323430688	0.024469761	0.115267811
TCGA-2A-A8W3-01A	0.553320102	0.597797303	0.688256809	0.585855904	0.543028237	0.722488319	0.411061049	0.709312334	0.560077595	0.652132164	0.646427563	0.7354275	0.58910274	0.54923742	0.903040441	0.465576825	0.793086747	0.556525844	0.486399014	0.537138854	0.376182316	0.401748846	0.443796046	0.826786314	0.665087157	0.761792752	0.557736216	0.935774484	0.749090477	0.580616384	0.307858994	0.502781132	0.69234384	0.891035478	0.612269343	0.726727874	0.641858729	0.635350594	0.583274905	0.57252976	0.561704606	0.436970662	0.476335126	0.41728102	0.637096758	0.33735836	0.119170837	0.384012498	0.061941085	0.158396018
TCGA-2A-AAYF-01A	0.517400228	0.562271951	0.730128342	0.53479292	0.505733822	0.661139035	0.422536731	0.721451764	0.495302209	0.660356621	0.61748502	0.729003152	0.591866339	0.558176072	0.887531287	0.457246419	0.810349842	0.580360713	0.50009134	0.504124353	0.343642093	0.323916285	0.420234081	0.798528043	0.650388807	0.750449081	0.487661896	0.908567188	0.715770834	0.517895216	0.29350702	0.527792443	0.72686059	0.894330643	0.614201648	0.752765087	0.614899638	0.647004691	0.522830931	0.466422064	0.56358188	0.40468566	0.457612009	0.463125818	0.661748115	0.313038304	0.125944967	0.348839297	0.048948322	0.120432854
TCGA-2A-AAYO-01A	0.563347168	0.590509415	0.712376114	0.522262956	0.510112022	0.669530054	0.513212667	0.724287917	0.499086974	0.6955457	0.600237463	0.735174638	0.576684375	0.563203876	0.849771666	0.53334112	0.776959756	0.701823701	0.604630468	0.540483013	0.404584355	0.321710487	0.490416424	0.786144541	0.667788498	0.750742084	0.497497878	0.908636703	0.705098323	0.58134668	0.363189773	0.535644848	0.716703269	0.886782491	0.60637741	0.77124986	0.632693146	0.657150074	0.544182539	0.46944238	0.559488465	0.457923489	0.513759556	0.445724988	0.647220209	0.461462324	0.108735448	0.428042894	0.050144714	0.113068279
TCGA-2A-AAYU-01A	0.521359891	0.578200922	0.72396531	0.556036809	0.532084634	0.681838898	0.395974443	0.718761851	0.509667671	0.644754517	0.639801067	0.727220481	0.584112502	0.560796594	0.871467256	0.522014963	0.807111273	0.576567919	0.480724473	0.531212831	0.318161335	0.368086595	0.427368971	0.796061582	0.651717785	0.749532969	0.504491195	0.922330933	0.697022488	0.566790754	0.279751145	0.492993585	0.699789289	0.885178016	0.597659859	0.730491964	0.611850021	0.635983774	0.554414098	0.511444546	0.548691117	0.429772515	0.461571067	0.449313865	0.651077415	0.305117999	0.143494938	0.331909444	0.086618757	0.191970509
