ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-AF-2687-01A	0.696183447	0.641085013	0.730256308	0.633734235	0.571845709	0.750880249	0.617257451	0.752444264	0.731351164	0.729386593	0.665947392	0.71673571	0.538675922	0.601786159	0.682117083	0.46973072	0.758534853	0.729830997	0.66576202	0.585095777	0.439793325	0.387391535	0.590078804	0.807989096	0.662016569	0.836328109	0.761545243	0.983955651	0.812011193	0.799778253	0.516397267	0.526035402	0.660175001	0.846632643	0.659763047	0.726731093	0.665635898	0.690339534	0.588311131	0.667268466	0.517309954	0.578144215	0.56987807	0.367087647	0.615322903	0.532925175	0.18136996	0.530656939	0.012636168	0.178707263
TCGA-AF-2690-01A	0.776271627	0.684847726	0.759507926	0.577554153	0.555227965	0.74033864	0.674196351	0.72900112	0.645413042	0.759790133	0.690266094	0.763189508	0.589358238	0.633634248	0.701362916	0.50461155	0.763400839	0.781278987	0.725440204	0.581188422	0.466392913	0.363798892	0.628344402	0.798997154	0.659418033	0.822423483	0.673795538	0.941685401	0.777598801	0.794769836	0.580423547	0.571753418	0.689994928	0.857448894	0.659108933	0.759397639	0.686098138	0.710063359	0.601052053	0.703652585	0.538003737	0.592904027	0.62094475	0.410581632	0.630860443	0.614347036	0.151392876	0.585954044	0.028532214	0.191572628
TCGA-AF-2691-01A	0.686961842	0.623485474	0.711686701	0.564849525	0.599809311	0.716630171	0.575812689	0.731113102	0.656056638	0.7219578	0.664783413	0.717701227	0.588275854	0.63198299	0.652686218	0.418453483	0.738352305	0.719075974	0.636584267	0.529350305	0.37876624	0.313372416	0.56761762	0.781474225	0.646711222	0.783299867	0.696777428	0.94162305	0.777058827	0.62649068	0.464760656	0.587700628	0.711035165	0.885533813	0.669237415	0.745225907	0.69209195	0.683493076	0.531162042	0.557861807	0.542345265	0.543653028	0.55324965	0.432017089	0.647368078	0.486175441	0.170681796	0.487183695	0.054618104	0.307085164
TCGA-AF-2692-01A	0.706954537	0.651706853	0.772067485	0.637825935	0.563783005	0.725418973	0.537995541	0.742577636	0.735419993	0.715993884	0.659076629	0.704921875	0.595339348	0.656074471	0.67845551	0.418094078	0.74085288	0.610584874	0.546281645	0.545498676	0.390704778	0.353773136	0.532424603	0.808258302	0.672704478	0.836583879	0.768563289	0.963652563	0.81796878	0.648594629	0.437103965	0.548130125	0.6798754	0.857448363	0.68381867	0.747148841	0.714811294	0.684319837	0.555019155	0.539243368	0.522824292	0.520250863	0.539663819	0.410721426	0.652668669	0.429052616	0.197073822	0.493840868	0.057384434	0.283309406
TCGA-AF-2693-01A	0.679728083	0.623731775	0.732614871	0.618568564	0.54345255	0.726601779	0.576766209	0.736502784	0.724847064	0.708681942	0.673490356	0.702379028	0.582092429	0.631897146	0.701247721	0.402804914	0.750589791	0.687700836	0.616753043	0.539257357	0.397037516	0.345944925	0.566695491	0.784940411	0.662852969	0.825924562	0.754981914	0.971030666	0.825413128	0.623404282	0.462770918	0.560566647	0.678632935	0.875249469	0.669375168	0.750529065	0.682970398	0.667164957	0.552126566	0.56913101	0.547598783	0.53279168	0.559573315	0.425702754	0.644133105	0.486135087	0.197607962	0.496713146	0.04017745	0.302561713
TCGA-AF-3400-01A	0.828668608	0.699175736	0.727034035	0.558327101	0.49434133	0.702389906	0.716807624	0.736735032	0.668783437	0.765370564	0.636504214	0.719509347	0.561524169	0.617345952	0.667157757	0.445705955	0.752974205	0.718182505	0.711577636	0.559876522	0.413513413	0.311114887	0.634339502	0.786603441	0.646851345	0.820273684	0.712973397	0.945135689	0.772064131	0.799973954	0.649761859	0.566825071	0.693186239	0.884021113	0.696771341	0.789946722	0.68721949	0.704383187	0.552314824	0.708804523	0.547986899	0.604931286	0.630133243	0.402428724	0.635707601	0.607452014	0.17889971	0.580050426	0.015745849	0.20054101
TCGA-AF-3911-01A	0.654829211	0.608746334	0.750841336	0.608638562	0.571488493	0.687928393	0.544103156	0.755066455	0.731107793	0.709215687	0.669850652	0.714419145	0.585096794	0.632399853	0.653143324	0.429669464	0.734570342	0.637745615	0.567011564	0.536075613	0.396713496	0.312678773	0.53138596	0.780784312	0.661150832	0.822962894	0.777923525	0.971820522	0.826351014	0.650169013	0.431712781	0.545648192	0.692831687	0.871643001	0.664399826	0.739087378	0.674456727	0.682084782	0.532860586	0.600636707	0.52319382	0.516824994	0.524966542	0.398805003	0.635980638	0.452213236	0.195850625	0.477854486	0.035544893	0.233485387
TCGA-AF-3913-01A	0.618367522	0.609057938	0.74534777	0.60411266	0.565989719	0.706893943	0.496371499	0.756992866	0.725926529	0.691276264	0.656215937	0.7061568	0.559998798	0.623622546	0.658357838	0.432343527	0.731345439	0.592587685	0.525136532	0.539858824	0.370225302	0.331465287	0.51916974	0.782755155	0.650184712	0.827958219	0.771255434	0.968042127	0.845340984	0.659866675	0.401082326	0.548996293	0.688988474	0.884787198	0.681176623	0.75126828	0.648670637	0.68491018	0.529727709	0.574933117	0.510149438	0.521358924	0.526067723	0.43771928	0.64960961	0.405644062	0.22692583	0.46236983	0.030964086	0.188425696
TCGA-AF-4110-01A	0.670552639	0.631819008	0.72333205	0.577108578	0.64097271	0.713852116	0.609089935	0.735464104	0.666090623	0.730622742	0.658834373	0.710823291	0.573555961	0.619069174	0.689010793	0.431544612	0.754968704	0.70531034	0.656035733	0.547312063	0.398151097	0.390371845	0.601902505	0.780815868	0.644657457	0.800211897	0.683435604	0.944735884	0.768624511	0.695374064	0.489700483	0.583919547	0.696886988	0.860322229	0.67086956	0.75869765	0.671983842	0.676646551	0.540436018	0.60878593	0.538855323	0.574173628	0.576005373	0.421241207	0.653158228	0.546233948	0.176017124	0.526415568	0.046237063	0.315966829
TCGA-AF-5654-01A	0.643718972	0.5871522	0.730492344	0.612155945	0.581321552	0.698156985	0.517400229	0.75811142	0.722062684	0.692580092	0.645234528	0.722259624	0.559250373	0.61063621	0.655733982	0.363544064	0.739937156	0.610108107	0.527885508	0.496214898	0.379777951	0.342631717	0.502094779	0.795555493	0.669748484	0.842298999	0.756820213	0.990821352	0.876866805	0.563078779	0.375037563	0.530168045	0.699408113	0.921094639	0.681067402	0.755665035	0.704669809	0.666167297	0.513216042	0.530026299	0.504624238	0.493236046	0.518642636	0.424902461	0.684245325	0.399109641	0.18110258	0.450279536	0.023688264	0.151835671
