ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-3B-A9HI-01A	0.75276655	0.733379427	0.665441804	0.639217928	0.586645921	0.779024124	0.666374598	0.771220628	0.66300114	0.75465375	0.702450093	0.721273113	0.478544523	0.490310686	0.632275865	0.521565548	0.757215433	0.752454521	0.713391657	0.605663637	0.48141236	0.448255363	0.639697992	0.801705671	0.664943201	0.76373237	0.668681191	0.926831895	0.702309653	0.827332659	0.55723153	0.525068168	0.649317653	0.848783436	0.644855153	0.820906856	0.701818785	0.676866188	0.652039891	0.760345732	0.561277515	0.609182439	0.631632784	0.372446969	0.590541215	0.610060326	0.189305243	0.557983815	0.050123174	0.234532562
TCGA-3B-A9HJ-01A	0.698301779	0.645021613	0.625022577	0.630552257	0.582646716	0.699875386	0.698606296	0.768278688	0.69184356	0.757946993	0.627565656	0.723260027	0.475144567	0.501875345	0.645508709	0.478024314	0.72814769	0.751067878	0.768595774	0.5746397	0.48351706	0.414506876	0.659690102	0.796888868	0.691950213	0.777886275	0.717404177	0.938342208	0.733688907	0.738081468	0.564001206	0.515019541	0.643268279	0.8509382	0.603419214	0.807959548	0.675038503	0.667150572	0.60074465	0.673347072	0.556050766	0.535230146	0.649973655	0.382183572	0.60171876	0.749545591	0.203345469	0.542190665	0.078251864	0.209596768
TCGA-3B-A9HL-01A	0.726807	0.688570071	0.678071991	0.675337202	0.629680604	0.798062498	0.61436059	0.749712463	0.697148773	0.73201019	0.713920006	0.74609768	0.514563756	0.499756559	0.676691199	0.556551788	0.765414918	0.669099458	0.642570962	0.609228538	0.476495224	0.42385032	0.595766949	0.804613668	0.687495221	0.77298913	0.712844123	0.935961436	0.715097346	0.819960108	0.5164663	0.515610736	0.651637106	0.842203472	0.619534682	0.768118649	0.675157474	0.656726557	0.695574091	0.731776427	0.541429632	0.530226883	0.596376979	0.395779926	0.610707583	0.507549524	0.208055696	0.505291267	0.065620008	0.216904525
TCGA-3B-A9HO-01A	0.723780312	0.677965972	0.672561414	0.595064551	0.540143993	0.722838085	0.706591015	0.75574473	0.634302374	0.744398146	0.623156462	0.74282452	0.485170748	0.527633443	0.618890714	0.530735872	0.719955132	0.816616838	0.782036553	0.570676218	0.502666697	0.386322601	0.661570814	0.784085815	0.680776443	0.769936145	0.65881088	0.914164448	0.746452622	0.773788835	0.600458541	0.547853131	0.677922123	0.872161062	0.631986956	0.825778515	0.676001103	0.666848984	0.608733983	0.647136202	0.541957387	0.559253584	0.622821028	0.412736709	0.609722928	0.697184069	0.204211045	0.532136909	0.058596584	0.175618875
TCGA-3B-A9HP-01A	0.669430642	0.699676659	0.671332054	0.611896371	0.566082354	0.76300707	0.586279962	0.766837387	0.620469711	0.729149867	0.636569719	0.737524925	0.497823779	0.486304366	0.611650288	0.603180216	0.723995467	0.783378987	0.683963326	0.619842954	0.485311756	0.441419747	0.571051994	0.787363351	0.643927289	0.735544028	0.637381149	0.925639911	0.717322662	0.806974874	0.464937964	0.504450136	0.656114434	0.870967369	0.631613388	0.79151606	0.670756314	0.677683164	0.637613215	0.695705713	0.551862753	0.570125962	0.57779065	0.393777699	0.608548652	0.520293291	0.179873101	0.500245179	0.054613973	0.212922674
TCGA-3B-A9HQ-01A	0.63157273	0.628869533	0.644035776	0.683372408	0.49416499	0.677126419	0.605045941	0.755432543	0.715958862	0.710322389	0.583045484	0.733586054	0.485440553	0.511308341	0.650083202	0.614078257	0.735489541	0.799780722	0.719158401	0.608026116	0.399116016	0.392235597	0.574800076	0.759392691	0.672142909	0.764197806	0.746951456	0.926687333	0.650863356	0.687746107	0.464198513	0.493776384	0.681575116	0.875411621	0.609007665	0.799809482	0.639136889	0.69135301	0.623942666	0.583046605	0.569307801	0.518531757	0.559448422	0.418743876	0.635058727	0.572055736	0.235967749	0.449854602	0.101789885	0.183616177
TCGA-3B-A9HR-01A	0.579203437	0.645077208	0.622011302	0.7270971	0.517674398	0.747270672	0.399806389	0.756310867	0.781336086	0.660686165	0.601017816	0.717031319	0.468510518	0.466273663	0.649144868	0.61702737	0.76043392	0.602347013	0.495435578	0.5794213	0.407731866	0.435102674	0.459954546	0.762539175	0.664095465	0.765039794	0.808985832	0.946990211	0.685968976	0.721977487	0.319286317	0.447825164	0.624978631	0.876332142	0.604258805	0.734180139	0.599196393	0.658553448	0.676111594	0.624998972	0.558092739	0.453544419	0.49499771	0.385896778	0.601551219	0.319316649	0.276786756	0.367728815	0.096774972	0.254129375
TCGA-3B-A9HS-01A	0.694145839	0.665836497	0.646734267	0.699419963	0.58312582	0.738798712	0.647906132	0.729114716	0.724908382	0.736204816	0.657012663	0.708894965	0.496612561	0.529476265	0.646891623	0.53730201	0.767656276	0.706706045	0.676560688	0.626789235	0.532442262	0.493146533	0.60363537	0.80434805	0.661405766	0.762173706	0.728427115	0.916896921	0.695922953	0.84115928	0.525973174	0.493275851	0.610076237	0.840185548	0.629868393	0.735983337	0.671998072	0.679000152	0.663735428	0.672577479	0.54187288	0.550607439	0.606529671	0.361760814	0.596788153	0.620770387	0.203041117	0.51566845	0.066857231	0.206235384
TCGA-3B-A9HT-01A	0.765219002	0.711129446	0.684402722	0.687284692	0.522736755	0.757378854	0.707641197	0.763557551	0.780762193	0.765992059	0.67153	0.713248759	0.469309811	0.496050519	0.693746127	0.617481468	0.782866913	0.823395328	0.801092757	0.611613171	0.473258983	0.482812499	0.647120341	0.839545808	0.684510398	0.844639585	0.798503024	0.971464252	0.797268302	0.775711945	0.59836611	0.520089059	0.671732682	0.864778192	0.673832028	0.814674612	0.663568034	0.697640315	0.621001704	0.649344728	0.564342072	0.554252742	0.647599479	0.395897326	0.614102678	0.696967058	0.23598536	0.516602594	0.075341905	0.196274612
TCGA-3B-A9HU-01A	0.751230924	0.666254096	0.681620923	0.680791742	0.546805357	0.687164201	0.642922987	0.757083456	0.730211029	0.745186735	0.605325183	0.739669312	0.483906721	0.527074036	0.625450714	0.588382349	0.706064579	0.867267589	0.782368013	0.612309927	0.467322838	0.42678154	0.60784587	0.769348779	0.666866373	0.777673587	0.777222506	0.920721297	0.6678096	0.717058805	0.524417919	0.511638245	0.676418196	0.859749672	0.612627829	0.79524891	0.660732444	0.729339289	0.635017728	0.586541372	0.563568177	0.543767511	0.593513827	0.422867046	0.623910076	0.613703995	0.225204812	0.479705428	0.116153606	0.199044637
