ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-2G-AAEW-01A	0.502757603	0.447561398	0.54110223	0.675921516	0.481919665	0.596559467	0.538686712	0.739358438	0.761326372	0.624587172	0.472057111	0.591416499	0.349387079	0.373202154	0.525608769	0.315797921	0.686658704	0.819717013	0.709994141	0.476735461	0.367351611	0.382811823	0.498956209	0.754520641	0.596945836	0.772339169	0.802835018	0.952299692	0.819986269	0.459943539	0.391852785	0.375287558	0.553754123	0.777061347	0.484606104	0.675098877	0.552394585	0.59645448	0.438688425	0.404951913	0.438290258	0.371923922	0.480608256	0.278628937	0.490041545	0.559000022	0.272185833	0.385338196	0.036268905	0.042999847
TCGA-2G-AAEX-01A	0.439480705	0.468975819	0.518951499	0.650055201	0.50725986	0.613930969	0.444451513	0.756082382	0.771528456	0.600452621	0.438900917	0.60978911	0.341666613	0.409753915	0.531017667	0.306414552	0.686208804	0.725826138	0.612121512	0.453795445	0.355003499	0.246014241	0.445176974	0.753046842	0.584114718	0.750909471	0.816335905	0.971375757	0.862074187	0.465925306	0.307325768	0.367196261	0.557036493	0.819924358	0.524380693	0.688533835	0.537222162	0.581989528	0.439208657	0.445507462	0.463121017	0.341231877	0.471427432	0.224219454	0.47781645	0.514851149	0.327470481	0.340067167	0.029824842	0.048502677
TCGA-2G-AAF1-01A	0.488609635	0.445661928	0.520397766	0.67264727	0.482250984	0.615188981	0.526185669	0.741808303	0.744790384	0.622390096	0.483236503	0.590175813	0.361416512	0.387261005	0.547734376	0.297937691	0.694085823	0.822280721	0.710331091	0.481943833	0.381825158	0.352236644	0.491886587	0.758966201	0.606810448	0.758311955	0.783965614	0.947391754	0.801142798	0.425167818	0.380500816	0.368110956	0.551810145	0.778513119	0.48669474	0.681377783	0.557542365	0.596716197	0.438554512	0.380305746	0.457558253	0.358845598	0.483720295	0.263696055	0.48196621	0.573008049	0.280622808	0.377341455	0.050530445	0.044368673
TCGA-2G-AAF4-01A	0.40635439	0.438150763	0.504893002	0.664387845	0.470827386	0.568705716	0.459159054	0.740568926	0.760551656	0.567988831	0.407464719	0.590835783	0.304314469	0.350071442	0.52908324	0.268547186	0.667589652	0.75896067	0.642193265	0.446759364	0.358523922	0.290330076	0.458163744	0.738013353	0.607152202	0.740259855	0.800755728	0.967465936	0.863729019	0.401590678	0.321507506	0.34264431	0.540563635	0.778571332	0.484322521	0.660977682	0.516038949	0.572716823	0.419331435	0.368907707	0.450111296	0.32310638	0.466971473	0.255305797	0.478337454	0.544771975	0.28355881	0.341723525	0.045306395	0.034498884
TCGA-2G-AAF6-01A	0.415750596	0.465200892	0.56899978	0.647727538	0.461642894	0.579794149	0.448694481	0.74828775	0.741629771	0.578777907	0.406740863	0.623409442	0.330932564	0.384309335	0.53296047	0.278755471	0.691450761	0.584565038	0.542238616	0.453593658	0.384917569	0.276833382	0.465701125	0.743820902	0.608385105	0.778055523	0.784718024	0.964140041	0.840091205	0.388400049	0.316893384	0.393701323	0.578045107	0.828300962	0.518624502	0.702212098	0.542044462	0.601612332	0.393430198	0.362661229	0.469327981	0.335838766	0.46453579	0.28049384	0.52265366	0.531168834	0.292247288	0.34123177	0.043803965	0.062845501
TCGA-2G-AAF8-01A	0.414843264	0.48301538	0.569009973	0.65476603	0.514602663	0.61633478	0.44060981	0.746900844	0.755374548	0.602557563	0.454727656	0.617415241	0.353113971	0.418412269	0.54000429	0.326742113	0.698104254	0.644445736	0.563350758	0.461505646	0.371027402	0.273553674	0.440545748	0.789819111	0.609538786	0.775891427	0.803600862	0.957524058	0.84492027	0.484591067	0.296126758	0.380314692	0.561239819	0.821152035	0.538295575	0.69704256	0.546375917	0.58049494	0.443402579	0.434037026	0.465196392	0.349123392	0.443697234	0.256615914	0.506323948	0.507187781	0.273333784	0.332003742	0.03264873	0.009354869
TCGA-2G-AAFE-01A	0.426166843	0.44282845	0.547709193	0.642274388	0.46189668	0.570105589	0.452150339	0.74179866	0.748967479	0.585580764	0.466540374	0.601716798	0.339014385	0.392460894	0.522147985	0.319573014	0.659199294	0.555965513	0.514390077	0.461774445	0.349787661	0.308947011	0.455008976	0.750000056	0.59284473	0.755350738	0.795002541	0.957823025	0.825142878	0.41971142	0.296287446	0.388727946	0.561430189	0.805684756	0.508404368	0.704093787	0.554602826	0.602325187	0.38542834	0.405902466	0.44637694	0.366603108	0.444362884	0.281210531	0.499577915	0.503332038	0.358449259	0.343341746	0.040976447	0.043936134
TCGA-2G-AAFG-01A	0.493629339	0.481542058	0.554825613	0.656045457	0.493369332	0.621936595	0.524551379	0.74897619	0.759421528	0.617609442	0.440852792	0.624946805	0.359453425	0.42596948	0.540175309	0.298712101	0.691320177	0.704226001	0.645750473	0.447449057	0.373338563	0.276976539	0.502586036	0.742992323	0.62295635	0.779875254	0.805130266	0.971759964	0.846166658	0.468705654	0.36956558	0.405962921	0.578346566	0.81994938	0.526414327	0.69995893	0.573900304	0.615549485	0.43045903	0.442408736	0.458100551	0.375918192	0.50401302	0.265310642	0.519038049	0.584142337	0.267611545	0.366690087	0.03898373	0.062613468
TCGA-2G-AAFH-01A	0.472365807	0.505573189	0.563770439	0.651879424	0.487663119	0.629695336	0.485433418	0.729435231	0.75356124	0.60240326	0.445264536	0.609340385	0.35968443	0.418005079	0.555058245	0.311678923	0.679678941	0.672720578	0.622481631	0.469230463	0.361631078	0.282984554	0.484514615	0.747821387	0.603604668	0.761259189	0.792829908	0.96381702	0.850296381	0.500522245	0.359653241	0.38837551	0.550107036	0.785447407	0.533484049	0.710270036	0.548550945	0.600493149	0.458191864	0.453098568	0.466435971	0.377493125	0.497166558	0.243287551	0.482229687	0.560078323	0.270243992	0.374458608	0.035167801	0.034744806
TCGA-2G-AAFI-01A	0.554818145	0.611273102	0.663102064	0.637157618	0.600928209	0.744128863	0.452944573	0.7553847	0.790008681	0.654076107	0.571173809	0.644801955	0.458050322	0.510886262	0.579635121	0.393679022	0.696949846	0.60774044	0.528782698	0.485139492	0.384034841	0.432859071	0.491381466	0.813518637	0.611810162	0.825085942	0.840198814	0.991221031	0.871107682	0.605364341	0.348472186	0.453921765	0.580297664	0.830331377	0.624671947	0.705519952	0.63816709	0.663089816	0.484637683	0.615192499	0.468800652	0.469400343	0.504096009	0.263380756	0.518795269	0.429779994	0.266786555	0.344915451	0.054266086	0.087849657
