ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-4C-A93U-01A	0.740032784	0.644912766	0.644027525	0.582305893	0.520523259	0.812649594	0.568625563	0.699413743	0.521308836	0.763183455	0.6865072	0.709472853	0.570839227	0.573932003	0.66032686	0.46164267	0.79094078	0.752893091	0.702209589	0.605583317	0.443456112	0.458892375	0.583835037	0.740015345	0.623886616	0.730580137	0.537752782	0.880376245	0.624877554	0.782170008	0.512723935	0.49954465	0.624325838	0.831334583	0.641347291	0.778319466	0.711566502	0.649319737	0.619166831	0.714531648	0.562265679	0.610021331	0.620804284	0.415282255	0.605994135	0.545397151	0.09480547	0.542252691	0.043462676	0.129324984
TCGA-BJ-A0YZ-01A	0.483243021	0.596669415	0.659245543	0.532213492	0.511144597	0.750601147	0.429845654	0.71183823	0.454436292	0.661118653	0.646739993	0.794282107	0.540630885	0.534361682	0.669970196	0.498874136	0.791416101	0.566969715	0.481952631	0.536623211	0.389106151	0.388891384	0.474350505	0.725161895	0.622177541	0.705306185	0.463552211	0.873594427	0.637369973	0.604623125	0.279900494	0.520671539	0.714277874	0.933137262	0.60075453	0.812704724	0.648185173	0.585427631	0.604835423	0.624977865	0.562242559	0.486604895	0.491914245	0.461500219	0.650895315	0.327535635	0.08719477	0.381358207	0.060642793	0.158713439
TCGA-BJ-A0Z0-01A	0.461380296	0.559536714	0.613814811	0.543568997	0.517984359	0.736399727	0.381000078	0.696461026	0.483297449	0.62865472	0.608800402	0.712474323	0.509715778	0.518016365	0.654072854	0.396703563	0.818339401	0.520124108	0.431398012	0.506024877	0.37630239	0.395623013	0.406239494	0.731791621	0.630618411	0.694711606	0.482863511	0.872458153	0.57382798	0.477960023	0.247845225	0.470792414	0.64606447	0.860710458	0.594014318	0.775617159	0.598830439	0.574806596	0.58222381	0.444119601	0.572139333	0.406523196	0.469452191	0.467034993	0.621443672	0.28891837	0.116545956	0.349424933	0.038406477	0.246901376
TCGA-BJ-A0Z2-01A	0.477559109	0.562314189	0.609716469	0.549370018	0.528408448	0.729713566	0.400834682	0.715923488	0.530970674	0.623262816	0.558331444	0.695219738	0.485571097	0.528540065	0.616474843	0.413735181	0.779718135	0.541544977	0.444405342	0.52518641	0.378053176	0.417085384	0.431072012	0.739736084	0.634560059	0.706596608	0.535699476	0.882322341	0.597603242	0.514249109	0.270740261	0.470381944	0.634806073	0.863257153	0.610600672	0.766804584	0.598406313	0.599366014	0.529400187	0.480024145	0.556789548	0.454669365	0.479669728	0.433534881	0.610561498	0.330097032	0.13398123	0.369240625	0.033561488	0.195918344
TCGA-BJ-A0Z3-01A	0.614142461	0.585966297	0.59924633	0.571440564	0.517735658	0.7588023	0.548893106	0.718741562	0.536287872	0.712260588	0.655586641	0.705091274	0.549251127	0.564935678	0.654443244	0.447395611	0.785470602	0.676120099	0.626851589	0.564012528	0.41381235	0.410845109	0.557681722	0.736727838	0.650750977	0.712825097	0.550113239	0.902168462	0.653212375	0.611164273	0.412585403	0.476032038	0.633375075	0.84536731	0.589578739	0.779691295	0.658542822	0.617825737	0.569039293	0.53472764	0.553847273	0.544280015	0.573967035	0.406856717	0.608159855	0.559491752	0.098092645	0.472921676	0.045833579	0.144219962
TCGA-BJ-A0Z5-01A	0.548023768	0.576451676	0.640587104	0.541466887	0.500564298	0.729989108	0.439355627	0.733382991	0.496631262	0.66537639	0.629440242	0.719266401	0.549779895	0.554598055	0.631412358	0.445264996	0.788024201	0.606752206	0.519816761	0.539009717	0.385822827	0.38378221	0.479514737	0.728254352	0.630804399	0.714485105	0.524839855	0.888632494	0.646995201	0.502612677	0.347362	0.487420212	0.650017295	0.869749646	0.598470547	0.770702794	0.667647232	0.610274936	0.534684305	0.478845586	0.56025034	0.494153159	0.527775206	0.431876888	0.631136969	0.39258247	0.099490931	0.394572213	0.042062927	0.164455529
TCGA-BJ-A0Z9-01A	0.642238843	0.607547929	0.664022566	0.583418623	0.505722366	0.794244879	0.537479126	0.710506485	0.542089224	0.722235834	0.617597002	0.703573392	0.592716916	0.571289618	0.663941095	0.415533917	0.8219184	0.781300852	0.662864247	0.597665196	0.384653377	0.447025164	0.533781373	0.784816887	0.655610583	0.758516908	0.545895417	0.91366032	0.704694215	0.59958607	0.466848668	0.509081002	0.606715061	0.841703873	0.632375099	0.803479579	0.712231686	0.632292912	0.590361038	0.542651113	0.573650866	0.525426822	0.562776968	0.390223932	0.591066932	0.479202321	0.087686038	0.46502032	0.061542266	0.158319303
TCGA-BJ-A0ZA-01A	0.553656817	0.599312452	0.627092515	0.53795773	0.510946186	0.752598861	0.443788934	0.706826825	0.482045552	0.667168236	0.619251626	0.732097288	0.528069703	0.538051338	0.68505968	0.439493792	0.811049463	0.559897019	0.491358625	0.52284884	0.373673266	0.396589882	0.475528409	0.754584432	0.644226736	0.713588152	0.498320585	0.888416892	0.630955637	0.540175782	0.349802931	0.495614233	0.652888991	0.88906826	0.599278355	0.785712575	0.657133842	0.608140201	0.577367909	0.520370063	0.565284603	0.480378496	0.523315294	0.464161751	0.623699342	0.392569856	0.097570908	0.406293156	0.031155003	0.228382532
TCGA-BJ-A0ZB-01A	0.563362862	0.57798291	0.633717479	0.566155496	0.505451997	0.759726225	0.438636353	0.717364671	0.502539478	0.688118299	0.639717754	0.713144514	0.562750981	0.559932943	0.653453003	0.451655445	0.80542482	0.610249758	0.528581624	0.561029853	0.39604454	0.401897194	0.482181514	0.717486036	0.629101411	0.712144841	0.520634705	0.888782053	0.65060714	0.613157945	0.366086944	0.480912066	0.640713186	0.862989635	0.610385886	0.762303417	0.670138442	0.605521094	0.57728916	0.574110271	0.554330461	0.517630632	0.529300387	0.435532163	0.630469141	0.399243214	0.099118979	0.405978808	0.032196581	0.11245231
TCGA-BJ-A0ZC-01A	0.476476501	0.571389142	0.613605403	0.537875347	0.490635995	0.734781543	0.396696349	0.693277451	0.453380358	0.629255577	0.602609481	0.750467294	0.537217839	0.520244578	0.668205719	0.438502934	0.816983056	0.583146752	0.490727782	0.503164749	0.408959151	0.337656688	0.439943193	0.735435308	0.630715537	0.718479152	0.459066624	0.865672226	0.585090253	0.508894693	0.279990079	0.480195578	0.678358314	0.895031701	0.590983363	0.799385591	0.608236155	0.571188125	0.596903982	0.486609822	0.583479295	0.434876758	0.460001407	0.491289289	0.633161543	0.336374934	0.10438033	0.347998891	0.03976453	0.158473072
