ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-XU-A92T-01A	0.527294763	0.547702804	0.570171066	0.555191347	0.631005343	0.756522129	0.488908176	0.709839199	0.508436513	0.64755582	0.703913867	0.650115623	0.456555786	0.45273059	0.618869194	0.387832722	0.744214597	0.583869273	0.525250369	0.548751993	0.388181522	0.483673501	0.480832963	0.71857344	0.60590178	0.6473196	0.511943704	0.885603957	0.604316483	0.54922932	0.330046971	0.441684748	0.5847261	0.81194355	0.553284005	0.661586876	0.684243371	0.590136563	0.547262516	0.512538478	0.52535379	0.420289373	0.458029713	0.288184482	0.51122824	0.416493153	0.094451133	0.368562842	0.065668023	0.041097176
TCGA-ZB-A96A-01A	0.431484081	0.480944675	0.566726621	0.599620079	0.564282457	0.564732478	0.455294356	0.803121541	0.768701694	0.633290287	0.565747993	0.644407378	0.409056477	0.471002752	0.572601232	0.31332478	0.641180914	0.591139349	0.512292692	0.453786754	0.35669025	0.31346455	0.447996505	0.725506564	0.653182716	0.726155544	0.809103358	0.974722333	0.77396247	0.393269623	0.266107362	0.413500364	0.609145321	0.87690734	0.549804821	0.731374333	0.631673145	0.607143079	0.405270185	0.363508658	0.486791419	0.327902467	0.429431414	0.304064561	0.546028413	0.510803327	0.211090998	0.306122563	0.065789045	0.041923133
TCGA-XU-A933-01A	0.588121589	0.555258852	0.653761878	0.620613751	0.522902547	0.636313351	0.50165505	0.748831237	0.707189422	0.678646524	0.622689021	0.675354941	0.539420379	0.545023026	0.647507254	0.377603498	0.729431265	0.659279932	0.58173355	0.494763205	0.366212874	0.275513068	0.469794223	0.76755055	0.641475911	0.772425571	0.736182704	0.972669241	0.821778113	0.505514645	0.358572763	0.433758566	0.618079518	0.872070293	0.591182561	0.747855419	0.655186307	0.608349184	0.483537008	0.493042228	0.491846216	0.398141036	0.47880438	0.317504039	0.588144018	0.452942964	0.172839029	0.364786901	0.081024954	0.052555566
TCGA-XM-A8RH-01A	0.457488151	0.491323669	0.555629026	0.665420665	0.56527491	0.581819728	0.49404136	0.797905516	0.827699824	0.662593683	0.526838445	0.667355675	0.397362197	0.439381339	0.612047519	0.301014777	0.679592584	0.622672271	0.55149529	0.436289925	0.377167238	0.33558619	0.47077919	0.74003695	0.68368604	0.756367536	0.869329398	0.993326302	0.755776208	0.431173584	0.297346507	0.404450696	0.613971351	0.871401946	0.533780024	0.724645676	0.619909193	0.602579221	0.449809309	0.35438411	0.498850954	0.324214924	0.444161368	0.312554429	0.553812575	0.539725324	0.217949347	0.321935145	0.040926346	0.036573076
TCGA-4X-A9FB-01A	0.513184811	0.492255248	0.551789295	0.651479614	0.525469011	0.565132306	0.52282646	0.784709943	0.803062638	0.663855146	0.451302635	0.64386879	0.430579834	0.510217338	0.59567594	0.302079166	0.692353109	0.778776305	0.673257587	0.438474637	0.365396267	0.266454273	0.479832523	0.750246488	0.689518601	0.753668307	0.829179685	0.976990313	0.725578702	0.379745024	0.344865572	0.406487579	0.618640521	0.875526754	0.537086919	0.724992095	0.629692135	0.641561686	0.400538488	0.318533428	0.499916007	0.319827345	0.458392615	0.315721421	0.553574933	0.604904734	0.253559295	0.347411393	0.054088314	0.091268119
TCGA-ZC-AAAF-01A	0.43256307	0.484645671	0.52112259	0.609053717	0.585402182	0.589816605	0.434438998	0.803767529	0.772316966	0.625841912	0.61509756	0.644726139	0.401088406	0.452866029	0.569063647	0.334836179	0.62412765	0.596275531	0.516875303	0.452415045	0.406362757	0.326674542	0.436948393	0.727216136	0.656568948	0.726801597	0.815664055	0.977494822	0.773249554	0.438711958	0.272429294	0.414363352	0.596218652	0.871616777	0.549695514	0.724360424	0.636304367	0.59782112	0.419269266	0.328038632	0.491430941	0.348781771	0.431693354	0.296215272	0.541696185	0.521197087	0.207798444	0.283392339	0.051223983	0.043060731
TCGA-X7-A8DF-01A	0.490368171	0.490829873	0.576968455	0.59841137	0.576157521	0.591284622	0.519919529	0.794542347	0.751421238	0.654551531	0.574038836	0.653198255	0.405090708	0.453497824	0.571972645	0.336952389	0.633818972	0.690953985	0.614672801	0.455810778	0.418174547	0.321443818	0.483098924	0.730655418	0.658342919	0.73654947	0.791866583	0.971776892	0.765606788	0.448769328	0.338331118	0.421131057	0.604479292	0.864494663	0.540838744	0.749787239	0.637996673	0.613343582	0.415831763	0.345481233	0.481704237	0.360049509	0.481635225	0.313470052	0.544891247	0.590245574	0.192935827	0.335343586	0.050065566	0.052138893
TCGA-4V-A9QN-01A	0.504342899	0.531746041	0.618055021	0.494607743	0.460086166	0.58799135	0.442522314	0.757004333	0.54550387	0.632278747	0.537979265	0.678000169	0.51268529	0.564657582	0.575111977	0.389110293	0.700320795	0.786053813	0.647778858	0.49999416	0.351237444	0.282631595	0.471750721	0.743649796	0.622142456	0.729184611	0.577427624	0.905287845	0.711120607	0.463847306	0.312912763	0.445349662	0.663304305	0.916490195	0.586509426	0.738542726	0.701442617	0.635774502	0.400133718	0.424603227	0.505474136	0.415535465	0.43338344	0.34945994	0.582663209	0.444224539	0.14460959	0.334075171	0.086689089	0.130616841
TCGA-5K-AAAP-01A	0.489497362	0.500338733	0.563804758	0.573039213	0.609811047	0.601646097	0.501068243	0.777560546	0.690654663	0.640329149	0.606364546	0.64221952	0.421203723	0.488317879	0.557491341	0.357169379	0.646118336	0.626655293	0.566436236	0.474449337	0.43668887	0.343504469	0.448936403	0.719201044	0.645770338	0.704141666	0.731363297	0.950610164	0.735147423	0.476995919	0.318518338	0.43992823	0.598701215	0.864918422	0.536250177	0.712589626	0.66962648	0.610022616	0.431577032	0.422892102	0.492539714	0.365126174	0.465358456	0.307546439	0.532077789	0.546274766	0.160306332	0.302315971	0.060258724	0.065455313
TCGA-ZB-A961-01A	0.569651718	0.5482662	0.602341608	0.54142726	0.51137813	0.596875474	0.556219193	0.724779812	0.533563721	0.640671775	0.517280609	0.699577442	0.469138567	0.512998339	0.589977696	0.35079449	0.716624435	0.857103435	0.745561905	0.524256308	0.432838968	0.285054982	0.519051282	0.713582537	0.64535835	0.719889483	0.5446843	0.890543392	0.608363015	0.416045247	0.394816738	0.459994688	0.637309225	0.899047486	0.543240491	0.732936314	0.65694773	0.625221303	0.498789712	0.377032027	0.529722856	0.437481637	0.519996978	0.349690145	0.562928678	0.598778771	0.123888767	0.401353126	0.055291174	0.124635061
