ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-N6-A4V9-01A	0.663403903	0.695829901	0.664957258	0.631653806	0.612637248	0.83549436	0.449767402	0.710866734	0.676430778	0.692476694	0.657039023	0.657675799	0.543868724	0.582122355	0.677248193	0.427380419	0.750767368	0.688013747	0.571008231	0.551383783	0.458370852	0.453845817	0.466349881	0.782736655	0.632231027	0.766008095	0.673050468	0.930332894	0.735718386	0.795798043	0.365175675	0.438653962	0.54826071	0.80569674	0.675732159	0.720821708	0.68590138	0.664905243	0.571500894	0.69594138	0.483046328	0.513566235	0.516580162	0.292413031	0.562792622	0.344904324	0.173746738	0.494580606	0.089808563	0.107878211
TCGA-QM-A5NM-01A	0.53589838	0.619150096	0.685679376	0.569087555	0.492890369	0.646594191	0.375440238	0.770244141	0.70827331	0.649450811	0.574309385	0.649541901	0.489570664	0.540792441	0.609285855	0.409202565	0.657567588	0.50807363	0.454824674	0.497567286	0.404583513	0.372683566	0.437075861	0.768704991	0.613457709	0.762359286	0.755984504	0.948027799	0.779382038	0.614465267	0.268227552	0.441634407	0.597382249	0.859800476	0.656344582	0.74114247	0.6323461	0.673406156	0.471151546	0.551090854	0.485596394	0.425693146	0.482937159	0.326887351	0.589301108	0.303146689	0.216888101	0.34478747	0.077846298	0.115882201
TCGA-N8-A4PM-01A	0.483546071	0.61197028	0.692910769	0.597883287	0.55216464	0.663843751	0.378842534	0.766761623	0.707800018	0.646995897	0.616554658	0.656287183	0.485934033	0.527700357	0.587695148	0.456146183	0.666939475	0.558985341	0.462403114	0.533738521	0.386521289	0.429434519	0.411355614	0.781354277	0.608968055	0.780328159	0.727180648	0.96587191	0.83875709	0.661482872	0.274107991	0.436242968	0.61562619	0.862474078	0.657411378	0.738048149	0.610487699	0.651427455	0.487898931	0.640962766	0.464273307	0.434507112	0.460450616	0.291625263	0.57905367	0.330355412	0.199727707	0.37767711	0.089771496	0.108552997
TCGA-NG-A4VU-01A	0.470599609	0.626972839	0.584012045	0.64120109	0.604279175	0.649467598	0.376173422	0.725934617	0.704229977	0.599855002	0.61172731	0.71085004	0.45001642	0.437080165	0.602739399	0.810880994	0.71360653	0.417240111	0.390602347	0.513349962	0.363268909	0.389376321	0.429540901	0.800907032	0.612551564	0.772072856	0.732946795	0.954932591	0.812598237	0.644476116	0.263208962	0.425620019	0.631026015	0.916242551	0.62679128	0.705442788	0.581955338	0.65781424	0.540763302	0.643341399	0.530398024	0.39930885	0.454369249	0.325397402	0.57132058	0.309113596	0.205339545	0.341179455	0.096515583	0.108023671
TCGA-NG-A4VW-01A	0.463499496	0.564897047	0.655216647	0.62979286	0.525523774	0.67786983	0.356982284	0.751129054	0.723589168	0.642659498	0.5348069	0.66495363	0.517719258	0.53290589	0.641416496	0.381626988	0.730358983	0.515000359	0.444688723	0.506704973	0.395023668	0.408282474	0.408643971	0.772731721	0.639097138	0.777061972	0.753450496	0.973062513	0.793930627	0.595406194	0.245638561	0.442354741	0.625569919	0.867308052	0.636522884	0.723541902	0.617750599	0.646404025	0.551125519	0.520737687	0.493453204	0.361761048	0.43150452	0.368239583	0.644049805	0.258506072	0.205777094	0.322571066	0.044283963	0.198759074
TCGA-N8-A4PN-01A	0.402125639	0.556837751	0.554060453	0.682363206	0.623603022	0.67360537	0.360636848	0.726908047	0.751899569	0.598615773	0.71603188	0.61672066	0.416697565	0.400541364	0.574724272	0.715574229	0.67653078	0.51439903	0.403120899	0.550618944	0.363379892	0.460834557	0.395953707	0.77162467	0.608162723	0.711953481	0.776698185	0.942441736	0.744887832	0.671608929	0.21882659	0.3853006	0.537362558	0.787581648	0.59010023	0.628683445	0.570011165	0.606751581	0.540833625	0.569575557	0.483380169	0.361796533	0.407941163	0.273553236	0.536218092	0.307935961	0.226024645	0.302067501	0.117724327	0.07479137
TCGA-N5-A4RA-01A	0.525635111	0.647155432	0.622772969	0.588835164	0.628655214	0.701687073	0.424460587	0.771040653	0.720499605	0.619487962	0.640184938	0.664381713	0.428320445	0.452901173	0.584273757	0.760408701	0.667595716	0.52351278	0.430275722	0.508079344	0.377225134	0.419548983	0.409953733	0.808301925	0.611334877	0.776295412	0.750137175	0.973912185	0.823855541	0.677461762	0.269090898	0.426273648	0.579468133	0.850682765	0.633459624	0.705057641	0.600015255	0.683547027	0.511596376	0.610779703	0.489193827	0.397526828	0.45430612	0.294747112	0.563458766	0.298853197	0.206439862	0.30203921	0.146341452	0.131200879
TCGA-N6-A4VD-01A	0.57305244	0.60984679	0.671958621	0.601079612	0.584566245	0.717408542	0.489472861	0.74857152	0.669619526	0.669486516	0.645214479	0.684813295	0.530392362	0.561985828	0.654166897	0.399893562	0.72612382	0.630287341	0.543027124	0.525722494	0.386639694	0.448574085	0.476146596	0.782850619	0.630086044	0.790634866	0.700915542	0.954033272	0.745308691	0.621553345	0.365241542	0.468933144	0.632700605	0.874642413	0.667458027	0.740820754	0.643373648	0.657674686	0.505986302	0.539803917	0.519819723	0.448281547	0.47869036	0.363376771	0.642324444	0.381270605	0.190754579	0.384833705	0.062671857	0.189677657
TCGA-N7-A4Y8-01A	0.379140924	0.556576374	0.614987165	0.588214283	0.493497435	0.562441051	0.293623227	0.804951712	0.710994428	0.538004569	0.576328108	0.639180703	0.388210632	0.410614173	0.511544809	0.471792839	0.627893982	0.436199603	0.346371153	0.474607088	0.374689025	0.346982142	0.371130862	0.752413155	0.588941807	0.750936024	0.754850846	0.962182791	0.870841592	0.54716715	0.181897743	0.41906582	0.583134425	0.865114125	0.622081363	0.708280934	0.573220357	0.6265391	0.432173402	0.477890145	0.459019763	0.361129867	0.398988998	0.274402716	0.550039144	0.301905516	0.224616863	0.2734991	0.094415835	0.102080598
TCGA-N6-A4VE-01A	0.558666516	0.637381527	0.675850843	0.606995871	0.62539141	0.705134871	0.447913369	0.778602479	0.739084643	0.674440083	0.67746276	0.658120473	0.535173691	0.612582016	0.604936238	0.428010312	0.682834872	0.740149778	0.589841319	0.565176507	0.434299349	0.513244156	0.481783035	0.774450976	0.624501307	0.770226255	0.787194599	0.958222311	0.76270223	0.725670499	0.323550792	0.456564621	0.59383538	0.838973183	0.645214495	0.717468991	0.644382279	0.677868375	0.528614672	0.684841178	0.500846978	0.481978851	0.494055504	0.319180664	0.589097732	0.37872319	0.194092712	0.416824648	0.168446542	0.26267538
