ID	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-VD-A8KB-01A	0.446719224	0.57426259	0.60644615	0.60524671	0.563937926	0.62140541	0.31266277	0.806335494	0.595063073	0.59879254	0.57852942	0.736844222	0.470893093	0.426523866	0.589331254	0.473414246	0.709184955	0.498958955	0.404080878	0.488957899	0.427265378	0.424415201	0.38458954	0.78861536	0.628405283	0.712355053	0.631270963	0.94537069	0.826090241	0.430136035	0.209359134	0.454700618	0.643344204	0.90989237	0.600163744	0.765319984	0.624609467	0.631988883	0.513094155	0.377002488	0.56527435	0.364639065	0.443023292	0.379596895	0.607224408	0.251549109	0.190882071	0.257448486	0.049160037	0.074764996
TCGA-VD-AA8P-01A	0.466101437	0.57847669	0.649013276	0.614289358	0.584755066	0.635232722	0.349625729	0.789361848	0.620039922	0.630847053	0.624651818	0.746980788	0.491906904	0.465286716	0.627113772	0.496722121	0.745488216	0.569397124	0.467956072	0.510360603	0.450460059	0.393239321	0.448739861	0.797013451	0.634595711	0.745188807	0.647424658	0.95939996	0.838029096	0.481671906	0.24495565	0.473491615	0.657157657	0.921334908	0.61671559	0.794372852	0.604182349	0.649816951	0.538855286	0.446961418	0.572736564	0.431412819	0.479090806	0.381383196	0.611150939	0.303949976	0.192705095	0.298087453	0.06604637	0.121547306
TCGA-V4-A9EK-01A	0.492501452	0.562533343	0.587487215	0.597268037	0.523896533	0.65301713	0.404167379	0.767405209	0.550454122	0.644015126	0.563820983	0.73638475	0.445010127	0.405878919	0.631507825	0.425956551	0.779569566	0.643452417	0.539410433	0.478894865	0.408219696	0.438776266	0.481221257	0.794183783	0.638291001	0.736803003	0.573783412	0.96125689	0.770364114	0.431992755	0.310133288	0.466135057	0.671432518	0.917663204	0.57998607	0.76229066	0.612658907	0.642572828	0.566797211	0.34099857	0.598330848	0.40083001	0.475675054	0.384115019	0.623620717	0.422462361	0.18043307	0.36172722	0.031864806	0.10714328
TCGA-YZ-A985-01A	0.51307834	0.606901847	0.625899953	0.60996092	0.585663971	0.633508544	0.370805967	0.800955973	0.606792781	0.642482685	0.642615975	0.740065773	0.493106193	0.444697705	0.614634119	0.478415109	0.714587796	0.564097319	0.470468828	0.517809221	0.461720617	0.433733471	0.438999858	0.78387897	0.640132732	0.732485231	0.640995076	0.952026414	0.865277227	0.454768826	0.276167224	0.467502583	0.640065282	0.920197836	0.621742045	0.780372257	0.66023091	0.653666523	0.529238492	0.421996379	0.566087304	0.3984152	0.475677757	0.372780175	0.608097675	0.329390982	0.185999734	0.285837352	0.063406725	0.09972583
TCGA-WC-A88A-01A	0.468284645	0.586931313	0.632565386	0.596646361	0.540250628	0.635710474	0.376627518	0.806047213	0.60551157	0.619765957	0.655364094	0.771560478	0.463259636	0.438044584	0.59933769	0.471721212	0.743503638	0.544295523	0.468040015	0.496264993	0.450965963	0.421113481	0.445195074	0.810252765	0.649202441	0.764565989	0.645628896	0.976394269	0.860455406	0.483687524	0.255644195	0.491651024	0.677610999	0.971289284	0.632669901	0.776240045	0.629325573	0.647468873	0.518226534	0.439386534	0.567915713	0.40136158	0.472005654	0.386872589	0.621276246	0.342514314	0.194335248	0.295189645	0.02827246	0.074637349
TCGA-WC-A882-01A	0.535137394	0.602784258	0.689571095	0.559063581	0.572901315	0.640263002	0.410451712	0.774281526	0.508631894	0.659933209	0.615217827	0.736662459	0.514700805	0.480820119	0.572576915	0.546199914	0.672147329	0.639117432	0.536645753	0.532832293	0.5275754	0.401182931	0.487540913	0.763747094	0.609396525	0.708864615	0.525797298	0.894266055	0.836733852	0.542220941	0.311069874	0.500123816	0.645844598	0.902569334	0.599738004	0.786669284	0.662020897	0.652482436	0.522239172	0.45352514	0.564211456	0.486427761	0.506488915	0.408170234	0.607037986	0.401393143	0.161850902	0.355654723	0.101484583	0.092842643
TCGA-V4-A9ED-01A	0.534532648	0.617567848	0.64911716	0.578949298	0.57645478	0.699701688	0.41798538	0.79879474	0.54613586	0.66357134	0.62267663	0.757344009	0.496645414	0.464922364	0.593158264	0.522082313	0.710686775	0.652214309	0.543662301	0.541033612	0.464245587	0.412818585	0.499172011	0.769989089	0.641668567	0.718579087	0.574062599	0.922419266	0.783722305	0.549718818	0.325748551	0.505294343	0.654368821	0.928873797	0.618113013	0.795636651	0.678254964	0.657392655	0.559786749	0.478271201	0.573950854	0.481234206	0.494650541	0.394281732	0.612038943	0.400737209	0.169488766	0.35697666	0.069139406	0.052739974
TCGA-WC-A87W-01A	0.496945302	0.593459128	0.618564691	0.619533845	0.591270418	0.684635022	0.317994689	0.778389059	0.562217877	0.64365322	0.602997507	0.73551466	0.474707196	0.426495692	0.636311837	0.486697117	0.772037401	0.54663302	0.447285503	0.487787794	0.436203417	0.440368026	0.437689333	0.797891499	0.637327994	0.726630625	0.58385675	0.96244323	0.804507703	0.506843452	0.237619612	0.468399345	0.646615262	0.914678373	0.580514503	0.736221221	0.621120377	0.639959173	0.598967451	0.474790834	0.574682846	0.409587035	0.458062982	0.403640808	0.606957515	0.290718356	0.162263272	0.322477737	0.0386578	0.097453311
TCGA-VD-AA8O-01A	0.514884553	0.585696929	0.65803749	0.577525029	0.523896579	0.597524499	0.446245305	0.795270875	0.56245208	0.66244205	0.628178655	0.750117632	0.478736137	0.469530576	0.598664047	0.460096541	0.734342097	0.683604214	0.575338863	0.503602546	0.44521579	0.404705569	0.508112729	0.790738584	0.635502074	0.767087563	0.603167465	0.938822338	0.82631706	0.462301664	0.305961294	0.506011684	0.683598517	0.941954608	0.630780027	0.832974488	0.652237965	0.674445445	0.485799417	0.427579894	0.569855699	0.451314515	0.497650334	0.380644307	0.623471724	0.413423205	0.181112355	0.323110315	0.061500283	0.127618356
TCGA-V4-A9EV-01A	0.594140377	0.604097119	0.62444444	0.587368433	0.534329429	0.646837774	0.564165966	0.789737792	0.562509047	0.710100187	0.608594539	0.744046437	0.465820297	0.455741949	0.619087155	0.437081777	0.785873887	0.825633521	0.719858006	0.490507702	0.447342188	0.382324685	0.562226584	0.806942809	0.673451188	0.783477306	0.58897143	0.963054801	0.786527653	0.468703317	0.428947402	0.480425065	0.678690597	0.939295343	0.604133471	0.826973401	0.677365696	0.668960975	0.524228322	0.429439254	0.575360838	0.446241352	0.57525122	0.392040105	0.642300899	0.603517976	0.136890515	0.380130913	0.043587376	0.098269076
